	Arg1	Arg2	Conn1	Conn2	ExplConn	File	RelType	SClass1A	SClass1B	SClass2A	SClass2B	Sup1	Sup2
0	Die Olympischen Spiele sind der größte Sport·wettbewerb auf der Welt	Bei den Olympischen Spielen machen Sportler aus fast allen Ländern mit	nämlich	NA	NA	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	Implicit	Contingency.Cause.Reason	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA
1	Bei den Olympischen Spielen machen Sportler aus fast allen Ländern mit	Die 3 besten Sportler in jeder Sport·art gewinnen Medaillen	NA	NA	NA	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	EntRel	NA	NA	NA	NA	NA	NA
2	Die 3 besten Sportler in jeder Sport·art gewinnen Medaillen	Die Olympischen Spiele sind alle 2 Jahre	NA	NA	NA	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	NoRel	NA	NA	NA	NA	NA	NA
3	Die Olympischen Spiele sind alle 2 Jahre	"Es gibt die Olympischen Sommer·spiele.
            Und die Olympischen Winter·spiele"	NA	NA	NA	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	EntRel	NA	NA	NA	NA	NA	NA
4	Am Freitag haben die Olympischen Spiele begonnen	Die Olympischen Spiele sind immer in einem anderen Land	NA	NA	NA	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	EntRel	NA	NA	NA	NA	NA	NA
5	Die Olympischen Spiele sind immer in einem anderen Land	In diesem Jahr sind die Olympischen Spiele in Süd·korea	NA	NA	In diesem Jahr	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	AltLex	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
6	In diesem Jahr sind die Olympischen Spiele in Süd·korea	Bei den Olympischen Spielen sind auch 5 Sportler aus Nord·deutschland	NA	NA	NA	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	EntRel	NA	NA	NA	NA	NA	NA
7	Bei den Olympischen Spielen sind auch 5 Sportler aus Nord·deutschland	Der bekannteste von den 5 Sportlern ist Arnd Peiffer	NA	NA	Der bekannteste von den 5 Sportlern	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	AltLex	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
8	Der bekannteste von den 5 Sportlern ist Arnd Peiffer	Arnd Peiffer kommt aus Clausthal-Zellerfeld	NA	NA	NA	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	EntRel	NA	NA	NA	NA	NA	NA
9	Arnd Peiffer kommt aus Clausthal-Zellerfeld	Arnd Peiffer macht Biathlon	NA	NA	Und	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
10	Beim Biathlon machen die Sportler Ski·langlauf	beim Biathlon schießen die Sportler mit Gewehren auf Scheiben	NA	NA	Und	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
11	Und Arnd Peiffer macht Biathlon	Arnd Peiffer will eine Medaille gewinnen	NA	NA	NA	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	EntRel	NA	NA	NA	NA	NA	NA
12	Arnd Peiffer will eine Medaille gewinnen	Arnd Peiffer ist schon zum 3. Mal bei Olympischen Spielen	NA	NA	NA	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	EntRel	NA	NA	NA	NA	NA	NA
13	Arnd Peiffer ist schon zum 3. Mal bei Olympischen Spielen	2014 hat Arnd Peiffer eine Medaille gewonnen	NA	NA	2014	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	AltLex	Temporal.Asynchronous.Succession	NA	NA	NA	NA	NA
14	2014 hat Arnd Peiffer eine Medaille gewonnen	"Arnd Peiffer hat gesagt:
            Ich bin vielleicht das letzte Mal bei Olympischen Spielen.
            Und vielleicht kann ich wieder eine Medaille gewinnen"	jetzt	NA	NA	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	Implicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Reason	NA	NA	NA	NA
15	Ich bin vielleicht das letzte Mal bei Olympischen Spielen	vielleicht kann ich wieder eine Medaille gewinnen	NA	NA	Und	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
16	"Arnd Peiffer hat gesagt:
            Ich bin vielleicht das letzte Mal bei Olympischen Spielen.
            Und vielleicht kann ich wieder eine Medaille gewinnen"	Der 1. Wettkampf von Arnd Peiffer ist am Sonntag	NA	NA	NA	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	EntRel	NA	NA	NA	NA	NA	NA
17	Der 1. Wettkampf von Arnd Peiffer ist am Sonntag	Die Olympischen Spiele sind noch bis zum 25. Februar	NA	NA	NA	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	NoRel	NA	NA	NA	NA	NA	NA
18	Die Olympischen Spiele sind noch bis zum 25. Februar	Viele Informationen zu den Olympischen Spielen in Leichter Sprache lesen Sie hier	NA	NA	NA	Arnd-Peiffer-bei-Olympischen-Spielen,peiffer240.html.txt	EntRel	NA	NA	NA	NA	NA	NA
