	File	RelType	ExplConn	Conn1	SClass1A	SClass1B	Conn2	SClass2A	SClass2B	Sup1	Arg1	Arg2	Sup2
0	ne_ehrenamt_foerdern100.html.txt	Explicit	dazu	NA	Contingency.Purpose.Arg1-as-goal	Expansion.Manner.Arg2-as-manner	NA	NA	NA	NA	Das Ehren·amt im Saarland soll gefördert weren	Die Gemeinschaft Pro Ehrenamt will...eine Seite im Internet einrichten	NA
1	ne_ehrenamt_foerdern100.html.txt	EntRel	NA	NA	NA	NA	NA	NA	NA	NA	Die Gemeinschaft Pro Ehrenamt will dazu eine Seite im Internet einrichten	Die Gemeinschaft Pro Ehren·amt will das Ehren·amt im Saarland fördern	NA
2	ne_ehrenamt_foerdern100.html.txt	EntRel	NA	NA	NA	NA	NA	NA	NA	NA	Die Gemeinschaft Pro Ehren·amt will das Ehren·amt im Saarland fördern	"Ehren·amt heißt: Menschen arbeiten zum Beispiel freiwillig


• im Krankenhaus




• in der Kirche




• bei Hilfsorganisationen"	NA
3	ne_ehrenamt_foerdern100.html.txt	Explicit	aber	NA	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA	"Ehren·amt heißt: Menschen arbeiten zum Beispiel freiwillig


• im Krankenhaus




• in der Kirche




• bei Hilfsorganisationen"	Für diese Arbeit bekommen die Menschen...kein Geld	NA
4	ne_ehrenamt_foerdern100.html.txt	EntRel	NA	NA	NA	NA	NA	NA	NA	NA	Für diese Arbeit bekommen die Menschen aber kein Geld	Die Gemeinschaft Pro Ehren·amt möchte diese Arbeit besser organisieren	NA
5	ne_ehrenamt_foerdern100.html.txt	Explicit	Deshalb	NA	Contingency.Cause.Result	Contingency.Purpose.Arg1-as-goal	NA	NA	NA	NA	Die Gemeinschaft Pro Ehren·amt möchte diese Arbeit besser organisieren	will sie eine Seite im Internet einrichten	NA
6	ne_ehrenamt_foerdern100.html.txt	Explicit	schon	NA	Temporal.Synchronous	NA	NA	NA	NA	NA	Deshalb will sie eine Seite im Internet einrichten	Die Vorbereitungen dafür laufen	NA
7	ne_ehrenamt_foerdern100.html.txt	Explicit	Allerdings	NA	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA	Die Vorbereitungen dafür laufen schon	braucht die Gemeinschaft Pro Ehren·amt dafür noch Geld	NA
8	ne_ehrenamt_foerdern100.html.txt	Explicit	außerdem	NA	Expansion.Conjunction	NA	NA	NA	NA	NA	Die Gemeinschaft Pro Ehren·amt möchte diese Arbeit besser organisieren	Die Gemeinschaft möchte...dass das Ehren·amt in die saarländische Verfassung aufgenommen wird	NA
9	ne_ehrenamt_foerdern100.html.txt	EntRel	NA	NA	NA	NA	NA	NA	NA	NA	Die Gemeinschaft möchte außerdem, dass das Ehren·amt in die saarländische Verfassung aufgenommen wird	In der Verfassung stehen die Regeln eines Landes	NA
10	ne_streiks_bei_geldtransportunternehmen100.html.txt	Implicit	NA	denn	Contingency.Cause.Reason	NA	NA	NA	NA	NA	Viele Geld·transporte im Saarland fallen aus	Bei den Geld·transport·unternehmen wird gestreikt	NA
11	ne_streiks_bei_geldtransportunternehmen100.html.txt	Implicit	NA	denn	Contingency.Cause.Reason	Temporal.Asynchronous.Succession	NA	NA	NA	NA	Bei den Geld·transport·unternehmen wird gestreikt	Die Gewerkschaft Verdi hat die Mitarbeiter von Geld·transport·unternehmen zum Streik aufgefordert	NA
12	ne_streiks_bei_geldtransportunternehmen100.html.txt	Implicit	NA	denn	Contingency.Cause.Reason	NA	um zu	Contingency.Purpose.Arg2-as-goal	NA	NA	Die Gewerkschaft Verdi hat die Mitarbeiter von Geld·transport·unternehmen zum Streik aufgefordert	Die Gewerkschaft fordert mehr Gehalt für die Mitarbeiter der Geld·transport·unternehmen	NA
13	ne_streiks_bei_geldtransportunternehmen100.html.txt	EntRel	NA	NA	NA	NA	NA	NA	NA	NA	Die Gewerkschaft fordert mehr Gehalt für die Mitarbeiter der Geld·transport·unternehmen	Die Mitarbeiter der Unternehmen transportieren Geld von Geschäften zu Banken	NA
14	ne_streiks_bei_geldtransportunternehmen100.html.txt	Explicit	außerdem	NA	Expansion.Conjunction	NA	NA	NA	NA	NA	Die Mitarbeiter der Unternehmen transportieren Geld von Geschäften zu Banken	Sie füllen...Geld·automaten auf	NA
15	ne_streiks_bei_geldtransportunternehmen100.html.txt	Explicit	Dazu	NA	Contingency.Purpose.Arg1-as-goal	NA	NA	NA	NA	NA	Sie füllen außerdem Geld·automaten auf	müssen die Mitarbeiter und die Autos besonders gesichert sein	NA
