	File	RelType	ExplConn	Conn1	SClass1A	SClass1B	Conn2	SClass2A	SClass2B	Sup1	Arg1	Arg2	Sup2
0	!5488693.txt	Explicit	dafür	NA	Contingency.Cause.Result	NA	NA	NA	NA	NA	Eine Ärztin hat im Internet über Schwangerschafts-Abbrüche informiert	Ein Gericht hat sie...verurteilt	NA
1	!5488693.txt	NoRel	NA	NA	NA	NA	NA	NA	NA	NA	Ein Gericht hat sie dafür verurteilt	Im deutschen Straf-Gesetz gibt es den Paragrafen 219a	NA
2	!5488693.txt	AltLex	In diesem Paragrafen steht	NA	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA	Im deutschen Straf-Gesetz gibt es den Paragrafen 219a	"In diesem Paragrafen steht:
Ärzte dürfen keine Werbung machen
für Schwangerschafts-Abbrüche"	NA
3	!5488693.txt	Explicit	Und	NA	Expansion.Conjunction	NA	NA	NA	NA	NA	"Ärzte dürfen keine Werbung machen
für Schwangerschafts-Abbrüche"	"Ärzte dürfen nicht öffentlich sagen,
dass sie Schwangerschafts-Abbrüche anbieten"	NA
4	!5488693.txt	AltLex	Mit diesem Gesetz	NA	Contingency.Purpose.Arg2-as-goal	NA	NA	NA	NA	NA	Im deutschen Straf-Gesetz gibt es den Paragrafen 219a	"Mit diesem Gesetz soll verhindert werden,
dass Schwangerschafts-Abbrüche in unserer Gesellschaft
als normal gelten"	NA
5	!5488693.txt	EntRel	NA	NA	NA	NA	NA	NA	NA	NA	"Mit diesem Gesetz soll verhindert werden,
dass Schwangerschafts-Abbrüche in unserer Gesellschaft
als normal gelten"	"In Deutschland darf eine Frau ihre Schwangerschaft
bis zur 12. Schwangerschafts-Woche abbrechen"	NA
6	!5488693.txt	Implicit	NA	aber	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA	"In Deutschland darf eine Frau ihre Schwangerschaft
bis zur 12. Schwangerschafts-Woche abbrechen"	Vor dem Abbruch muss die Frau zu einer Beratung gehen	NA
7	!5488693.txt	AltLex	Vor dem Abbruch	NA	Temporal.Asynchronous.Succession	NA	NA	NA	NA	NA	"In Deutschland darf eine Frau ihre Schwangerschaft
bis zur 12. Schwangerschafts-Woche abbrechen"	Vor dem Abbruch muss die Frau zu einer Beratung gehen	NA
8	!5488693.txt	AltLex	Nach der Beratung	NA	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA	Vor dem Abbruch muss die Frau zu einer Beratung gehen	"Nach der Beratung muss die Frau 3 Tage lang
über den Schwangerschafts-Abbruch nachdenken"	NA
9	!5488693.txt	Explicit	dann	NA	Temporal.Asynchronous.Precedence	Contingency.Condition.Arg1-as-cond	NA	NA	NA	NA	"Nach der Beratung muss die Frau 3 Tage lang
über den Schwangerschafts-Abbruch nachdenken"	darf die Frau die Schwangerschaft abbrechen	NA
10	!5488693.txt	AltLex	"Es gibt...diese Gründe
für einen Schwangerschafts-Abbruch"	NA	Contingency.Cause.Reason	NA	NA	NA	NA	NA	Erst dann darf die Frau die Schwangerschaft abbrechen	"Es gibt zum Beispiel diese Gründe
für einen Schwangerschafts-Abbruch:
● Die Frau fühlt sich nicht bereit für ein Kind.
● Die Frau ist in einer schlechten finanziellen Situation.
● Die Frau wurde vergewaltigt und ist dabei schwanger geworden.
● Die Gesundheit der Frau ist durch die Schwangerschaft gefährdet"	NA
11	!5488693.txt	AltLex	Die Frau...Die Frau	NA	Expansion.Disjunction	NA	NA	NA	NA	NA	Die Frau fühlt sich nicht bereit für ein Kind	Die Frau ist in einer schlechten finanziellen Situation	NA
12	!5488693.txt	AltLex	Die Frau...Die Frau	NA	Expansion.Disjunction	NA	NA	NA	NA	NA	Die Frau ist in einer schlechten finanziellen Situation	Die Frau wurde vergewaltigt und ist dabei schwanger geworden	NA
13	!5488693.txt	Explicit	dabei	NA	Contingency.Cause.Result	Temporal.Synchronous	NA	NA	NA	NA	Die Frau wurde vergewaltigt	und ist...schwanger geworden	NA
14	!5488693.txt	Implicit	NA	oder	Expansion.Disjunction	NA	NA	NA	NA	NA	Die Frau wurde vergewaltigt und ist dabei schwanger geworden	Die Gesundheit der Frau ist durch die Schwangerschaft gefährdet	NA
15	!5488693.txt	Explicit	Aber	NA	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA	"In Deutschland darf eine Frau ihre Schwangerschaft
bis zur 12. Schwangerschafts-Woche abbrechen"	"oft fehlen den betroffenen Frauen Informationen wie:
Welcher Arzt macht Schwangerschafts-Abbrüche?
Welche Arten von Schwangerschafts-Abbrüchen gibt es"	NA
16	!5488693.txt	EntRel	NA	NA	NA	NA	NA	NA	NA	NA	Welcher Arzt macht Schwangerschafts-Abbrüche	Welche Arten von Schwangerschafts-Abbrüchen gibt es	NA
17	!5488693.txt	EntRel	NA	NA	NA	NA	NA	NA	NA	NA	Welche Arten von Schwangerschafts-Abbrüchen gibt es	"Eine Ärztin hat im Jahr 2017 auf ihrer Internet-Seite
Informationen zu Schwangerschafts-Abbrüchen veröffentlicht"	NA
18	!5488693.txt	Explicit	Dabei	NA	Expansion.Manner.Arg1-as-manner	NA	NA	NA	NA	NA	"Eine Ärztin hat im Jahr 2017 auf ihrer Internet-Seite
Informationen zu Schwangerschafts-Abbrüchen veröffentlicht"	"hat die Ärztin auch erklärt,
dass sie Schwangerschafts-Abbrüche macht"	NA
19	!5488693.txt	Explicit	auch	NA	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA	"Eine Ärztin hat im Jahr 2017 auf ihrer Internet-Seite
Informationen zu Schwangerschafts-Abbrüchen veröffentlicht"	"Dabei hat die Ärztin...erklärt,
dass sie Schwangerschafts-Abbrüche macht"	NA
20	!5488693.txt	Explicit	dafür	NA	Contingency.Cause.Result	NA	NA	NA	NA	NA	"Dabei hat die Ärztin auch erklärt,
dass sie Schwangerschafts-Abbrüche macht"	Ein Gericht hat die Ärztin...verurteilt	NA
21	!5488693.txt	Explicit	jetzt	NA	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA	Ein Gericht hat die Ärztin dafür verurteilt	Sie soll...eine Geldstrafe von 6.000 Euro zahlen	NA
22	!5488693.txt	EntRel	NA	NA	NA	NA	NA	NA	NA	NA	Sie soll jetzt eine Geldstrafe von 6.000 Euro zahlen	Die Ärztin heißt Kristina Hänel	NA
23	!5488693.txt	EntRel	NA	NA	NA	NA	NA	NA	NA	NA	Die Ärztin heißt Kristina Hänel	Die Zeitung taz hat über den Fall Kristina Hänel berichtet	NA
24	!5488693.txt	Explicit	sogar	NA	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA	Die Zeitung taz hat über den Fall Kristina Hänel berichtet	Die taz hat...eine Titelseite dazu gemacht	NA
25	!5488693.txt	Implicit	NA	und zwar	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA	Die taz hat sogar eine Titelseite dazu gemacht	Auf der Titelseite sind Fotos von vielen Ärztinnen und Ärzten	NA
26	!5488693.txt	EntRel	NA	NA	NA	NA	NA	NA	NA	NA	Auf der Titelseite sind Fotos von vielen Ärztinnen und Ärzten	Sie alle stehen auf der Seite von Kristina Hänel	NA
27	!5488693.txt	EntRel	NA	NA	NA	NA	NA	NA	NA	NA	Sie alle stehen auf der Seite von Kristina Hänel	Sie möchten ihre Kollegin unterstützen	NA
28	!5488693.txt	Implicit	NA	deshalb	Contingency.Cause.Result	NA	NA	NA	NA	NA	Sie möchten ihre Kollegin unterstützen	"Die Überschrift lautet:
Wir machen Schwangerschafts-Abbrüche"	NA
