1	Austausch	Austausch	_	NN	nom|sg|masc	0	S	_	_
2	von	von	_	APPR	_	1	PP	_	_
3	Gefangenen	gefangener	_	NN	dat|pl|*	2	PN	_	_

1	In	in	_	APPR	_	8	PP	_	_
2	dem	der	_	ART	dat|sg|masc	3	DET	_	_
3	Konflikt	Konflikt	_	NN	dat|sg|masc	1	PN	_	_
4	in	in	_	APPR	_	3	PP	_	_
5	dem	der	_	ART	dat|sg|neut	6	DET	_	_
6	Land	Land	_	NN	dat|sg|neut	4	PN	_	_
7	Ukraine	Ukraine	_	NE	nom|sg|fem	6	APP	_	_
8	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
9	es	es	_	PPER	nom|sg|neut|3	8	SUBJ	_	_
10	eine	ein	_	ART	acc|sg|fem	12	DET	_	_
11	neue	neu	_	ADJA	acc|sg|fem|pos	12	ATTR	_	_
12	Entwicklung	Entwicklung	_	NN	acc|sg|fem	8	OBJA	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|fem	2	DET	_	_
2	Aufständischen	aufständische	_	NN	nom|pl|fem	11	SUBJ	_	_
3	im	in	_	APPRART	dat|sg|masc	2	PP	_	_
4	Osten	Osten	_	NN	dat|sg|masc	3	PN	_	_
5	und	und	_	KON	_	2	KON	_	_
6	die	der	_	ART	acc|sg|fem	7	DET	_	_
7	Armee	Armee	_	NN	acc|sg|fem	5	NP2	_	_
8	von	von	_	APPR	_	7	PP	_	_
9	der	der	_	ART	dat|sg|fem	10	DET	_	_
10	Ukraine	Ukraine	_	NE	dat|sg|fem	8	PN	_	_
11	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
12	Gefangene	gefangener	_	NN	nom|pl|masc	13	OBJA	_	_
13	ausgetauscht	austauschen	_	VVPP	_	11	AUX	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|fem	2	DET	_	_
2	Aufständischen	aufständische	_	NN	nom|pl|fem	6	ETH	_	_
3	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	73	73	_	CARD	_	5	ATTR	_	_
5	Menschen	Mensch	_	NN	nom|pl|masc	6	OBJA	_	_
6	freigelassen	freilassen	_	VVPP	_	3	AUX	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Ukraine	Ukraine	_	NE	nom|sg|fem	3	SUBJ	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	233	233	_	CARD	_	5	ATTR	_	_
5	Menschen	Mensch	_	NN	acc|pl|masc	6	OBJA	_	_
6	freigelassen	freilassen	_	VVPP	_	3	AUX	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Viele	vieler	_	PIAT	nom|pl|*	2	DET	_	_
