1	Diskussion	Diskussion	_	NN	nom|sg|fem	0	S	_	_
2	um	um	_	APPR	_	1	PP	_	_
3	Migration	Migration	_	NN	acc|sg|fem	2	PN	_	_

1	In	in	_	APPR	_	4	PP	_	_
2	vielen	vieler	_	PIAT	dat|pl|masc	3	DET	_	_
3	UNO-Ländern	UNO-Land	_	NN	dat|pl|masc	1	PN	_	_
4	wird	werden	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	derzeit	derzeit	_	ADV	_	11	ADV	_	_
6	über	über	_	APPR	_	11	PP	_	_
7	einen	ein	_	ART	acc|sg|masc	8	DET	_	_
8	Text	Text	_	NN	acc|sg|masc	6	PN	_	_
9	zur	zu	_	APPRART	dat|sg|fem	11	PP	_	_
10	Migration	Migration	_	NN	dat|sg|fem	9	PN	_	_
11	gestritten	streiten	_	VVPP	_	4	AUX	_	_
12	:	--	_	$.	_	0	ROOT	_	_

1	den	der	_	ART	acc|sg|masc	2	DET	_	_
2	UNO-Migrations-Pakt	UNO-Migrations-Pakt	_	NN	acc|sg|masc	0	S	_	_
3	.	--	_	$.	_	0	ROOT	_	_

1	Den	der	_	ART	acc|sg|masc	2	DET	_	_
2	Text	Text	_	NN	acc|sg|masc	10	ETH	_	_
3	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	die	der	_	ART	nom|pl|neut	5	DET	_	_
5	Länder	Land	_	NN	nom|pl|neut	10	ADV	_	_
6	von	von	_	APPR	_	10	PP	_	_
7	der	der	_	ART	dat|sg|fem	8	DET	_	_
8	UNO	UNO	_	NE	dat|sg|fem	6	PN	_	_
9	gemeinsam	gemeinsam	_	ADJD	pos	10	ADV	_	_
10	ausgehandelt	aushandeln	_	VVPP	_	3	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Einige	einiger	_	PIAT	nom|pl|neut	2	DET	_	_
2	Länder	Land	_	NN	nom|pl|neut	3	PRED	_	_
3	finden	finden	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	ihn	ihn	_	PPER	acc|sg|masc|3	3	SUBJ	_	_
5	jetzt	jetzt	_	ADV	_	3	ADV	_	_
6	aber	aber	_	ADV	_	3	ADV	_	_
7	schlecht	schlecht	_	ADJD	pos	3	ADV	_	_
