1	Empörung	Empörung	_	NN	nom|sg|fem	0	S	_	_
2	über	über	_	APPR	_	1	PP	_	_
3	Gauland	Gauland	_	NE	acc|sg|neut	2	PN	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	AfD-Politiker	AfD-Politiker	_	NN	nom|sg|masc	5	SUBJ	_	_
3	Alexander	Alexander	_	NE	nom|sg|masc	2	APP	_	_
4	Gauland	Gauland	_	NE	nom|sg|masc	3	APP	_	_
5	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
6	mit	mit	_	APPR	_	13	PP	_	_
7	einer	ein	_	ART	dat|sg|fem	8	DET	_	_
8	Äußerung	Äußerung	_	NN	dat|sg|fem	6	PN	_	_
9	zum	zu	_	APPRART	dat|sg|masc	8	PP	_	_
10	National-Sozialismus	Nationalsozialismus	_	NN	dat|sg|masc	9	PN	_	_
11	für	für	_	APPR	_	13	OBJP	_	_
12	Empörung	Empörung	_	NN	acc|sg|fem	11	PN	_	_
13	gesorgt	sorgen	_	VVPP	_	5	AUX	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	die	der	_	ART	acc|sg|fem	4	DET	_	_
4	Herrschaft	Herrschaft	_	NN	acc|sg|fem	15	OBJA	_	_
5	der	der	_	ART	gen|pl|masc	6	DET	_	_
6	Nazis	Nazi	_	NN	gen|pl|masc	4	GMOD	_	_
7	als	als	_	APPR	_	15	OBJP	_	_
8	"	--	_	$(	nom|sg|masc	0	ROOT	_	_
9	Vogel-Schiss	Vogelschiss	_	NN	nom|sg|masc	7	PN	_	_
10	"	--	_	$(	nom|sg|masc	0	ROOT	_	_
11	in	in	_	APPR	_	9	PP	_	_
12	der	der	_	ART	dat|sg|fem	14	DET	_	_
13	deutschen	deutsch	_	ADJA	dat|sg|fem|pos	14	ATTR	_	_
14	Geschichte	Geschichte	_	NN	dat|sg|fem	11	PN	_	_
15	bezeichnet	bezeichnen	_	VVPP	_	2	AUX	_	_
16	.	--	_	$.	_	0	ROOT	_	%% Bild nl_A6 %%

1	Alexander	Alexander	_	NE	nom|sg|masc	3	SUBJ	_	_
2	Gauland	Gauland	_	NE	nom|sg|masc	1	APP	_	_
3	ist	sein	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	ein	ein	_	ART	nom|sg|masc	5	DET	_	_
5	Vorsitzender	vorsitzend	_	NN	nom|sg|masc	3	PRED	_	_
6	von	von	_	APPR	_	5	PP	_	_
7	der	der	_	ART	dat|sg|fem	8	DET	_	_
8	AfD-Fraktion	AfD-Fraktion	_	NN	dat|sg|fem	6	PN	_	_
9	im	in	_	APPRART	dat|sg|masc	8	PP	_	_
10	Bundestag	Bundestag	_	NN	dat|sg|masc	9	PN	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	bei	bei	_	APPR	_	11	PP	_	_
4	einem	ein	_	ART	dat|sg|neut	5	DET	_	_
5	Treffen	Treffen	_	NN	dat|sg|neut	3	PN	_	_
6	von	von	_	APPR	_	5	PP	_	_
7	der	der	_	ART	dat|sg|fem	8	DET	_	_
8	AfD-Jugend	AfD-Jugend	_	NN	dat|sg|fem	6	PN	_	_
9	eine	ein	_	ART	acc|sg|fem	10	DET	_	_
10	Rede	Rede	_	NN	acc|sg|fem	11	OBJA	_	_
11	gehalten	halten	_	VVPP	_	2	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Darin	darin	_	PROAV	_	2	PP	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
4	gesagt	sagen	_	VVPP	_	2	AUX	_	_
5	,	--	_	$,	_	0	ROOT	_	_
6	dass	dass	_	KOUS	_	12	KONJ	_	_
7	die	der	_	ART	nom|pl|*	8	DET	_	_
8	Deutschen	deutsche	_	NN	nom|pl|*	12	SUBJ	_	_
9	eine	ein	_	ART	acc|sg|fem	11	DET	_	_
10	ruhmreiche	ruhmreich	_	ADJA	acc|sg|fem|pos	11	ATTR	_	_
11	Geschichte	Geschichte	_	NN	acc|sg|fem	12	OBJA	_	_
12	haben	haben	_	VVFIN	pl|3|pres|ind	4	OBJC	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Weiter	weiter	_	ADV	_	2	ADV	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
4	gesagt	sagen	_	VVPP	_	2	AUX	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Die	der	_	PDS	nom|sg|fem	8	SUBJ	_	_
7	"	--	_	$(	_	0	ROOT	_	_
8	dauerte	dauern	_	VVFIN	sg|3|past|ind	4	S	_	_
9	länger	lang	_	ADJD	comp	8	ADV	_	_
10	als	als	_	KOKOM	_	9	KOM	_	_
11	die	der	_	ART	nom|pl|*	14	DET	_	_
12	verdammten	verdammt	_	ADJA	nom|pl|*|pos	14	ATTR	_	_
13	12	12	_	CARD	_	14	ATTR	_	_
14	Jahre	Jahr	_	NN	acc|pl|neut	10	CJ	_	_
15	"	--	_	$(	_	0	ROOT	_	_
16	.	--	_	$.	_	0	ROOT	_	_

1	Damit	damit	_	PROAV	_	2	PP	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	Gauland	Gauland	_	NE	nom|sg|neut	2	SUBJ	_	_
4	die	der	_	ART	acc|sg|fem	5	DET	_	_
5	Zeit	Zeit	_	NN	acc|sg|fem	8	OBJA	_	_
6	des	der	_	ART	gen|sg|masc	7	DET	_	_
7	National-Sozialismus	Nationalsozialismus	_	NN	gen|sg|masc	5	GMOD	_	_
8	gemeint	meinen	_	VVPP	_	2	AUX	_	_
