1	Erste	erster	_	ADJA	nom|pl|neut|pos	2	ATTR	_	_
2	Gespräche	Gespräch	_	NN	nom|pl|neut	0	S	_	_

1	Die	der	_	ART	nom|pl|neut	2	DET	_	_
2	Länder	Land	_	NN	nom|pl|neut	6	SUBJ	_	_
3	Nord-Korea	Nord-Korea	_	NE	nom|sg|neut	2	GMOD	_	_
4	und	und	_	KON	_	3	KON	_	_
5	Süd-Korea	Süd-Korea	_	NE	nom|sg|neut	4	CJ	_	_
6	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
7	seit	seit	_	APPR	_	6	PP	_	_
8	Langem	Langem	_	ADJA	dat|sg|neut|pos	9	ATTR	_	_
9	Streit	Streit	_	NN	nom|sg|masc	7	PN	_	_
10	miteinander	miteinander	_	ADV	_	6	ADV	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Jetzt	jetzt	_	ADV	_	2	ADV	_	_
2	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	wichtige	wichtig	_	ADJA	nom|pl|masc|pos	4	ATTR	_	_
4	Politiker	Politiker	_	NN	nom|pl|masc	8	ADV	_	_
5	von	von	_	APPR	_	8	PP	_	_
6	beiden	beide	_	PIAT	dat|pl|neut	7	DET	_	_
7	Ländern	Land	_	NN	dat|pl|neut	5	PN	_	_
8	gesagt	sagen	_	VVPP	_	2	AUX	_	_
9	:	--	_	$.	_	0	ROOT	_	_
10	Wir	wir	_	PPER	nom|pl|*|1	11	SUBJ	_	_
11	wollen	wollen	_	VMFIN	pl|1|pres|ind	8	S	_	_
12	uns	uns	_	PPER	dat|pl|*|1	14	OBJD	_	_
13	Mühe	Mühe	_	NN	acc|sg|fem	14	OBJA	_	_
14	geben	geben	_	VVINF	_	11	AUX	_	_
15	,	--	_	$,	_	0	ROOT	_	_
16	damit	damit	_	KOUS	_	20	KONJ	_	_
17	wir	wir	_	PPER	nom|pl|*|1	20	OBJA	_	_
18	uns	uns	_	PRF	acc|pl|1	20	ETH	_	_
19	besser	gut	_	ADJD	comp	20	ADV	_	_
20	verstehen	verstehen	_	VVINF	_	11	NEB	_	_
21	.	--	_	$.	_	0	ROOT	_	_

1	Politiker	Politiker	_	NN	nom|pl|masc	6	SUBJ	_	_
2	auf	auf	_	APPR	_	1	PP	_	_
3	der	der	_	ART	dat|sg|fem	5	DET	_	_
4	ganzen	ganz	_	ADJA	dat|sg|fem|pos	5	ATTR	_	_
5	Welt	Welt	_	NN	dat|sg|fem	2	PN	_	_
6	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
7	erleichtert	erleichtern	_	VVPP	_	6	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Streit	Streit	_	NN	nom|sg|masc	6	SUBJ	_	_
3	zwischen	zwischen	_	APPR	_	2	PP	_	_
4	beiden	beide	_	PIAT	dat|pl|neut	5	DET	_	_
5	Ländern	Land	_	NN	dat|pl|neut	3	PN	_	_
6	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
7	in	in	_	APPR	_	12	PP	_	_
8	den	der	_	ART	dat|pl|neut	10	DET	_	_
9	letzten	letzter	_	ADJA	dat|pl|neut|pos	10	ATTR	_	_
10	Jahren	Jahr	_	NN	dat|pl|neut	7	PN	_	_
11	schlimmer	schlimm	_	ADJD	comp	12	ADV	_	_
12	geworden	werden	_	VAPP	_	6	AUX	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Manche	mancher	_	PIAT	nom|pl|masc	2	DET	_	_
2	Menschen	Mensch	_	NN	nom|pl|masc	0	S	_	_
3	hatten	haben	_	VAFIN	pl|3|past|ind	0	S	_	_
4	Angst	Angst	_	NN	acc|sg|fem	3	OBJA	_	_
5	,	--	_	$,	_	0	ROOT	_	_
6	dass	daß	_	KOUS	_	10	KONJ	_	_
7	es	es	_	PPER	nom|sg|neut|3	10	SUBJ	_	_
8	vielleicht	vielleicht	_	ADV	_	10	ADV	_	_
9	Krieg	Krieg	_	NN	acc|sg|masc	10	OBJA	_	_
10	gibt	geben	_	VVFIN	sg|3|pres|ind	4	OBJC	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Nord-Korea	Nord-Korea	_	NE	nom|sg|neut	2	SUBJ	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
