1	Geheimer	Geheimer	_	ADJA	nom|sg|masc|pos	2	ATTR	_	_
2	Besuch	Besuch	_	NN	nom|sg|masc	0	S	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Diktator	Diktator	_	NN	nom|sg|masc	9	OBJD	_	_
3	von	von	_	APPR	_	2	PP	_	_
4	Nord-Korea	Nord-Korea	_	NE	dat|sg|neut	3	PN	_	_
5	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
6	das	der	_	ART	nom|sg|neut	7	DET	_	_
7	Land	Land	_	NN	nom|sg|neut	9	OBJD	_	_
8	China	China	_	NE	nom|sg|neut	7	APP	_	_
9	besucht	besuchen	_	VVPP	_	5	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	Kim	Kim	_	NE	nom|sg|masc	2	PRED	_	_
4	Jong	Jong	_	NE	nom|sg|masc	2	PRED	_	_
5	Un	UN	_	NE	nom|sg|masc	2	PRED	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Besuch	Besuch	_	NN	nom|sg|masc	3	SUBJ	_	_
3	war	sein	_	VAFIN	sg|3|past|ind	0	S	_	_
4	geheim	geheim	_	ADJD	pos	3	ADV	_	_
5	.	--	_	$.	_	0	ROOT	_	_

1	Es	es	_	PPER	nom|sg|neut|3	2	EXPL	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	etwas	etwas	_	PIAT	*|*|*	4	DET	_	_
4	Besonderes	besondere	_	NN	nom|sg|neut	11	OBJD	_	_
5	,	--	_	$,	_	0	ROOT	_	_
6	dass	daß	_	KOUS	_	7	KONJ	_	_
7	Kim	Kim	_	NE	nom|sg|*	4	PAR	_	_
8	ein	ein	_	ART	acc|sg|neut	10	DET	_	_
9	anderes	anderer	_	ADJA	acc|sg|neut|pos	10	ATTR	_	_
10	Land	Land	_	NN	acc|sg|neut	7	GMOD	_	_
11	besucht	besuchen	_	VVPP	_	2	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Denn	denn	_	KON	_	0	S	_	_
2	Nord-Korea	Nord-Korea	_	NE	nom|sg|neut	3	SUBJ	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	1	CJ	_	_
4	mit	mit	_	APPR	_	3	PP	_	_
5	fast	fast	_	ADV	_	6	ADV	_	_
6	allen	aller	_	PIAT	dat|pl|neut	7	DET	_	_
7	Ländern	Land	_	NN	dat|pl|neut	4	PN	_	_
8	Streit	Streit	_	NN	nom|sg|masc	3	OBJA	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Kim	Kim	_	NE	nom|sg|masc	2	PRED	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	mit	mit	_	APPR	_	11	PP	_	_
4	einem	ein	_	ART	dat|sg|masc	5	DET	_	_
5	Zug	Zug	_	NN	dat|sg|masc	3	PN	_	_
6	in	in	_	APPR	_	11	PP	_	_
7	die	der	_	ART	acc|sg|fem	9	DET	_	_
8	chinesische	chinesisch	_	ADJA	acc|sg|fem|pos	9	ATTR	_	_
9	Haupt-Stadt	Haupt-Stadt	_	NN	acc|sg|fem	6	PN	_	_
10	Peking	Peking	_	NE	nom|sg|neut	9	APP	_	_
11	gefahren	fahren	_	VVPP	_	2	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Nord-Korea	Nord-Korea	_	NE	nom|sg|neut	4	PRED	_	_
2	und	und	_	KON	_	1	KON	_	_
3	China	China	_	NE	nom|sg|neut	2	CJ	_	_
4	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	Nachbar-Länder	Nachbar-Land	_	NN	nom|pl|neut	4	PRED	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Peking	Peking	_	NE	dat|sg|neut	1	PN	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	er	er	_	PPER	nom|sg|masc|3	3	SUBJ	_	_
5	den	der	_	ART	acc|sg|masc	6	DET	_	_
6	Staats-Chef	Staats-Chef	_	NN	acc|sg|masc	9	OBJA	_	_
7	von	von	_	APPR	_	6	PP	_	_
8	China	China	_	NE	dat|sg|neut	7	PN	_	_
9	getroffen	treffen	_	VVPP	_	3	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	Xi	Xi	_	NE	_	2	PRED	_	_
4	Jinping	Jinping	_	NE	_	2	PRED	_	_
5	.	--	_	$.	_	0	ROOT	_	_

1	Am	an	_	APPRART	dat|sg|masc	4	PP	_	_
2	nächsten	nächster	_	ADJA	dat|sg|masc|pos	3	ATTR	_	_
3	Tag	Tag	_	NN	dat|sg|masc	1	PN	_	_
4	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	Kim	Kim	_	NE	dat|sg|masc	4	ETH	_	_
6	wieder	wieder	_	ADV	_	10	ADV	_	_
7	zurück	zurück	_	ADV	_	10	ADV	_	_
8	nach	nach	_	APPR	_	10	PP	_	_
9	Nord-Korea	Nord-Korea	_	NE	dat|sg|neut	8	PN	_	_
10	gefahren	fahren	_	VVPP	_	4	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Besuch	Besuch	_	NN	nom|sg|masc	3	ETH	_	_
3	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	etwas	etwas	_	PIAT	*|*|*	5	DET	_	_
5	Besonderes	besondere	_	NN	acc|sg|neut	3	PRED	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Nord-Korea	Nord-Korea	_	NE	nom|sg|neut	4	SUBJ	_	_
2	und	und	_	KON	_	1	KON	_	_
3	China	China	_	NE	nom|sg|neut	2	CJ	_	_
4	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	zwar	zwar	_	ADV	_	4	ADV	_	_
6	Beziehungen	Beziehung	_	NN	acc|pl|fem	4	OBJA	_	_
7	zueinander	zueinander	_	ADV	_	4	ADV	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Aber	aber	_	KON	_	0	S	_	_
2	Nord-Korea	Nord-Korea	_	NE	nom|sg|neut	3	OBJA	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	1	CJ	_	_
4	viele	vieler	_	PIAT	acc|pl|masc	5	DET	_	_
