1	Kämpfe	Kampf	_	NN	nom|pl|masc	0	S	_	_
2	in	in	_	APPR	_	1	PP	_	_
3	Tripolis	Tripolis	_	NE	dat|sg|neut	2	PN	_	_

1	In	in	_	APPR	_	9	PP	_	_
2	der	der	_	ART	dat|sg|fem	3	DET	_	_
3	Stadt	Stadt	_	NN	dat|sg|fem	1	PN	_	_
4	Tripolis	Tripolis	_	NE	nom|sg|neut	3	APP	_	_
5	in	in	_	APPR	_	3	PP	_	_
6	dem	der	_	ART	dat|sg|neut	7	DET	_	_
7	Land	Land	_	NN	dat|sg|neut	5	PN	_	_
8	Libyen	Libyen	_	NE	dat|sg|neut	7	APP	_	_
9	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
10	es	es	_	PPER	nom|sg|neut|3	9	SUBJ	_	_
11	schwere	schwer	_	ADJA	acc|pl|masc|pos	12	ATTR	_	_
12	Kämpfe	Kampf	_	NN	acc|pl|masc	9	OBJA	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Viele	vieler	_	PIAT	nom|pl|masc	2	DET	_	_
2	Menschen	Mensch	_	NN	nom|pl|masc	3	PRED	_	_
3	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	dabei	dabei	_	PROAV	_	5	DET	_	_
5	getötet	töten	_	VVPP	_	6	AUX	_	_
6	worden	werden	_	VAPP	_	3	AUX	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Jetzt	jetzt	_	ADV	_	2	ADV	_	_
2	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	die	der	_	ART	nom|pl|fem	4	DET	_	_
4	Milizen	Miliz	_	NN	nom|pl|fem	7	OBJD	_	_
5	eine	ein	_	ART	acc|sg|fem	6	DET	_	_
6	Waffen-Ruhe	Waffen-Ruhe	_	NN	acc|sg|fem	4	GMOD	_	_
7	vereinbart	vereinbaren	_	VVPP	_	2	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Libyen	libyen	_	NE	nom|sg|neut	2	PRED	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	ein	ein	_	ART	nom|sg|neut	4	DET	_	_
4	Land	Land	_	NN	nom|sg|neut	2	PRED	_	_
5	im	in	_	APPRART	dat|sg|masc	4	PP	_	_
6	Norden	Norden	_	NN	dat|sg|masc	5	PN	_	_
7	von	von	_	APPR	_	6	PP	_	_
8	dem	der	_	ART	dat|sg|masc	9	DET	_	_
9	Kontinent	Kontinent	_	NN	dat|sg|masc	7	PN	_	_
10	Afrika	Afrika	_	NE	nom|sg|neut	9	APP	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Dort	dort	_	ADV	_	2	ADV	_	_
2	kämpfen	kämpfen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	seit	seit	_	APPR	_	2	PP	_	_
4	vielen	vieler	_	PIAT	dat|pl|neut	5	DET	_	_
5	Jahren	Jahr	_	NN	dat|pl|neut	3	PN	_	_
6	verschiedene	verschieden	_	ADJA	acc|pl|fem|pos	7	ATTR	_	_
7	Milizen	Miliz	_	NN	acc|pl|fem	2	OBJA	_	_
8	um	um	_	APPR	_	2	PP	_	_
9	die	der	_	ART	acc|sg|fem	10	DET	_	_
10	Macht	Macht	_	NN	acc|sg|fem	8	PN	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Besonders	besonders	_	ADV	_	2	ADV	_	_
2	schlimm	schlimm	_	ADJD	pos	3	ADV	_	_
3	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
