1	Kein	kein	_	PIAT	acc|sg|neut	2	DET	_	_
2	Treffen	Treffen	_	NN	acc|sg|neut	0	S	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Staats-Chefs	Staats-Chef	_	NN	nom|sg|fem	11	OBJA	_	_
3	von	von	_	APPR	_	2	PP	_	_
4	den	der	_	ART	dat|pl|neut	5	DET	_	_
5	Ländern	Land	_	NN	dat|pl|neut	3	PN	_	_
6	Nord-Korea	Nord-Korea	_	NE	nom|sg|neut	5	GMOD	_	_
7	und	und	_	KON	_	6	KON	_	_
8	USA	USA	_	NE	nom|pl|*	7	CJ	_	_
9	wollten	wollen	_	VMFIN	pl|3|past|ind	0	S	_	_
10	sich	sich	_	PRF	acc|pl|3	11	OBJA	_	_
11	treffen	treffen	_	VVINF	_	9	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	heißen	heißen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	Kim	Kim	_	NE	nom|sg|masc	2	PRED	_	_
4	Jong	Jong	_	NE	nom|sg|masc	2	PRED	_	_
5	Un	UN	_	NE	nom|sg|masc	2	PRED	_	_
6	und	und	_	KON	_	5	KON	_	_
7	Donald	Donald	_	NE	nom|sg|masc	6	CJ	_	_
8	Trump	Trump	_	NE	nom|sg|masc	2	PRED	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Jetzt	jetzt	_	ADV	_	2	ADV	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	aber	aber	_	ADV	_	6	ADV	_	_
4	Donald	Donald	_	NE	nom|sg|masc	6	OBJD	_	_
5	Trump	Trump	_	NE	nom|sg|masc	4	APP	_	_
6	gesagt	sagen	_	VVPP	_	2	AUX	_	_
7	:	--	_	$.	_	0	ROOT	_	_
8	Es	es	_	PPER	nom|sg|neut|3	9	SUBJ	_	_
9	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
10	erst	erst	_	ADV	_	11	ADV	_	_
11	mal	mal	_	ADV	_	9	ADV	_	_
12	kein	kein	_	PIAT	acc|sg|neut	13	DET	_	_
13	Treffen	Treffen	_	NN	acc|sg|neut	9	OBJA	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Donald	Donald	_	NE	nom|sg|masc	3	SUBJ	_	_
2	Trump	Trump	_	NE	nom|sg|masc	1	APP	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	auch	auch	_	ADV	_	5	ADV	_	_
5	gesagt	sagen	_	VVPP	_	3	AUX	_	_
6	:	--	_	$.	_	0	ROOT	_	_
7	Die	der	_	ART	nom|sg|fem	8	DET	_	_
8	Regierung	Regierung	_	NN	nom|sg|fem	11	SUBJ	_	_
9	von	von	_	APPR	_	8	PP	_	_
10	Nord-Korea	Nord-Korea	_	NE	dat|sg|neut	9	PN	_	_
11	hat	haben	_	VAFIN	sg|3|pres|ind	5	S	_	_
12	schlecht	schlecht	_	ADJD	pos	15	ADV	_	_
13	über	über	_	APPR	_	15	PP	_	_
14	uns	uns	_	PPER	dat|pl|*|1	13	PN	_	_
15	geredet	reden	_	VVPP	_	11	AUX	_	_
16	.	--	_	$.	_	0	ROOT	_	_

1	Ich	ich	_	PPER	nom|sg|*|1	2	SUBJ	_	_
2	will	wollen	_	VMFIN	sg|1|pres|ind	0	S	_	_
3	Kim	Kim	_	NE	*|*|*	10	OBJA	_	_
4	Jong	Jong	_	NE	*|*|*	3	APP	_	_
5	Un	UN	_	NE	*|*|*	4	APP	_	_
6	deshalb	deshalb	_	PROAV	_	3	DET	_	_
7	erst	erst	_	ADV	_	8	ADV	_	_
8	mal	mal	_	ADV	_	10	ADV	_	_
9	nicht	nicht	_	PTKNEG	_	10	ADV	_	_
10	treffen	treffen	_	VVINF	_	2	AUX	_	_
11	,	--	_	$,	_	0	ROOT	_	_

1	Donald	Donald	_	NE	nom|sg|masc	3	SUBJ	_	_
2	Trump	Trump	_	NE	nom|sg|masc	1	APP	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	auch	auch	_	ADV	_	5	ADV	_	_
5	gesagt	sagen	_	VVPP	_	3	AUX	_	_
6	:	--	_	$.	_	0	ROOT	_	_
7	Vielleicht	vielleicht	_	ADV	_	8	ADV	_	_
8	klappt	klappen	_	VVFIN	sg|3|pres|ind	0	S	_	_
9	es	es	_	PPER	nom|sg|neut|3	8	SUBJ	_	_
10	aber	aber	_	ADV	_	8	ADV	_	_
11	später	spät	_	ADJD	comp	8	ADV	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Staats-Chefs	Staats-Chef	_	NN	nom|sg|fem	3	SUBJ	_	_
3	sollten	sollen	_	VMFIN	pl|3|past|ind	0	S	_	_
4	sich	sich	_	PRF	acc|pl|3	8	OBJA	_	_
5	am	an	_	APPRART	dat|sg|masc	8	OBJP	_	_
6	12.	12.	_	ADJA	dat|sg|masc|pos	7	ATTR	_	_
7	Juni	Juni	_	NN	dat|sg|masc	5	PN	_	_
8	treffen	treffen	_	VVINF	_	3	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Regierung	Regierung	_	NN	nom|sg|fem	5	SUBJ	_	_
3	von	von	_	APPR	_	2	PP	_	_
4	Nord-Korea	Nord-Korea	_	NE	dat|sg|neut	3	PN	_	_
5	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
6	in	in	_	APPR	_	12	PP	_	_
7	den	der	_	ART	dat|pl|neut	9	DET	_	_
8	letzten	letzter	_	ADJA	dat|pl|neut|pos	9	ATTR	_	_
9	Tagen	Tag	_	NN	dat|pl|masc	6	PN	_	_
10	die	der	_	ART	nom|sg|fem	11	DET	_	_
11	USA	USA	_	NE	acc|pl|*	9	GMOD	_	_
