1	Konferenz	Konferenz	_	NN	nom|sg|fem	0	S	_	_
2	von	von	_	APPR	_	1	PP	_	_
3	Junger	junger	_	ADJA	dat|sg|fem|pos	4	ATTR	_	_
4	Union	Union	_	NN	dat|sg|fem	2	PN	_	_

1	Die	der	_	ART	nom|sg|fem	3	DET	_	_
2	Junge	jung	_	ADJA	nom|sg|fem|pos	3	ATTR	_	_
3	Union	Union	_	NN	nom|sg|fem	4	PRED	_	_
4	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	die	der	_	ART	nom|sg|fem	6	DET	_	_
6	Nachwuchs-Organisation	Nachwuchs-Organisation	_	NN	nom|sg|fem	4	PRED	_	_
7	der	der	_	ART	gen|pl|fem	8	DET	_	_
8	Parteien	Partei	_	NN	gen|pl|fem	6	GMOD	_	_
9	CDU	CDU	_	NE	nom|sg|fem	8	APP	_	_
10	und	und	_	KON	_	9	KON	_	_
11	CSU	CSU	_	NE	nom|sg|fem	10	CJ	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	3	DET	_	_
2	Junge	jung	_	ADJA	nom|sg|fem|pos	3	ATTR	_	_
3	Union	Union	_	NN	nom|sg|fem	14	OBJA	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	sich	sich	_	PRF	acc|sg|3	14	OBJA	_	_
6	auf	auf	_	APPR	_	14	PP	_	_
7	einer	ein	_	ART	dat|sg|fem	9	DET	_	_
8	großen	groß	_	ADJA	dat|sg|fem|pos	9	ATTR	_	_
9	Konferenz	Konferenz	_	NN	dat|sg|fem	6	PN	_	_
10	in	in	_	APPR	_	9	PP	_	_
11	der	der	_	ART	dat|sg|fem	12	DET	_	_
12	Stadt	Stadt	_	NN	dat|sg|fem	10	PN	_	_
13	Kiel	Kiel	_	NE	nom|sg|neut	12	APP	_	_
14	getroffen	treffen	_	VVPP	_	4	AUX	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Dabei	dabei	_	PROAV	_	2	DET	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	sie	sie	_	PPER	nom|sg|fem|3	7	OBJA	_	_
4	über	über	_	APPR	_	7	PP	_	_
5	wichtige	wichtig	_	ADJA	acc|pl|fem|pos	6	ATTR	_	_
6	Themen	Thema	_	NN	acc|pl|fem	4	PN	_	_
7	gesprochen	sprechen	_	VVPP	_	2	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	An	an	_	APPR	_	4	PP	_	_
2	der	der	_	ART	dat|sg|fem	3	DET	_	_
3	Konferenz	Konferenz	_	NN	dat|sg|fem	1	PN	_	_
4	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	etwa	etwa	_	ADV	_	6	ADV	_	_
6	1000	1000	_	CARD	_	7	ATTR	_	_
7	Mitglieder	Mitglied	_	NN	nom|pl|neut	12	OBJA	_	_
8	von	von	_	APPR	_	12	OBJP	_	_
9	der	der	_	ART	dat|sg|fem	10	DET	_	_
10	Jungen	jung	_	NN	dat|sg|fem	8	PN	_	_
11	Union	Union	_	NE	nom|sg|fem	10	APP	_	_
12	teilgenommen	teilnehmen	_	VVPP	_	4	AUX	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Auch	auch	_	ADV	_	2	ADV	_	_
2	Bundes-Kanzlerin	Bundes-Kanzlerin	_	NN	nom|sg|fem	5	SUBJ	_	_
3	Angela	Angela	_	NE	nom|sg|fem	2	APP	_	_
4	Merkel	Merkel	_	NE	nom|sg|fem	3	APP	_	_
5	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
6	dort	dort	_	ADV	_	7	ADV	_	_
7	gesprochen	sprechen	_	VVPP	_	5	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Merkel	Merkel	_	NE	nom|sg|*	2	PRED	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	die	der	_	ART	nom|sg|fem	4	DET	_	_
4	Vorsitzende	vorsitzend	_	NN	nom|sg|fem	2	PRED	_	_
5	der	der	_	ART	gen|sg|fem	6	DET	_	_
6	CDU	CDU	_	NE	gen|sg|fem	4	GMOD	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	4	PP	_	_
2	der	der	_	ART	dat|sg|fem	3	DET	_	_
3	Konferenz	Konferenz	_	NN	dat|sg|fem	1	PN	_	_
4	ging	gehen	_	VVFIN	sg|3|past|ind	0	S	_	_
5	es	es	_	PPER	nom|sg|neut|3	4	SUBJ	_	_
6	auch	auch	_	ADV	_	7	ADV	_	_
7	um	um	_	APPR	_	4	PP	_	_
8	die	der	_	ART	acc|sg|fem	9	DET	_	_
9	Politik	Politik	_	NN	acc|sg|fem	7	PN	_	_
10	von	von	_	APPR	_	9	PP	_	_
11	der	der	_	ART	dat|sg|fem	12	DET	_	_
12	Bundes-Regierung	Bundes-Regierung	_	NN	dat|sg|fem	10	PN	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Viele	vieler	_	PIAT	acc|pl|neut	2	DET	_	_
2	Mitglieder	Mitglied	_	NN	acc|pl|neut	0	S	_	_
3	von	von	_	APPR	_	7	PP	_	_
4	der	der	_	ART	dat|sg|fem	5	DET	_	_
5	Jungen	jung	_	NN	dat|sg|fem	0	S	_	_
6	Union	Union	_	NN	nom|sg|fem	3	PN	_	_
7	kritisieren	kritisieren	_	VVINF	_	11	OBJI	_	_
8	:	--	_	$.	_	0	ROOT	_	_
9	Die	der	_	ART	nom|sg|fem	10	DET	_	_
10	Bundes-Regierung	Bundes-Regierung	_	NN	nom|sg|fem	7	OBJG	_	_
