1	Konzert	Konzert	_	NN	nom|sg|masc	0	S	_	_
2	gegen	gegen	_	APPR	_	1	PP	_	_
3	Rechts	Recht	_	NN	acc|sg|*	2	PN	_	_

1	Nach	nach	_	APPR	_	6	PP	_	_
2	den	der	_	ART	dat|pl|fem	3	DET	_	_
3	Demonstrationen	Demonstration	_	NN	dat|pl|fem	1	PN	_	_
4	in	in	_	APPR	_	3	PP	_	_
5	Chemnitz	Chemnitz	_	NE	dat|sg|neut	4	PN	_	_
6	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
7	es	es	_	PPER	nom|sg|neut|3	6	SUBJ	_	_
8	dort	dort	_	ADV	_	13	ADV	_	_
9	ein	ein	_	ART	acc|sg|neut	10	DET	_	_
10	Konzert	Konzert	_	NN	acc|sg|neut	13	OBJA	_	_
11	gegen	gegen	_	APPR	_	10	PP	_	_
12	Rechts	Recht	_	NN	acc|sg|neut	11	PN	_	_
13	gegeben	geben	_	VVPP	_	6	AUX	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Außerdem	außerdem	_	PROAV	_	2	PP	_	_
2	streiten	streiten	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	die	der	_	ART	nom|pl|masc	4	DET	_	_
4	Menschen	Mensch	_	NN	nom|pl|masc	2	SUBJ	_	_
5	darüber	darüber	_	PROAV	_	2	PP	_	_
6	,	--	_	$,	_	0	ROOT	_	_
7	ob	ob	_	KOUS	_	18	KONJ	_	_
8	es	es	_	PPER	nom|sg|neut|3	18	SUBJ	_	_
9	in	in	_	APPR	_	17	PP	_	_
10	der	der	_	ART	dat|sg|fem	11	DET	_	_
11	Stadt	Stadt	_	NN	dat|sg|fem	9	PN	_	_
12	wirklich	wirklich	_	ADJD	pos	17	ADV	_	_
13	zu	zu	_	APPR	_	17	PP	_	_
14	Hetz-Jagden	Hetzjagd	_	NN	dat|pl|fem	13	PN	_	_
15	gegen	gegen	_	APPR	_	14	PP	_	_
16	Ausländer	Ausländer	_	NN	acc|pl|masc	15	PN	_	_
17	gekommen	kommen	_	VVPP	_	18	AUX	_	_
18	ist	sein	_	VAFIN	sg|3|pres|ind	2	OBJC	_	_
19	.	--	_	$.	_	0	ROOT	_	%% Bild nl_A10 %%

1	In	in	_	APPR	_	3	PP	_	_
2	Chemnitz	Chemnitz	_	NE	dat|sg|neut	1	PN	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	es	es	_	PPER	nom|sg|neut|3	3	SUBJ	_	_
5	in	in	_	APPR	_	11	PP	_	_
6	den	der	_	ART	dat|pl|neut	8	DET	_	_
7	vergangenen	vergangen	_	ADJA	dat|pl|neut|pos	8	ATTR	_	_
8	Tagen	Tag	_	NN	dat|pl|masc	5	PN	_	_
9	viele	vieler	_	PIAT	acc|pl|fem	10	DET	_	_
10	Demonstrationen	Demonstration	_	NN	acc|pl|fem	11	OBJA	_	_
11	gegeben	geben	_	VVPP	_	3	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Daran	daran	_	PROAV	_	10	OBJP	_	_
2	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	auch	auch	_	ADV	_	4	ADV	_	_
4	Neo-Nazis	Neonazi	_	NN	nom|pl|masc	2	SUBJ	_	_
5	und	und	_	KON	_	4	KON	_	_
6	Hooligans	Hooligan	_	NN	nom|pl|masc	5	CJ	_	_
7	aus	aus	_	APPR	_	4	PP	_	_
8	ganz	ganz	_	ADJA	pos	9	ATTR	_	_
9	Deutschland	Deutschland	_	NE	dat|sg|neut	7	PN	_	_
10	teilgenommen	teilnehmen	_	VVPP	_	2	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Auslöser	Auslöser	_	NN	nom|sg|masc	3	PRED	_	_
3	war	sein	_	VVFIN	sg|3|past|ind	0	S	_	_
4	der	der	_	ART	nom|sg|masc	5	DET	_	_
5	Tod	Tod	_	NN	nom|sg|masc	3	SUBJ	_	_
6	von	von	_	APPR	_	5	PP	_	_
7	einem	ein	_	ART	dat|sg|masc	9	DET	_	_
8	35-jährigen	35-jährig	_	ADJA	dat|sg|masc|pos	9	ATTR	_	_
9	Mann	Mann	_	NN	dat|sg|masc	6	PN	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	auf	auf	_	APPR	_	6	PP	_	_
4	dem	der	_	ART	dat|sg|masc	5	DET	_	_
5	Stadt-Fest	Stadtfest	_	NN	dat|sg|masc	3	PN	_	_
6	erstochen	erstechen	_	VVPP	_	7	AUX	_	_
7	worden	werden	_	VAPP	_	2	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|masc	2	DET	_	_
2	Täter	Täter	_	NN	nom|pl|masc	3	SUBJ	_	_
3	sollen	sollen	_	VMFIN	pl|3|pres|ind	0	S	_	_
4	Flüchtlinge	Flüchtling	_	NN	acc|pl|masc	3	PRED	_	_
5	aus	aus	_	APPR	_	4	PP	_	_
6	Syrien	Syrien	_	NE	dat|sg|neut	5	PN	_	_
7	und	und	_	KON	_	6	KON	_	_
8	dem	der	_	ART	dat|sg|masc	9	DET	_	_
9	Irak	Irak	_	NE	dat|sg|masc	7	CJ	_	_
10	sein	sein	_	VVINF	_	3	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	4	PP	_	_
2	den	der	_	ART	dat|pl|fem	3	DET	_	_
3	Demonstrationen	Demonstration	_	NN	dat|pl|fem	1	PN	_	_
4	wurden	werden	_	VAFIN	pl|3|past|ind	0	S	_	_
5	deshalb	deshalb	_	PROAV	_	9	PP	_	_
6	auch	auch	_	ADV	_	9	ADV	_	_
7	ausländer-feindliche	ausländerfeindlich	_	ADJA	acc|pl|masc|pos	8	ATTR	_	_
8	Sprüche	Spruch	_	NN	acc|pl|masc	4	SUBJ	_	_
9	gebrüllt	brüllen	_	VVPP	_	4	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Viele	viel	_	PIAT	nom|pl|masc	2	ATTR	_	_
2	Menschen	Mensch	_	NN	nom|pl|masc	6	SUBJ	_	_
3	in	in	_	APPR	_	2	PP	_	_
4	ganz	ganz	_	ADJA	pos	5	ATTR	_	_
5	Deutschland	Deutschland	_	NE	dat|sg|neut	3	PN	_	_
6	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
7	entsetzt	entsetzt	_	ADJD	pos	8	PRED	_	_
8	gewesen	sein	_	VVPP	_	6	AUX	_	_
9	,	--	_	$,	_	0	ROOT	_	_
10	als	als	_	KOUS	_	16	KONJ	_	_
11	sie	sie	_	PPER	nom|pl|masc|3	16	SUBJ	_	_
12	die	der	_	ART	acc|pl|fem	14	DET	_	_
13	vielen	vieler	_	PIAT	acc|pl|fem|pos	14	DET	_	_
14	Rechts-Radikalen	Rechtsradikale	_	NN	acc|pl|fem	15	OBJA	_	_
15	gesehen	sehen	_	VVPP	_	16	AUX	_	_
16	haben	haben	_	VAFIN	pl|3|pres|ind	6	NEB	_	_
17	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Musik-Gruppe	Musikgruppe	_	NN	nom|sg|fem	8	SUBJ	_	_
3	"	--	_	$(	_	0	ROOT	_	_
4	Die	der	_	ART	nom|sg|fem	6	DET	_	_
5	Toten	tot	_	ADJA	nom|sg|fem|pos	6	ATTR	_	_
6	Hosen	Hose	_	NN	nom|sg|fem	2	APP	_	_
7	"	--	_	$(	_	0	ROOT	_	_
8	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
9	mit	mit	_	APPR	_	18	PP	_	_
10	anderen	anderer	_	ADJA	dat|pl|masc|pos	11	ATTR	_	_
11	Musikern	Musiker	_	NN	dat|pl|masc	9	PN	_	_
12	ein	ein	_	ART	acc|sg|neut	13	DET	_	_
13	Konzert	Konzert	_	NN	acc|sg|neut	18	OBJA	_	_
14	gegen	gegen	_	APPR	_	13	PP	_	_
15	Rechts	Recht	_	NN	acc|sg|neut	14	PN	_	_
16	in	in	_	APPR	_	18	PP	_	_
17	Chemnitz	Chemnitz	_	NE	dat|sg|neut	16	PN	_	_
18	organisiert	organisieren	_	VVPP	_	8	AUX	_	_
19	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Motto	Motto	_	NN	nom|sg|neut	3	PRED	_	_
3	war	sein	_	VVFIN	sg|3|past|ind	0	S	_	_
4	"	--	_	$(	_	0	ROOT	_	_
5	Wir	wir	_	PPER	nom|pl|*|1	6	SUBJ	_	_
6	sind	sein	_	VVFIN	pl|1|pres|ind	3	SUBJ	_	_
7	mehr	mehr	_	ADV	*|*|*	6	ADV	_	_
8	"	--	_	$(	_	0	ROOT	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Es	es	_	PPER	nom|sg|neut|3	2	EXPL	_	_
2	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	65000	65000	_	CARD	_	4	ATTR	_	_
4	Menschen	Mensch	_	NN	nom|pl|masc	2	SUBJ	_	_
5	gekommen	kommen	_	VVPP	_	2	AUX	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Chemnitz	Chemnitz	_	NE	nom|sg|masc	2	SUBJ	_	_
2	ist	sein	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	in	in	_	APPR	_	2	PP	_	_
4	dem	der	_	ART	dat|sg|neut	5	DET	_	_
5	Bundes-Land	Bundesland	_	NN	dat|sg|neut	3	PN	_	_
6	Sachsen	Sachsen	_	NE	nom|sg|neut	5	APP	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Regierungs-Chef	Regierungschef	_	NN	nom|sg|masc	5	SUBJ	_	_
3	von	von	_	APPR	_	2	PP	_	_
4	Sachsen	Sachsen	_	NE	dat|sg|neut	3	PN	_	_
5	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
6	Michael	Michael	_	NE	nom|sg|masc	5	PRED	_	_
7	Kretschmer	Kretschmer	_	NE	nom|sg|masc	6	APP	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	gesagt	sagen	_	VVPP	_	2	AUX	_	_
4	:	--	_	$.	_	0	ROOT	_	_
5	Sachsen	Sachsen	_	NE	nom|sg|neut	6	SUBJ	_	_
6	hat	haben	_	VVFIN	sg|3|pres|ind	3	S	_	_
7	ein	ein	_	ART	acc|sg|neut	9	DET	_	_
8	großes	groß	_	ADJA	acc|sg|neut|pos	9	ATTR	_	_
9	Problem	Problem	_	NN	acc|sg|neut	6	OBJA	_	_
10	mit	mit	_	APPR	_	9	PP	_	_
11	den	der	_	ART	dat|pl|fem	12	DET	_	_
12	Rechts-Radikalen	Rechtsradikale	_	NN	dat|pl|fem	10	PN	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
