1	Macron	Macron	_	NE	nom|sg|*	0	S	_	_
2	in	in	_	APPR	_	1	PP	_	_
3	den	der	_	ART	dat|pl|*	4	DET	_	_
4	USA	USA	_	NE	dat|pl|*	2	PN	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Präsident	Präsident	_	NN	nom|sg|masc	7	S	_	_
3	von	von	_	APPR	_	2	PP	_	_
4	dem	der	_	ART	dat|sg|neut	5	DET	_	_
5	Land	Land	_	NN	dat|sg|neut	3	PN	_	_
6	Frankreich	Frankreich	_	NE	nom|sg|neut	5	APP	_	_
7	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
8	Emmanuel	Emmanuel	_	NE	acc|sg|fem	7	PRED	_	_
9	Macron	Macron	_	NE	acc|sg|fem	7	PRED	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	für	für	_	APPR	_	10	PP	_	_
4	drei	drei	_	CARD	_	5	ATTR	_	_
5	Tage	Tag	_	NN	acc|pl|masc	3	PN	_	_
6	in	in	_	APPR	_	10	PP	_	_
7	das	der	_	ART	acc|sg|neut	8	DET	_	_
8	Land	Land	_	NN	acc|sg|neut	6	PN	_	_
9	USA	USA	_	NE	nom|pl|*	8	APP	_	_
10	gereist	reisen	_	VVPP	_	2	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Dort	dort	_	ADV	_	2	ADV	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
4	sich	sich	_	PRF	acc|sg|3	9	OBJA	_	_
5	mit	mit	_	APPR	_	9	PP	_	_
6	Präsident	Präsident	_	NN	nom|sg|masc	5	PN	_	_
7	Donald	Donald	_	NE	nom|sg|masc	6	APP	_	_
8	Trump	Trump	_	NE	nom|sg|masc	7	APP	_	_
9	getroffen	treffen	_	VVPP	_	2	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Emmanuel	Emmanuel	_	NE	nom|sg|masc	6	SUBJ	_	_
2	Macron	Macron	_	NE	nom|sg|masc	1	APP	_	_
3	und	und	_	KON	_	2	KON	_	_
4	Donald	Donald	_	NE	nom|sg|masc	3	CJ	_	_
5	Trump	Trump	_	NE	nom|sg|masc	4	APP	_	_
6	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
7	zum	zu	_	APPRART	dat|sg|neut	13	PP	_	_
8	Beispiel	Beispiel	_	NN	dat|sg|neut	7	PN	_	_
9	über	über	_	APPR	_	13	PP	_	_
10	das	der	_	ART	acc|sg|neut	11	DET	_	_
11	Land	Land	_	NN	acc|sg|neut	9	PN	_	_
12	Iran	Iran	_	NE	nom|sg|masc	11	APP	_	_
13	geredet	reden	_	VVPP	_	6	AUX	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Mit	mit	_	APPR	_	4	PP	_	_
2	dem	der	_	ART	dat|sg|masc	3	DET	_	_
3	Iran	Iran	_	NE	dat|sg|masc	1	PN	_	_
4	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	es	es	_	PPER	nom|sg|neut|3	4	SUBJ	_	_
6	einen	ein	_	ART	acc|sg|masc	7	DET	_	_
7	Vertrag	Vertrag	_	NN	acc|sg|masc	4	ETH	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Darin	darin	_	PROAV	_	6	DET	_	_
2	steht	stehen	_	VVFIN	sg|3|pres|ind	0	REL	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	Der	der	_	ART	nom|sg|masc	5	DET	_	_
5	Iran	Iran	_	NE	nom|sg|masc	1	DET	_	_
6	darf	dürfen	_	VMFIN	sg|3|pres|ind	0	S	_	_
7	keine	kein	_	PIAT	acc|pl|fem	8	DET	_	_
8	Atom-Waffen	Atom-Waffe	_	NN	acc|pl|fem	9	OBJA	_	_
9	herstellen	herstellen	_	VVINF	_	6	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Dafür	dafür	_	PROAV	_	5	DET	_	_
2	verzichten	verzichten	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	die	der	_	ART	nom|pl|*	5	DET	_	_
4	anderen	anderer	_	ADJA	nom|pl|*|pos	5	ATTR	_	_
5	Länder	Land	_	NN	nom|pl|neut	2	SUBJ	_	_
6	auf	auf	_	APPR	_	2	OBJP	_	_
7	Strafen	Strafe	_	NN	acc|pl|fem	6	PN	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Trump	Trump	_	NE	nom|sg|*	2	PRED	_	_
2	findet	finden	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	den	der	_	ART	acc|sg|masc	4	DET	_	_
4	Vertrag	Vertrag	_	NN	acc|sg|masc	2	OBJA	_	_
5	schlecht	schlecht	_	ADJD	pos	2	ADV	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	will	wollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
3	,	--	_	$,	_	0	ROOT	_	_
4	dass	daß	_	KOUS	_	6	KONJ	_	_
5	die	der	_	ART	nom|pl|*	6	DET	_	_
6	USA	USA	_	NE	nom|pl|*	10	OBJA	_	_
7	dabei	dabei	_	PROAV	_	6	DET	_	_
8	nicht	nicht	_	PTKNEG	_	10	ADV	_	_
9	mehr	mehr	_	ADV	_	8	ADV	_	_
10	mitmachen	mitmachen	_	VVINF	_	2	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Macron	Macron	_	NE	nom|sg|*	2	PRED	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	für	für	_	APPR	_	2	PRED	_	_
4	den	der	_	ART	acc|sg|masc	5	DET	_	_
5	Vertrag	Vertrag	_	NN	acc|sg|masc	3	PN	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	bei	bei	_	APPR	_	7	PP	_	_
4	dem	der	_	ART	dat|sg|masc	5	DET	_	_
5	Besuch	Besuch	_	NN	dat|sg|masc	3	PN	_	_
6	aber	aber	_	ADV	_	7	ADV	_	_
7	gesagt	sagen	_	VVPP	_	2	AUX	_	_
8	:	--	_	$.	_	0	ROOT	_	_
9	Vielleicht	vielleicht	_	ADV	_	10	ADV	_	_
10	könnte	können	_	VMFIN	sg|3|past|subj	0	S	_	_
11	es	es	_	PPER	nom|sg|neut|3	10	SUBJ	_	_
12	einen	ein	_	ART	acc|sg|masc	16	DET	_	_
13	neueren	neu	_	ADJA	acc|sg|masc|pos	16	ATTR	_	_
14	und	und	_	KON	_	13	KON	_	_
15	besseren	gute	_	ADJA	acc|sg|masc|pos	14	CJ	_	_
16	Vertrag	Vertrag	_	NN	acc|sg|masc	17	OBJA	_	_
17	geben	geben	_	VVINF	_	10	AUX	_	_
18	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Präsident	Präsident	_	NN	nom|sg|masc	7	S	_	_
3	von	von	_	APPR	_	2	PP	_	_
4	dem	der	_	ART	dat|sg|neut	5	DET	_	_
5	Land	Land	_	NN	dat|sg|neut	3	PN	_	_
6	Iran	Iran	_	NE	nom|sg|masc	5	APP	_	_
7	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
8	Hassan	Hassan	_	NE	nom|sg|masc	7	PRED	_	_
9	Rohani	Rohani	_	NE	nom|sg|masc	7	PRED	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	gesagt	sagen	_	VVPP	_	2	AUX	_	_
4	,	--	_	$,	_	0	ROOT	_	_
5	dass	dass	_	KOUS	_	12	KONJ	_	_
6	der	der	_	ART	nom|sg|masc	7	DET	_	_
7	Iran	Iran	_	NE	nom|sg|masc	12	OBJA	_	_
8	den	der	_	ART	acc|sg|masc	9	DET	_	_
9	Vertrag	Vertrag	_	NN	acc|sg|masc	11	OBJA	_	_
10	nicht	nicht	_	PTKNEG	_	11	ADV	_	_
11	ändern	ändern	_	VVINF	_	12	AUX	_	_
12	möchte	möchten	_	VMFIN	sg|3|pres|ind	3	OBJC	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	3	DET	_	_
2	französische	französisch	_	ADJA	nom|sg|masc|pos	3	ATTR	_	_
3	Präsident	Präsident	_	NN	nom|sg|masc	5	SUBJ	_	_
4	Macron	Macron	_	NE	nom|sg|masc	3	APP	_	_
5	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
6	bei	bei	_	APPR	_	17	PP	_	_
7	seinem	sein	_	PPOSAT	dat|sg|masc	8	DET	_	_
8	Besuch	Besuch	_	NN	dat|sg|masc	6	PN	_	_
9	auch	auch	_	ADV	_	11	ADV	_	_
10	eine	ein	_	ART	nom|sg|fem	11	DET	_	_
11	Rede	Rede	_	NN	nom|sg|fem	17	OBJA	_	_
12	im	in	_	APPRART	dat|sg|neut	17	PP	_	_
13	Kongress	Kongress	_	NN	dat|sg|neut	12	PN	_	_
14	von	von	_	APPR	_	17	PP	_	_
15	den	der	_	ART	dat|pl|*	16	DET	_	_
16	USA	USA	_	NE	dat|pl|*	14	PN	_	_
17	gehalten	halten	_	VVPP	_	5	AUX	_	_
18	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	gesagt	sagen	_	VVPP	_	2	AUX	_	_
4	:	--	_	$.	_	0	ROOT	_	_
5	Die	der	_	ART	nom|pl|neut	6	DET	_	_
6	Länder	Land	_	NN	nom|pl|neut	10	SUBJ	_	_
7	in	in	_	APPR	_	6	PP	_	_
8	der	der	_	ART	dat|sg|fem	9	DET	_	_
9	Welt	Welt	_	NN	dat|sg|fem	7	PN	_	_
10	sollen	sollen	_	VMFIN	pl|3|pres|ind	3	S	_	_
11	eng	eng	_	ADJD	pos	13	ADV	_	_
12	zusammen	zusammen	_	ADV	_	13	ADV	_	_
13	arbeiten	arbeiten	_	VVINF	_	10	AUX	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Macron	Macron	_	NE	nom|sg|*	2	SUBJ	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	damit	damit	_	PROAV	_	4	DET	_	_
4	auf	auf	_	APPR	_	6	OBJP	_	_
5	Trump	Trump	_	NN	acc|sg|masc	4	PN	_	_
6	reagiert	reagieren	_	VVPP	_	2	AUX	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	PDS	nom|sg|masc	2	SUBJ	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	immer	immer	_	ADV	_	4	ADV	_	_
4	wieder	wieder	_	ADV	_	5	ADV	_	_
5	gesagt	sagen	_	VVPP	_	2	AUX	_	_
6	:	--	_	$.	_	0	ROOT	_	_
7	Ich	ich	_	PPER	nom|sg|*|1	8	SUBJ	_	_
