1	Mehr	mehr	_	PIAT	*|*|*	2	DET	_	_
2	Lohn	Lohn	_	NN	acc|sg|masc	0	S	_	_

1	Erzieher	Erzieher	_	NN	nom|sg|masc	0	S	_	_
2	,	--	_	$,	_	0	ROOT	_	_
3	Bus-Fahrer	Bus-Fahrer	_	NN	nom|sg|masc	1	KON	_	_
4	und	und	_	KON	_	3	KON	_	_
5	Angestellte	angestellter	_	NN	nom|pl|*	8	OBJA	_	_
6	in	in	_	APPR	_	5	PP	_	_
7	Ämtern	Ämt	_	NN	dat|pl|neut	6	PN	_	_
8	bekommen	bekommen	_	VVFIN	pl|3|pres|ind	4	CJ	_	_
9	mehr	mehr	_	PIAT	*|*|*	10	DET	_	_
10	Geld	Geld	_	NN	acc|sg|neut	8	OBJA	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|masc	2	DET	_	_
2	Arbeit-Geber	Arbeit-Geber	_	NN	nom|pl|masc	6	SUBJ	_	_
3	und	und	_	KON	_	2	KON	_	_
4	die	der	_	ART	nom|pl|fem	5	DET	_	_
5	Gewerkschaften	Gewerkschaft	_	NN	nom|pl|fem	3	CJ	_	_
6	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
7	verhandelt	verhandeln	_	VVPP	_	6	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Am	an	_	APPRART	dat|sg|neut	3	PP	_	_
2	Ende	Ende	_	NN	dat|sg|neut	1	PN	_	_
3	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	sie	sie	_	PPER	nom|pl|*|3	8	OBJA	_	_
5	einen	ein	_	ART	acc|sg|masc	7	DET	_	_
6	neuen	neu	_	ADJA	acc|sg|masc|pos	7	ATTR	_	_
7	Tarif-Vertrag	Tarif-Vertrag	_	NN	acc|sg|masc	8	OBJG	_	_
8	vereinbart	vereinbaren	_	VVPP	_	3	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Vertrag	Vertrag	_	NN	nom|sg|masc	3	SUBJ	_	_
3	gilt	gelten	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	für	für	_	APPR	_	3	PP	_	_
5	den	der	_	ART	acc|sg|masc	7	DET	_	_
6	öffentlichen	öffentlich	_	ADJA	acc|sg|masc|pos	7	ATTR	_	_
7	Dienst	Dienst	_	NN	acc|sg|masc	4	PN	_	_
8	in	in	_	APPR	_	3	PP	_	_
9	Städten	Stadt	_	NN	dat|pl|fem	8	PN	_	_
10	,	--	_	$,	_	0	ROOT	_	_
11	Gemeinden	Gemeinde	_	NN	dat|pl|fem	9	KON	_	_
12	und	und	_	KON	_	8	KON	_	_
13	im	in	_	APPRART	dat|sg|masc	12	CJ	_	_
14	Bund	Bund	_	NN	dat|sg|masc	13	PN	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	4	PP	_	_
2	dem	der	_	ART	dat|sg|masc	3	DET	_	_
3	Vertrag	Vertrag	_	NN	dat|sg|masc	1	PN	_	_
4	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	es	es	_	PPER	nom|sg|neut|3	4	SUBJ	_	_
6	3	3	_	CARD	_	7	ATTR	_	_
7	Lohn-Erhöhungen	Lohn-Erhöhung	_	NN	acc|pl|fem	4	OBJA	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	4	PP	_	_
2	diesem	dieser	_	PDAT	dat|sg|neut	3	DET	_	_
3	Jahr	Jahr	_	NN	dat|sg|neut	1	PN	_	_
4	steigen	steigen	_	VVFIN	pl|3|pres|ind	0	S	_	_
5	die	der	_	ART	nom|pl|masc	6	DET	_	_
6	Löhne	Lohn	_	NN	nom|pl|masc	4	SUBJ	_	_
7	um	um	_	APPR	_	4	PP	_	_
8	ungefähr	ungefähr	_	ADJD	pos	10	ADV	_	_
9	3	3	_	CARD	_	10	ATTR	_	_
10	Prozent	Prozent	_	NN	*|*|neut	7	PN	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	PDS	nom|sg|neut	2	SUBJ	_	_
2	bedeutet	bedeuten	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	Ein	ein	_	ART	nom|sg|masc	5	DET	_	_
5	Müll-Arbeiter	Müll-Arbeiter	_	NN	nom|sg|masc	6	OBJA	_	_
6	bekommt	bekommen	_	VVFIN	sg|3|pres|ind	2	S	_	_
7	zum	zu	_	APPRART	dat|sg|neut	6	PP	_	_
8	Beispiel	Beispiel	_	NN	dat|sg|neut	7	PN	_	_
9	ungefähr	ungefähr	_	ADJD	pos	6	ADV	_	_
10	90	90	_	CARD	_	11	ATTR	_	_
11	Euro	Euro	_	NN	*|*|neut	0	S	_	_
12	mehr	mehr	_	ADV	_	11	ADV	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Im	in	_	APPRART	dat|sg|neut	4	PP	_	_
2	nächsten	nächster	_	ADJA	dat|sg|neut|pos	3	ATTR	_	_
3	Jahr	Jahr	_	NN	dat|sg|neut	1	PN	_	_
4	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	es	es	_	PPER	nom|sg|neut|3	4	SUBJ	_	_
6	dann	dann	_	ADV	_	4	ADV	_	_
7	noch	noch	_	ADV	_	8	ADV	_	_
8	einmal	einmal	_	ADV	_	4	ADV	_	_
9	eine	ein	_	ART	nom|sg|fem	10	DET	_	_
10	Erhöhung	Erhöhung	_	NN	nom|sg|fem	4	OBJA	_	_
11	um	um	_	APPR	_	10	PP	_	_
12	3	3	_	CARD	_	13	ATTR	_	_
13	Prozent	Prozent	_	NN	*|*|neut	11	PN	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Und	und	_	KON	_	0	S	_	_
2	ein	ein	_	ART	nom|sg|neut	3	DET	_	_
3	Jahr	Jahr	_	NN	nom|sg|neut	5	ZEIT	_	_
4	später	spät	_	ADJD	comp	3	ADV	_	_
5	steigen	steigen	_	VVFIN	pl|3|pres|ind	1	CJ	_	_
6	die	der	_	ART	nom|pl|neut	7	DET	_	_
7	Löhne	Lohn	_	NN	nom|pl|neut	5	SUBJ	_	_
8	dann	dann	_	ADV	_	5	ADV	_	_
9	noch	noch	_	ADV	_	10	ADV	_	_
10	einmal	einmal	_	ADV	_	5	ADV	_	_
11	um	um	_	APPR	_	5	PP	_	_
12	1	1	_	CARD	_	13	ATTR	_	_
13	Prozent	Prozent	_	NN	*|*|neut	11	PN	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|fem	2	DET	_	_
2	Gewerkschaften	Gewerkschaft	_	NN	nom|pl|fem	6	OBJA	_	_
3	wollten	wollen	_	VMFIN	pl|3|past|ind	0	S	_	_
4	eigentlich	eigentlich	_	ADV	_	6	ADV	_	_
5	mehr	mehr	_	PIS	_	6	OBJA	_	_
6	erreichen	erreichen	_	VVINF	_	3	AUX	_	_
7	:	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	wollten	wollen	_	VMFIN	pl|3|past|ind	0	S	_	_
3	,	--	_	$,	_	0	ROOT	_	_
4	dass	dass	_	KOUS	_	7	KONJ	_	_
5	die	der	_	ART	nom|pl|masc	6	DET	_	_
6	Löhne	Lohn	_	NN	nom|pl|masc	7	APP	_	_
7	gleich	gleich	_	ADV	_	14	ADV	_	_
8	in	in	_	APPR	_	14	PP	_	_
9	diesem	dieser	_	PDAT	dat|sg|neut	10	DET	_	_
10	Jahr	Jahr	_	NN	dat|sg|neut	8	PN	_	_
11	um	um	_	APPR	_	14	PP	_	_
12	6	6	_	CARD	_	13	ATTR	_	_
13	Prozent	Prozent	_	NN	*|*|neut	11	PN	_	_
14	steigen	steigen	_	VVINF	_	2	AUX	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Und	und	_	KON	_	0	S	_	_
2	sie	sie	_	PPER	nom|pl|*|3	3	SUBJ	_	_
3	wollten	wollen	_	VMFIN	pl|3|past|ind	1	CJ	_	_
4	,	--	_	$,	_	0	ROOT	_	_
5	dass	daß	_	KOUS	_	11	KONJ	_	_
6	jeder	jeder	_	PIS	nom|sg|masc	11	SUBJ	_	_
7	mindestens	mindestens	_	ADV	_	8	ADV	_	_
8	200	200	_	CARD	_	9	ATTR	_	_
9	Euro	Euro	_	NN	*|*|masc	11	OBJA	_	_
10	mehr	mehr	_	ADV	_	9	ADV	_	_
11	bekommt	bekommen	_	VVFIN	sg|3|pres|ind	3	OBJC	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Dafür	dafür	_	PROAV	_	2	DET	_	_
2	hatten	haben	_	VAFIN	pl|3|past|ind	0	S	_	_
3	viele	vieler	_	PIAT	nom|pl|masc	4	ATTR	_	_
4	Mitarbeiter	Mitarbeiter	_	NN	nom|pl|masc	5	OBJG	_	_
5	gestreikt	streiken	_	VVPP	_	2	AUX	_	_
6	und	und	_	KON	_	5	KON	_	_
7	demonstriert	demonstrieren	_	VVPP	_	6	CJ	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Trotzdem	trotzdem	_	PROAV	_	2	DET	_	_
2	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	die	der	_	ART	nom|pl|neut	4	DET	_	_
4	Gewerkschafts-Chefs	Gewerkschafts-Chef	_	NN	nom|pl|neut	2	ETH	_	_
5	jetzt	jetzt	_	ADV	_	2	ADV	_	_
6	zufrieden	zufrieden	_	ADJD	pos	2	PRED	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	sagen	sagen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	Es	es	_	PPER	nom|sg|neut|3	5	EXPL	_	_
5	ist	sein	_	VAFIN	sg|3|pres|ind	2	S	_	_
6	das	der	_	ART	nom|sg|neut	8	DET	_	_
7	beste	gut	_	ADJA	nom|sg|neut|sup	8	ATTR	_	_
8	Ergebnis	Ergebnis	_	NN	nom|sg|neut	5	PRED	_	_
9	seit	seit	_	APPR	_	8	PP	_	_
10	langer	lang	_	ADJA	dat|sg|fem|pos	11	ATTR	_	_
11	Zeit	Zeit	_	NN	dat|sg|fem	9	PN	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Viele	vieler	_	PIAT	nom|pl|fem	2	DET	_	_
2	Städte	Stadt	_	NN	nom|pl|fem	3	OBJD	_	_
3	sagen	sagen	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	aber	aber	_	ADV	_	3	ADV	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Die	der	_	ART	nom|pl|masc	7	DET	_	_
7	Löhne	Lohn	_	NN	nom|pl|masc	8	SUBJ	_	_
8	steigen	steigen	_	VVFIN	pl|3|pres|ind	0	S	_	_
9	zu	zu	_	PTKA	_	10	ADV	_	_
10	stark	stark	_	ADJD	pos	8	ADV	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Wir	wir	_	PPER	nom|pl|*|1	2	SUBJ	_	_
2	wissen	wissen	_	VVFIN	pl|1|pres|ind	0	S	_	_
3	nicht	nicht	_	PTKNEG	_	2	ADV	_	_
4	,	--	_	$,	_	0	ROOT	_	_
5	wie	wie	_	PWAV	_	8	ADV	_	_
