1	Neujahrs-Ansprache	Neujahrs-Ansprache	_	NN	nom|sg|fem	0	S	_	_

1	Bundes-Kanzlerin	Bundes-Kanzlerin	_	NN	nom|sg|fem	3	SUBJ	_	_
2	Merkel	Merkel	_	NE	nom|sg|fem	1	APP	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	zum	zu	_	APPRART	dat|sg|masc	8	OBJP	_	_
5	Jahres-Wechsel	Jahres-Wechsel	_	NN	dat|sg|masc	4	PN	_	_
6	eine	ein	_	ART	acc|sg|fem	7	DET	_	_
7	Rede	Rede	_	NN	acc|sg|fem	5	GMOD	_	_
8	gehalten	halten	_	VVPP	_	3	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Rede	Rede	_	NN	nom|sg|fem	3	OBJA2	_	_
3	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	auch	auch	_	ADV	_	3	ADV	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Neujahrs-Ansprache	Neujahrs-Ansprache	_	NN	nom|sg|fem	3	PRED	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Merkel	Merkel	_	NE	nom|sg|*	3	OBJD	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	gesagt	sagen	_	VVPP	_	2	AUX	_	_
4	:	--	_	$.	_	0	ROOT	_	_
5	Die	der	_	ART	nom|pl|neut	6	DET	_	_
6	Länder	Land	_	NN	nom|pl|neut	7	AUX	_	_
7	müssen	müssen	_	VMFIN	pl|3|pres|ind	3	S	_	_
8	zusammen-arbeiten	zusammen-arbeiten	_	VVINF	_	7	AUX	_	_
9	,	--	_	$,	_	0	ROOT	_	_
10	wenn	wenn	_	KOUS	_	15	KONJ	_	_
11	sie	sie	_	PPER	nom|sg|fem|3	15	SUBJ	_	_
12	große	groß	_	ADJA	acc|pl|neut|pos	13	ATTR	_	_
13	Probleme	Problem	_	NN	acc|pl|neut	14	OBJG	_	_
14	lösen	lösen	_	VVINF	_	15	AUX	_	_
15	wollen	wollen	_	VMFIN	pl|3|pres|ind	7	NEB	_	_
16	.	--	_	$.	_	0	ROOT	_	_

1	Merkel	Merkel	_	NE	nom|sg|*	5	OBJA2	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	3	3	_	CARD	_	5	ZEIT	_	_
4	Themen	Thema	_	NN	acc|pl|neut	5	OBJA2	_	_
