1	Partei-Chefs	Partei-Chef	_	NN	nom|pl|masc	0	S	_	_
2	für	für	_	APPR	_	1	PP	_	_
3	Koalitions-Gespräche	Koalitions-Gespräch	_	NN	acc|pl|neut	2	PN	_	_

1	Die	der	_	ART	nom|pl|fem	2	DET	_	_
2	Parteien	Partei	_	NN	nom|pl|fem	0	S	_	_
3	CDU	CDU	_	NE	nom|sg|fem	2	APP	_	_
4	,	--	_	$,	_	0	ROOT	_	_
5	CSU	CSU	_	NE	nom|sg|fem	3	KON	_	_
6	und	und	_	KON	_	5	KON	_	_
7	SPD	SPD	_	NE	nom|sg|fem	6	CJ	_	_
8	wollen	wollen	_	VMFIN	pl|3|pres|ind	3	REL	_	_
9	vielleicht	vielleicht	_	ADV	_	10	ADV	_	_
10	wieder	wieder	_	ADV	_	12	ADV	_	_
11	zusammen	zusammen	_	ADV	_	12	ADV	_	_
12	regieren	regieren	_	VVFIN	_	3	REL	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	PDS	acc|sg|neut	2	SUBJ	_	_
2	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	die	der	_	ART	nom|pl|masc	4	DET	_	_
4	Partei-Chefs	Partei-Chef	_	NN	nom|pl|masc	8	OBJA	_	_
5	heute	heute	_	ADV	_	8	ADV	_	_
6	in	in	_	APPR	_	8	PP	_	_
7	Berlin	Berlin	_	NE	dat|sg|neut	6	PN	_	_
8	gesagt	sagen	_	VVPP	_	2	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Vorher	vorher	_	ADV	_	2	ADV	_	_
2	hatten	haben	_	VAFIN	pl|3|past|ind	0	S	_	_
3	wichtige	wichtig	_	ADJA	nom|pl|masc|pos	4	ATTR	_	_
4	Politiker	Politiker	_	NN	nom|pl|masc	2	SUBJ	_	_
5	von	von	_	APPR	_	4	PP	_	_
6	allen	aller	_	PIAT	dat|pl|fem	8	DET	_	_
7	drei	drei	_	CARD	_	8	ATTR	_	_
8	Parteien	Partei	_	NN	dat|pl|fem	5	PN	_	_
9	eine	ein	_	ART	acc|sg|fem	10	DET	_	_
10	Woche	Woche	_	NN	acc|sg|fem	12	ZEIT	_	_
11	lang	lang	_	ADJD	pos	12	ADV	_	_
12	geredet	reden	_	VVPP	_	2	AUX	_	_
13	und	und	_	KON	_	12	KON	_	_
14	gestritten	streiten	_	VVPP	_	13	CJ	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	wollten	wollen	_	VMFIN	pl|3|past|ind	0	S	_	_
3	herausfinden	herausfinden	_	VVINF	_	2	AUX	_	_
4	,	--	_	$,	_	0	ROOT	_	_
5	ob	ob	_	KOUS	_	9	KONJ	_	_
6	es	es	_	PPER	nom|sg|neut|3	9	SUBJ	_	_
7	genug	genug	_	PIAT	*|*|*	8	DET	_	_
8	Themen	Thema	_	NN	nom|pl|neut	9	OBJD	_	_
9	gibt	geben	_	VVFIN	sg|3|pres|ind	3	OBJC	_	_
10	,	--	_	$,	_	0	ROOT	_	_
11	bei	bei	_	APPR	_	16	PP	_	_
12	denen	der	_	PRELS	dat|pl|masc	11	PN	_	_
13	sie	sie	_	PPER	nom|pl|*|3	17	SUBJ	_	_
14	zusammen	zusammen	_	ADV	_	16	ADV	_	_
15	Politik	Politik	_	NN	acc|sg|fem	16	PRED	_	_
16	machen	machen	_	VVINF	_	17	AUX	_	_
17	wollen	wollen	_	VMFIN	pl|3|pres|ind	8	REL	_	_
18	.	--	_	$.	_	0	ROOT	_	_

1	Zum	zu	_	APPRART	dat|sg|masc	3	PP	_	_
2	Schluss	Schluss	_	NN	dat|sg|masc	1	PN	_	_
3	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	die	der	_	ART	nom|pl|masc	5	DET	_	_
5	Politiker	Politiker	_	NN	nom|pl|masc	6	OBJG	_	_
6	aufgeschrieben	aufschreiben	_	VVPP	_	3	AUX	_	_
7	,	--	_	$,	_	0	ROOT	_	_
8	wie	wie	_	PWAV	_	12	ADV	_	_
9	sie	sie	_	PPER	nom|pl|fem|3	13	SUBJ	_	_
10	zusammen	zusammen	_	ADV	_	12	ADV	_	_
11	Politik	Politik	_	NN	acc|sg|fem	12	PRED	_	_
12	machen	machen	_	VVINF	_	13	AUX	_	_
13	wollen	wollen	_	VMFIN	pl|3|pres|ind	6	OBJC	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	wollen	wollen	_	VMFIN	pl|3|pres|ind	0	S	_	_
3	zum	zu	_	APPRART	dat|sg|neut	7	PP	_	_
4	Beispiel	Beispiel	_	NN	dat|sg|neut	3	PN	_	_
5	das	der	_	ART	nom|sg|neut	6	DET	_	_
6	Kinder-Geld	Kinder-Geld	_	NN	nom|sg|neut	0	S	_	_
7	erhöhen	erhöhen	_	VVINF	_	2	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	7	PP	_	_
2	den	der	_	ART	dat|pl|masc	3	DET	_	_
3	Beiträgen	Beitrag	_	NN	dat|pl|masc	1	PN	_	_
4	für	für	_	APPR	_	3	PP	_	_
5	die	der	_	ART	acc|sg|fem	6	DET	_	_
