1	Streit	Streit	_	NN	nom|sg|masc	0	S	_	_
2	um	um	_	APPR	_	1	PP	_	_
3	Minister	Minister	_	NN	acc|sg|masc	2	PN	_	_

1	In	in	_	APPR	_	4	PP	_	_
2	der	der	_	ART	dat|sg|fem	3	DET	_	_
3	SPD	SPD	_	NE	dat|sg|fem	1	PN	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	es	es	_	PPER	nom|sg|neut|3	8	OBJA	_	_
6	Streit	Streit	_	NN	acc|sg|masc	8	OBJA	_	_
7	darüber	darüber	_	PROAV	_	6	DET	_	_
8	gegeben	geben	_	VVPP	_	4	AUX	_	_
9	,	--	_	$,	_	0	ROOT	_	_
10	wer	wer	_	PWS	nom|sg|masc	13	SUBJ	_	_
11	Minister	Minister	_	NN	nom|sg|masc	12	PRED	_	_
12	werden	werden	_	VAINF	_	13	AUX	_	_
13	soll	sollen	_	VMFIN	sg|3|pres|ind	8	OBJC	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Dabei	dabei	_	PROAV	_	2	DET	_	_
2	gab	geben	_	VVFIN	sg|3|past|ind	0	S	_	_
3	es	es	_	PPER	nom|sg|neut|3	2	SUBJ	_	_
4	viel	viel	_	PIAT	*|*|*	5	ATTR	_	_
5	Kritik	Kritik	_	NN	acc|sg|fem	2	OBJA	_	_
6	an	an	_	APPR	_	5	PP	_	_
7	Martin	Martin	_	NE	acc|sg|neut	6	PN	_	_
8	Schulz	Schulz	_	NE	acc|sg|neut	7	APP	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	Vorsitzender	vorsitzend	_	NN	nom|sg|masc	2	PRED	_	_
4	von	von	_	APPR	_	3	PP	_	_
5	der	der	_	ART	dat|sg|fem	6	DET	_	_
6	SPD	SPD	_	NE	dat|sg|fem	4	PN	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Martin	Martin	_	NE	nom|sg|masc	3	SUBJ	_	_
2	Schulz	Schulz	_	NE	nom|sg|masc	1	APP	_	_
3	hatte	haben	_	VAFIN	sg|3|past|ind	0	S	_	_
4	vor	vor	_	APPR	_	9	PP	_	_
5	und	und	_	KON	_	4	KON	_	_
6	nach	nach	_	APPR	_	5	CJ	_	_
7	der	der	_	ART	dat|sg|fem	8	DET	_	_
8	Bundestagswahl	Bundestagswahl	_	NN	dat|sg|fem	6	PN	_	_
9	gesagt	sagen	_	VVPP	_	3	AUX	_	_
10	:	--	_	$.	_	0	ROOT	_	_
11	Ich	ich	_	PPER	nom|sg|*|1	12	SUBJ	_	_
12	will	wollen	_	VMFIN	sg|1|pres|ind	9	S	_	_
13	kein	kein	_	PIAT	nom|sg|masc	14	DET	_	_
14	Minister	Minister	_	NN	nom|sg|masc	15	PRED	_	_
15	werden	werden	_	VAINF	_	12	AUX	_	_
16	,	--	_	$,	_	0	ROOT	_	_
17	wenn	wenn	_	KOUS	_	23	KONJ	_	_
