1	Trump	Trump	_	NN	nom|sg|*	2	APP	_	_
2	trifft	treffen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	Kim	Kim	_	NE	acc|sg|*	2	OBJA	_	_

1	Zum	zu	_	APPRART	dat|sg|neut	4	PP	_	_
2	ersten	erster	_	ADJA	dat|sg|neut|pos	3	ATTR	_	_
3	Mal	Mal	_	NN	dat|sg|neut	1	PN	_	_
4	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	sich	sich	_	PRF	acc|pl|3	14	OBJD	_	_
6	die	der	_	ART	nom|pl|masc	7	DET	_	_
7	Staats-Chefs	Staats-Chef	_	NN	nom|pl|masc	14	OBJA	_	_
8	von	von	_	APPR	_	7	PP	_	_
9	den	der	_	ART	dat|pl|neut	10	DET	_	_
10	Ländern	Land	_	NN	dat|pl|neut	8	PN	_	_
11	USA	USA	_	NE	nom|pl|*	10	APP	_	_
12	und	und	_	KON	_	11	KON	_	_
13	Nord-Korea	Nord-Korea	_	NE	nom|sg|neut	12	CJ	_	_
14	getroffen	treffen	_	VVPP	_	4	AUX	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	heißen	heißen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	Donald	Donald	_	NE	nom|sg|masc	2	PRED	_	_
4	Trump	Trump	_	NE	nom|sg|masc	2	PRED	_	_
5	und	und	_	KON	_	4	KON	_	_
6	Kim	Kim	_	NE	nom|sg|masc	5	CJ	_	_
7	Jong	Jong	_	NE	nom|sg|masc	2	PRED	_	_
8	Un	UN	_	NE	nom|sg|masc	2	PRED	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	4	PP	_	_
2	dem	der	_	ART	dat|sg|neut	3	DET	_	_
3	Treffen	treffen	_	NN	dat|sg|neut	1	PN	_	_
4	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	sie	sie	_	PPER	nom|pl|*|3	9	OBJA	_	_
6	eine	ein	_	ART	acc|sg|fem	8	DET	_	_
7	wichtige	wichtig	_	ADJA	acc|sg|fem|pos	8	ATTR	_	_
8	Erklärung	Erklärung	_	NN	acc|sg|fem	9	OBJG	_	_
9	unterschrieben	unterschreiben	_	VVPP	_	4	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Treffen	Treffen	_	NN	nom|sg|neut	3	SUBJ	_	_
3	war	sein	_	VAFIN	sg|3|past|ind	0	S	_	_
4	in	in	_	APPR	_	3	PP	_	_
5	dem	der	_	ART	dat|sg|neut	6	DET	_	_
6	Land	Land	_	NN	dat|sg|neut	4	PN	_	_
7	Singapur	Singapur	_	NE	nom|sg|neut	6	APP	_	_
8	in	in	_	APPR	_	7	PP	_	_
9	Asien	Asien	_	NE	dat|sg|neut	8	PN	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Kim	Kim	_	NE	nom|sg|*	3	OBJD	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	gesagt	sagen	_	VVPP	_	2	AUX	_	_
4	:	--	_	$.	_	0	ROOT	_	_
5	Nordkorea	Nordkorea	_	NE	nom|sg|neut	0	S	_	_
6	will	wollen	_	VMFIN	sg|3|pres|ind	3	S	_	_
7	alle	aller	_	PIAT	acc|pl|fem	8	DET	_	_
8	Atom-Waffen	Atom-Waffe	_	NN	acc|pl|fem	9	OBJA	_	_
9	abschaffen	abschaffen	_	VVINF	_	6	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Trump	Trump	_	NE	nom|sg|*	15	OBJA	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	erklärt	erklären	_	VVPP	_	2	AUX	_	_
4	:	--	_	$.	_	0	ROOT	_	_
5	Die	der	_	ART	acc|pl|*	6	DET	_	_
6	USA	USA	_	NE	acc|pl|*	7	SUBJ	_	_
7	wollen	wollen	_	VMFIN	pl|3|pres|ind	3	S	_	_
8	erst	erst	_	ADV	_	9	ADV	_	_
9	mal	mal	_	ADV	_	15	ADV	_	_
10	die	der	_	ART	nom|pl|masc	12	DET	_	_
11	gemeinsamen	gemeinsam	_	ADJA	nom|pl|masc|pos	12	ATTR	_	_
12	Sicherheits-Militär-Übungen	Sicherheits-Militär-Übung	_	NN	nom|pl|masc	15	OBJA	_	_
13	mit	mit	_	APPR	_	12	PP	_	_
14	Süd-Korea	Süd-Korea	_	NE	dat|sg|neut	13	PN	_	_
15	stoppen	stoppen	_	VVINF	_	7	AUX	_	_
16	.	--	_	$.	_	0	ROOT	_	_

1	Beide	beide	_	PIAT	nom|pl|masc	2	DET	_	_
2	Politiker	Politiker	_	NN	nom|pl|masc	3	SUBJ	_	_
3	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	aber	aber	_	ADV	_	7	ADV	_	_
5	nicht	nicht	_	PTKNEG	_	7	ADV	_	_
6	genau	genau	_	ADJD	pos	7	ADV	_	_
7	gesagt	sagen	_	VVPP	_	3	AUX	_	_
8	,	--	_	$,	_	0	ROOT	_	_
9	wie	wie	_	PWAV	_	12	ADV	_	_
10	sie	sie	_	PPER	nom|pl|masc|3	13	SUBJ	_	_
11	das	der	_	PDS	acc|sg|neut	12	OBJA	_	_
12	machen	machen	_	VVINF	_	13	AUX	_	_
13	wollen	wollen	_	VMFIN	pl|3|pres|ind	7	OBJC	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Politiker	Politiker	_	NN	nom|pl|masc	4	OBJA	_	_
2	und	und	_	KON	_	1	KON	_	_
3	Experten	Experte	_	NN	nom|pl|masc	2	CJ	_	_
4	sagen	sagen	_	VVFIN	pl|3|pres|ind	0	S	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Das	der	_	PDS	nom|sg|neut	7	SUBJ	_	_
7	ist	sein	_	VAFIN	sg|3|pres|ind	4	S	_	_
8	ein	ein	_	ART	nom|sg|masc	11	DET	_	_
9	erster	erster	_	ADJA	nom|sg|masc|pos	11	ATTR	_	_
10	wichtiger	wichtig	_	ADJA	nom|sg|masc|pos	11	ATTR	_	_
11	Schritt	Schritt	_	NN	nom|sg|masc	7	PRED	_	_
