1	Warn-Streiks	Warn-Streik	_	NE	gen|sg|neut	0	S	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Deutschland	Deutschland	_	NE	dat|sg|neut	1	PN	_	_
3	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	zehntausende	zehntausend	_	ADJA	nom|pl|masc|pos	5	ATTR	_	_
5	Mitarbeiter	Mitarbeiter	_	NN	nom|pl|masc	12	OBJA	_	_
6	von	von	_	APPR	_	5	PP	_	_
7	Metall-Betrieben	Metall-Betrieb	_	NN	dat|pl|masc	6	PN	_	_
8	in	in	_	APPR	_	12	PP	_	_
9	dieser	dieser	_	PDAT	dat|sg|fem	10	DET	_	_
10	Woche	Woche	_	NN	dat|sg|fem	8	PN	_	_
11	weniger	weniger	_	ADV	_	12	ADV	_	_
12	gearbeitet	arbeiten	_	VVPP	_	3	AUX	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Gewerkschaft	Gewerkschaft	_	NN	nom|sg|fem	5	SUBJ	_	_
3	IG	IG	_	NN	nom|sg|fem	2	APP	_	_
4	Metall	Metall	_	NN	nom|sg|neut	3	APP	_	_
5	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
6	zu	zu	_	APPR	_	8	OBJP	_	_
7	Warn-Streiks	Warn-Streik	_	NE	dat|sg|*	6	PN	_	_
8	aufgerufen	aufrufen	_	VVPP	_	5	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|sg|fem|3	2	SUBJ	_	_
2	will	wollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
3	erreichen	erreichen	_	VVINF	_	2	AUX	_	_
4	,	--	_	$,	_	0	ROOT	_	_
5	dass	dass	_	KOUS	_	14	KONJ	_	_
6	die	der	_	ART	acc|pl|masc	7	DET	_	_
7	Mitarbeiter	Mitarbeiter	_	NN	acc|pl|masc	14	SUBJ	_	_
8	nur	nur	_	ADV	_	10	ADV	_	_
9	noch	noch	_	ADV	_	10	ADV	_	_
10	28	28	_	CARD	_	11	ATTR	_	_
11	Stunden	Stunde	_	NN	acc|pl|fem	14	ZEIT	_	_
12	pro	pro	_	APPR	_	14	PP	_	_
13	Woche	Woche	_	NN	dat|sg|fem	12	PN	_	_
14	arbeiten	arbeiten	_	VVFIN	pl|3|pres|ind	3	OBJC	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Dabei	dabei	_	PROAV	_	2	DET	_	_
2	sollen	sollen	_	VMFIN	pl|3|pres|ind	0	S	_	_
3	sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
4	aber	aber	_	ADV	_	8	ADV	_	_
5	nicht	nicht	_	PTKNEG	_	8	ADV	_	_
6	viel	viel	_	ADV	_	7	ADV	_	_
7	weniger	weniger	_	PIS	_	8	OBJA	_	_
8	verdienen	verdienen	_	VVFIN	pl|3|pres|ind	2	KON	_	_
9	als	als	_	KOKOM	_	8	KOM	_	_
10	bisher	bisher	_	ADV	_	9	CJ	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Dagegen	dagegen	_	PROAV	_	2	DET	_	_
2	wehren	wehren	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	sich	sich	_	PRF	acc|pl|3	2	OBJA	_	_
