1	Arnd	Arnd	_	NE	nom|sg|masc	0	S	_	_
2	Peiffer	Peiffer	_	NE	nom|sg|masc	1	APP	_	_
3	bei	bei	_	APPR	_	0	S	_	_
4	den	der	_	ART	dat|pl|*	6	DET	_	_
5	Olympischen	olympisch	_	ADJA	dat|pl|*|pos	6	ATTR	_	_
6	Spielen	Spiel	_	NN	dat|pl|*	3	PN	_	_

1	Am	an	_	APPRART	dat|sg|masc	3	PP	_	_
2	Freitag	Freitag	_	NN	dat|sg|masc	1	PN	_	_
3	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	die	der	_	ART	nom|pl|fem	6	DET	_	_
5	Olympischen	olympisch	_	ADJA	nom|pl|fem|pos	6	ATTR	_	_
6	Spiele	Spiel	_	NN	nom|pl|fem	3	SUBJ	_	_
7	begonnen	beginnen	_	VVPP	_	3	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|fem	3	DET	_	_
2	Olympischen	olympisch	_	ADJA	nom|pl|fem	3	ATTR	_	_
3	Spiele	Spiel	_	NN	nom|pl|fem	4	SUBJ	_	_
4	sind	sein	_	VVFIN	pl|3|pres|ind	0	S	_	_
5	der	der	_	ART	nom|sg|masc	7	DET	_	_
6	größte	groß	_	ADJA	nom|sg|masc|sup	7	ATTR	_	_
7	Sport·wettbewerb	Sportwettbewerb	_	NN	nom|sg|masc	4	PRED	_	_
8	auf	auf	_	APPR	_	7	PP	_	_
9	der	der	_	ART	dat|sg|fem	10	DET	_	_
10	Welt	Welt	_	NN	dat|sg|fem	8	PN	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	5	PP	_	_
2	den	der	_	ART	dat|pl|fem	4	DET	_	_
3	Olympischen	olympisch	_	ADJA	dat|pl|fem|pos	4	ATTR	_	_
4	Spielen	Spiel	_	NN	dat|pl|fem	1	PN	_	_
5	machen	machen	_	VVFIN	pl|3|pres|ind	0	S	_	_
6	Sportler	Sportler	_	NN	nom|pl|masc	5	SUBJ	_	_
7	aus	aus	_	APPR	_	6	PP	_	_
8	fast	fast	_	ADV	_	9	ADV	_	_
9	allen	aller	_	PIAT	dat|pl|masc	10	DET	_	_
10	Ländern	Land	_	NN	dat|pl|masc	7	PN	_	_
11	mit	mit	_	PTKVZ	_	5	AVZ	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	4	DET	_	_
2	3	3	_	CARD	_	4	ATTR	_	_
3	besten	gut	_	ADJA	gen|pl|masc|sup	4	ATTR	_	_
4	Sportler	Sportler	_	NN	gen|pl|masc	8	SUBJ	_	_
5	in	in	_	APPR	_	4	PP	_	_
6	jeder	jeder	_	PIAT	dat|sg|fem	7	DET	_	_
7	Sport·art	Sportart	_	NN	dat|sg|fem	5	PN	_	_
8	gewinnen	gewinnen	_	VVFIN	_	0	S	_	_
9	Medaillen	Medaille	_	NN	dat|pl|neut	8	OBJA	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|fem	3	DET	_	_
2	Olympischen	olympisch	_	ADJA	nom|pl|fem|pos	3	ATTR	_	_
3	Spiele	Spiel	_	NN	nom|pl|fem	4	SUBJ	_	_
4	sind	sein	_	VVFIN	pl|3|pres|ind	0	S	_	_
5	alle	aller	_	PIAT	nom|pl|*	7	DET	_	_
6	2	2	_	CARD	_	7	ATTR	_	_
7	Jahre	Jahr	_	NN	nom|pl|neut	4	ZEIT	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Es	es	_	PPER	nom|sg|neut|3	2	SUBJ	_	_
2	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	die	der	_	ART	acc|pl|fem	5	DET	_	_
4	Olympischen	olympisch	_	ADJA	acc|pl|fem|pos	5	ATTR	_	_
5	Sommer·spiele	Sommerspiel	_	NN	acc|pl|fem	2	OBJA	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Und	und	_	KON	_	0	S	_	_
2	die	der	_	ART	nom|pl|*	4	DET	_	_
3	Olympischen	olympisch	_	ADJA	nom|pl|*	4	ATTR	_	_
4	Winter·spiele	Winterspiel	_	NN	nom|pl|*	1	CJ	_	_
5	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|fem	3	DET	_	_
2	Olympischen	olympisch	_	ADJA	nom|pl|fem	3	ATTR	_	_
3	Spiele	Spiel	_	NN	nom|pl|neut	4	SUBJ	_	_
4	sind	sein	_	VVFIN	pl|3|pres|ind	0	S	_	_
5	immer	immer	_	ADV	_	4	ADV	_	_
6	in	in	_	APPR	_	4	PP	_	_
7	einem	ein	_	ART	dat|sg|neut	9	DET	_	_
8	anderen	anderer	_	ADJA	dat|sg|neut|pos	9	ATTR	_	_
9	Land	Land	_	NN	dat|sg|neut	6	PN	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	4	PP	_	_
2	diesem	dieser	_	PDAT	dat|sg|neut	3	DET	_	_
3	Jahr	Jahr	_	NN	dat|sg|neut	1	PN	_	_
