1	Baden	baden	_	NN	nom|sg|masc	5	SUBJ	_	_
2	in	in	_	APPR	_	5	PP	_	_
3	vielen	vieler	_	PIAT	dat|pl|masc	4	DET	_	_
4	Seen	See	_	NN	dat|pl|masc	2	PN	_	_
5	verboten	verbieten	_	VVPP	_	0	S	_	_

1	In	in	_	APPR	_	6	PP	_	_
2	vielen	vieler	_	PIAT	dat|pl|fem	3	DET	_	_
3	Seen	See	_	NN	dat|pl|fem	1	PN	_	_
4	in	in	_	APPR	_	3	PP	_	_
5	Niedersachsen	Niedersachsen	_	NE	dat|sg|neut	4	PN	_	_
6	ist	sein	_	VVFIN	sg|3|pres|ind	0	S	_	_
7	das	der	_	ART	nom|sg|neut	8	DET	_	_
8	Baden	Baden	_	NN	nom|sg|neut	6	SUBJ	_	_
9	verboten	verbieten	_	VVPP	_	6	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	PDS	nom|sg|neut	2	SUBJ	_	_
2	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	In	in	_	APPR	_	7	PP	_	_
5	diesen	dieser	_	PDAT	dat|pl|fem	6	DET	_	_
6	Seen	See	_	NN	dat|pl|fem	4	PN	_	_
7	dürfen	dürfen	_	VMFIN	pl|3|pres|ind	2	S	_	_
8	keine	kein	_	PIAT	nom|pl|masc	9	DET	_	_
9	Menschen	Mensch	_	NN	nom|pl|masc	7	SUBJ	_	_
10	baden	baden	_	VVINF	_	7	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	4	PP	_	_
2	diesen	dieser	_	PDAT	dat|pl|fem	3	DET	_	_
3	Seen	See	_	NN	dat|pl|fem	1	PN	_	_
4	sind	sein	_	VVFIN	pl|3|pres|ind	0	S	_	_
5	nämlich	nämlich	_	ADV	_	4	ADV	_	_
6	viele	vieler	_	PIAT	nom|pl|neut	7	DET	_	_
7	Blau·algen	Blaualge	_	NN	nom|pl|neut	4	SUBJ	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Blau·algen	Blaualge	_	NN	nom|pl|fem	2	SUBJ	_	_
2	sind	sein	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	Bakterien	Bakterie	_	NN	nom|pl|neut	2	PRED	_	_
4	.	--	_	$.	_	0	ROOT	_	_

1	Bakterien	Bakterie	_	NN	nom|pl|fem	2	SUBJ	_	_
2	sind	sein	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	sehr	sehr	_	ADV	_	4	ADV	_	_
4	kleine	klein	_	ADJA	acc|sg|neut|pos	5	ATTR	_	_
5	Lebewesen	Lebewesen	_	NN	acc|sg|neut	2	PRED	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Diese	dieser	_	PDAT	nom|pl|fem	2	DET	_	_
2	Bakterien	Bakterie	_	NN	nom|pl|fem	3	SUBJ	_	_
3	sind	sein	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	im	in	_	APPRART	dat|sg|masc	3	PP	_	_
5	Wasser	Wasser	_	NN	dat|sg|masc	4	PN	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Und	und	_	KON	_	0	S	_	_
2	diese	dieser	_	PDAT	nom|pl|fem	3	DET	_	_
3	Bakterien	Bakterie	_	NN	nom|pl|fem	4	SUBJ	_	_
4	sind	sein	_	VVFIN	pl|3|pres|ind	1	CJ	_	_
5	für	für	_	APPR	_	4	PP	_	_
6	Menschen	Mensch	_	NN	acc|pl|masc	5	PN	_	_
7	gefährlich	gefährlich	_	ADJD	pos	4	PRED	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Diese	dieser	_	PDAT	acc|pl|neut	2	DET	_	_
2	Bakterien	Bakterie	_	NN	acc|pl|neut	3	SUBJ	_	_
3	machen	machen	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	Menschen	Mensch	_	NN	acc|pl|masc	3	OBJA	_	_
5	nämlich	nämlich	_	ADV	_	3	ADV	_	_
6	krank	krank	_	ADJD	pos	3	PRED	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Diese	dieser	_	PDAT	nom|sg|masc|pos	2	DET	_	_
2	Seen	See	_	NN	nom|sg|masc	3	SUBJ	_	_
3	sind	sein	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	zum	zu	_	APPRART	dat|sg|neut	3	PP	_	_
5	Beispiel	Beispiel	_	NN	dat|sg|neut	4	PN	_	_
6	:	--	_	$.	_	0	ROOT	_	_
7	•	LI	_	$(	nom|sg|masc	0	ROOT	_	_
8	Der	der	_	ART	nom|sg|masc	10	DET	_	_
9	Seeburger	Seeburger	_	ADJA	*|*|*|pos	10	ATTR	_	_
10	See	See	_	NN	nom|sg|masc	3	PRED	_	_
11	.	--	_	$.	_	0	ROOT	_	_
12	•	LI	_	$(	_	0	ROOT	_	_
13	Der	der	_	ART	nom|sg|masc	14	DET	_	_
