1	Bau	Bau	_	NN	nom|sg|masc	4	SUBJ	_	_
2	von	von	_	APPR	_	1	PP	_	_
3	Pipeline	Pipeline	_	NE	nom|sg|masc	2	PN	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	begonnen	beginnen	_	VVPP	_	4	AUX	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern	_	NE	dat|sg|neut	1	PN	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	der	der	_	ART	nom|sg|masc	5	DET	_	_
5	Bau	Bau	_	NN	nom|sg|masc	10	OBJD	_	_
6	von	von	_	APPR	_	10	OBJP	_	_
7	einer	ein	_	ART	dat|sg|fem	9	DET	_	_
8	besonderen	besonderer	_	ADJA	dat|sg|fem|pos	9	ATTR	_	_
9	Pipeline	Pipeline	_	NN	dat|sg|fem	6	PN	_	_
10	begonnen	beginnen	_	VVPP	_	3	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Eine	ein	_	ART	nom|sg|fem	2	DET	_	_
2	Pipeline	Pipeline	_	NN	nom|sg|fem	3	PRED	_	_
3	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	ein	ein	_	ART	nom|sg|neut	7	DET	_	_
5	sehr	sehr	_	ADV	_	6	ADV	_	_
6	langes	lang	_	ADJA	nom|sg|neut|pos	7	ATTR	_	_
7	Rohr	Rohr	_	NN	nom|sg|neut	3	PRED	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Durch	durch	_	APPR	_	4	PP	_	_
2	dieses	dieser	_	PDAT	acc|sg|neut	3	DET	_	_
3	Rohr	Rohr	_	NN	acc|sg|neut	1	PN	_	_
4	fließt	fließen	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	zum	zu	_	APPRART	dat|sg|neut	4	PP	_	_
6	Beispiel	Beispiel	_	NN	dat|sg|neut	5	PN	_	_
7	Öl	Öl	_	NN	nom|sg|neut	4	OBJA	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Und	und	_	KON	_	0	S	_	_
2	dieses	dieser	_	PDAT	acc|sg|neut	3	DET	_	_
3	Öl	Öl	_	NN	acc|sg|neut	4	SUBJ	_	_
4	kann	können	_	VMFIN	sg|3|pres|ind	1	CJ	_	_
5	in	in	_	APPR	_	15	PP	_	_
6	dem	der	_	ART	dat|sg|masc	7	DET	_	_
7	Rohr	Rohr	_	NN	dat|sg|masc	5	PN	_	_
8	von	von	_	APPR	_	15	PP	_	_
9	einem	ein	_	ART	dat|sg|masc	10	DET	_	_
10	Ort	Ort	_	NN	dat|sg|masc	8	PN	_	_
11	zu	zu	_	APPR	_	15	PP	_	_
12	einem	ein	_	ART	dat|sg|masc	14	DET	_	_
13	anderen	anderer	_	ADJA	dat|sg|masc|pos	14	ATTR	_	_
14	Ort	Ort	_	NN	dat|sg|masc	11	PN	_	_
15	fließen	fließen	_	VVINF	_	4	AUX	_	_
16	.	--	_	$.	_	0	ROOT	_	_

1	Durch	durch	_	APPR	_	5	PP	_	_
2	diese	dieser	_	PDAT	acc|sg|fem	4	DET	_	_
3	besondere	besonderer	_	ADJA	acc|sg|fem|pos	4	ATTR	_	_
4	Pipeline	Pipeline	_	NN	acc|sg|fem	1	PN	_	_
5	soll	sollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
6	bald	bald	_	ADV	_	8	ADV	_	_
7	Gas	Gas	_	NN	acc|sg|fem	8	ADV	_	_
8	fließen	fließen	_	VVINF	_	5	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Diese	dieser	_	PDAT	nom|sg|fem	3	DET	_	_
2	besondere	besonderer	_	ADJA	nom|sg|fem|pos	3	ATTR	_	_
3	Pipeline	Pipeline	_	NN	nom|sg|fem	4	PRED	_	_
4	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	Nord	Nord	_	NE	gen|sg|*	4	PRED	_	_
6	Stream	Stream	_	NE	acc|sg|masc	4	PRED	_	_
7	2	2	_	CARD	_	6	APP	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Ein	ein	_	ART	nom|sg|masc	2	DET	_	_
2	Fachmann	Fachmann	_	NN	nom|sg|masc	14	ETH	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	gesagt	sagen	_	VVPP	_	3	AUX	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Nord	Nord	_	NE	gen|sg|*	9	SUBJ	_	_
7	Stream	Stream	_	NE	dat|sg|fem	6	APP	_	_
8	2	2	_	CARD	_	7	APP	_	_
9	soll	sollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
10	im	in	_	APPRART	dat|sg|neut	14	PP	_	_
11	Jahr	Jahr	_	NN	dat|sg|neut	10	PN	_	_
12	2019	2019	_	CARD	_	11	ZEIT	_	_
13	fertig	fertig	_	ADJD	pos	14	ADV	_	_
14	sein	sein	_	VAINF	_	9	AUX	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Und	und	_	KON	_	0	S	_	_
2	Nord	Nord	_	NE	nom|sg|*	5	OBJA2	_	_
3	Stream	Stream	_	NE	nom|sg|*	2	APP	_	_
4	2	2	_	CARD	_	3	APP	_	_
5	kostet	kosten	_	VVFIN	sg|3|pres|ind	1	CJ	_	_
6	viele	vieler	_	PIAT	acc|pl|fem	7	ATTR	_	_
7	Milliarden	Milliarde	_	NN	acc|pl|fem	8	ATTR	_	_
8	Euro	Euro	_	NE	nom|sg|*	5	OBJA2	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Nord	Nord	_	NE	nom|sg|neut	4	PRED	_	_
2	Stream	Stream	_	NE	nom|sg|neut	1	APP	_	_
3	2	2	_	CARD	_	2	APP	_	_
4	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	nämlich	nämlich	_	ADV	_	4	ADV	_	_
