1	Feuer	Feuer	_	NN	nom|sg|neut	2	SUBJ	_	_
2	zerstört	zerstören	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	Wind·kraft·anlage	Wind·kraft·anlage	_	NN	acc|sg|fem	2	OBJA	_	_

1	Im	in	_	APPRART	dat|sg|neut	3	PP	_	_
2	Emsland	Emsland	_	NE	dat|sg|neut	1	PN	_	_
3	war	sein	_	VAFIN	sg|3|past|ind	0	S	_	_
4	ein	ein	_	ART	nom|sg|neut	5	DET	_	_
5	Feuer	Feuer	_	NN	nom|sg|neut	3	PRED	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Emsland	Emsland	_	NN	nom|sg|neut	3	PRED	_	_
3	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	eine	ein	_	ART	nom|sg|fem	5	DET	_	_
5	Region	Region	_	NN	nom|sg|fem	3	PRED	_	_
6	in	in	_	APPR	_	5	PP	_	_
7	Niedersachsen	Niedersachsen	_	NE	dat|sg|neut	6	PN	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Feuer	Feuer	_	NN	nom|sg|neut	3	SUBJ	_	_
3	war	sein	_	VAFIN	sg|3|past|ind	0	S	_	_
4	in	in	_	APPR	_	3	PRED	_	_
5	Rhede	Rhede	_	NE	dat|sg|neut	4	PN	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	4	PP	_	_
2	dem	der	_	ART	dat|sg|masc	3	DET	_	_
3	Feuer	Feuer	_	NN	dat|sg|masc	1	PN	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	eine	ein	_	ART	acc|sg|fem	6	DET	_	_
6	Wind·kraft·anlage	Wind·kraft·anlage	_	NN	acc|sg|fem	7	OBJG	_	_
7	gebrannt	gebrennen	_	VVPP	_	4	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Eine	ein	_	ART	nom|sg|fem	2	DET	_	_
2	Wind·kraft·anlage	Wind·kraft·anlage	_	NN	nom|sg|fem	3	PRED	_	_
3	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	ein	ein	_	ART	nom|sg|masc	6	DET	_	_
5	hoher	hoch	_	ADJA	nom|sg|masc|pos	6	ATTR	_	_
6	Turm	Turm	_	NN	nom|sg|masc	3	PRED	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Auf	auf	_	APPR	_	4	PP	_	_
2	diesem	dieser	_	PDAT	dat|sg|neut	3	DET	_	_
3	Turm	Turm	_	NN	dat|sg|neut	1	PN	_	_
4	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	ein	ein	_	ART	nom|sg|neut	7	DET	_	_
6	großes	groß	_	ADJA	nom|sg|neut|pos	7	ATTR	_	_
7	Wind·rad	Wind·rad	_	NN	nom|sg|neut	4	PRED	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Wind·rad	Wind·rad	_	NN	nom|sg|neut	3	SUBJ	_	_
3	dreht	drehen	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	sich	sich	_	PRF	acc|sg|3	3	OBJA	_	_
5	im	in	_	APPRART	dat|sg|masc	3	PP	_	_
6	Wind	Wind	_	NN	dat|sg|masc	5	PN	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	So	so	_	ADV	_	2	ADV	_	_
2	macht	machen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	das	der	_	ART	nom|sg|neut	4	DET	_	_
4	Wind·rad	Wind·rad	_	NE	nom|sg|neut	2	SUBJ	_	_
5	Strom	Strom	_	NN	acc|sg|masc	2	OBJA	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	4	PP	_	_
2	dem	der	_	ART	dat|sg|masc	3	DET	_	_
3	Feuer	Feuer	_	NN	dat|sg|masc	1	PN	_	_
4	wurde	werden	_	VAFIN	sg|3|past|ind	0	S	_	_
5	kein	kein	_	PIAT	nom|sg|masc	6	DET	_	_
6	Mensch	Mensch	_	NN	nom|sg|masc	7	OBJA	_	_
7	verletzt	verletzen	_	VVPP	_	4	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Was	was	_	PWS	nom|sg|neut	3	SUBJ	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	3	REL	_	_
3	passiert	passieren	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	?	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	4	PP	_	_
2	der	der	_	ART	dat|sg|fem	3	DET	_	_
3	Wind·kraft·anlage	Wind·kraft·anlage	_	NN	dat|sg|fem	1	PN	_	_
4	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	Maschinen	Maschine	_	NN	nom|pl|fem	4	PRED	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Diese	dieser	_	PDAT	nom|pl|fem	2	DET	_	_
2	Maschinen	Maschine	_	NN	nom|pl|fem	3	OBJG	_	_
3	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
