1	Mädchen	Mädchen	_	NN	nom|pl|neut	0	S	_	_
2	in	in	_	APPR	_	4	PP	_	_
3	Salzgitter	Salzgitter	_	NN	dat|sg|neut	2	PN	_	_
4	angeschossen	anschießen	_	VVPP	_	1	ADV	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Salzgitter	Salzgitter	_	NN	dat|sg|neut	1	PN	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	ein	ein	_	ART	nom|sg|masc	5	DET	_	_
5	Mensch	Mensch	_	NN	nom|sg|masc	9	OBJA	_	_
6	auf	auf	_	APPR	_	9	PP	_	_
7	ein	ein	_	ART	acc|sg|neut	8	DET	_	_
8	Mädchen	Mädchen	_	NN	acc|sg|neut	6	PN	_	_
9	geschossen	schießen	_	VVPP	_	3	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Salzgitter	Salzgitter	_	NN	nom|sg|neut	2	PRED	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	eine	ein	_	ART	nom|sg|fem	4	DET	_	_
4	Stadt	Stadt	_	NN	nom|sg|fem	2	PRED	_	_
5	in	in	_	APPR	_	4	PP	_	_
6	Niedersachsen	Niedersachsen	_	NE	dat|sg|neut	5	PN	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Mädchen	Mädchen	_	NN	nom|sg|neut	3	SUBJ	_	_
3	wurde	werden	_	VAFIN	sg|3|past|ind	0	S	_	_
4	schwer	schwer	_	ADJD	pos	5	ADV	_	_
5	verletzt	verletzen	_	VVPP	_	3	AUX	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Mädchen	Mädchen	_	NN	nom|sg|neut	3	PRED	_	_
3	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	12	12	_	CARD	_	5	ATTR	_	_
5	Jahre	Jahr	_	NN	acc|pl|neut	6	GRAD	_	_
6	alt	alt	_	ADJD	pos	3	PRED	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Was	was	_	PWS	nom|sg|neut	3	SUBJ	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	3	REL	_	_
3	passiert	passieren	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	?	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Mädchen	Mädchen	_	NN	nom|sg|neut	3	SUBJ	_	_
3	war	sein	_	VAFIN	sg|3|past|ind	0	S	_	_
4	vor	vor	_	APPR	_	3	PP	_	_
5	dem	der	_	ART	dat|sg|masc	6	DET	_	_
6	Haus	Haus	_	NN	dat|sg|masc	4	PN	_	_
7	von	von	_	APPR	_	3	PRED	_	_
8	seinen	sein	_	PPOSAT	dat|pl|masc	9	DET	_	_
9	Eltern	Eltern	_	NN	dat|pl|masc	7	PN	_	_
