1	Mehr	mehr	_	PIAT	*|*|*	2	DET	_	_
2	Nachrichten	Nachricht	_	NN	nom|pl|fem	0	S	_	_
3	vom	von	_	APPRART	dat|sg|masc	2	PP	_	_
4	04.09.2018	04.09.2018	_	CARD	_	3	PN	_	_

1	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern	_	NE	nom|sg|neut	0	S	_	_
2	:	--	_	$.	_	0	ROOT	_	_

1	Affe	Aff	_	NN	nom|sg|fem	4	SUBJ	_	_
2	aus	aus	_	APPR	_	1	PP	_	_
3	Zoo	Zoo	_	NE	dat|sg|neut	2	PN	_	_
4	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	tot	tot	_	ADJD	pos	4	ADV	_	_

1	Die	der	_	ART	nom|pl|masc	2	DET	_	_
2	Menschen	Mensch	_	NN	nom|pl|masc	7	SUBJ	_	_
3	vom	von	_	APPRART	dat|sg|neut	2	PP	_	_
4	Zoo	Zoo	_	NN	dat|sg|neut	3	PN	_	_
5	in	in	_	APPR	_	4	PP	_	_
6	Schwerin	Schwerin	_	NE	dat|sg|neut	5	PN	_	_
7	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
8	traurig	traurig	_	ADJD	pos	7	ADV	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Ein	ein	_	ART	nom|sg|neut	2	DET	_	_
2	Affe	Affe	_	NN	nom|sg|neut	8	SUBJ	_	_
3	aus	aus	_	APPR	_	2	PP	_	_
4	dem	der	_	ART	dat|sg|neut	5	DET	_	_
5	Zoo	Zoo	_	NN	dat|sg|neut	3	PN	_	_
6	in	in	_	APPR	_	5	PP	_	_
7	Schwerin	Schwerin	_	NE	dat|sg|neut	6	PN	_	_
8	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
9	nämlich	nämlich	_	ADV	_	8	ADV	_	_
10	tot	tot	_	ADJD	pos	8	ADV	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Affe	Affe	_	NN	nom|sg|masc	3	SUBJ	_	_
3	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	aus	aus	_	APPR	_	7	PP	_	_
5	seinem	sein	_	PPOSAT	dat|sg|masc	6	DET	_	_
6	Käfig	Käfig	_	NN	dat|sg|masc	4	PN	_	_
7	geklettert	klettern	_	VVPP	_	3	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Dann	dann	_	ADV	_	2	ADV	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	der	der	_	ART	nom|sg|masc	4	DET	_	_
4	Affe	Affe	_	NN	nom|sg|masc	8	ETH	_	_
5	aus	aus	_	APPR	_	8	PP	_	_
6	dem	der	_	ART	dat|sg|neut	7	DET	_	_
7	Zoo	Zoo	_	NN	dat|sg|neut	5	PN	_	_
8	weggelaufen	weggelaufen	_	VVPP	_	2	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Chef	Chef	_	NN	nom|sg|masc	7	SUBJ	_	_
3	vom	von	_	APPRART	dat|sg|masc	2	PP	_	_
4	Zoo	Zoo	_	NN	dat|sg|masc	3	PN	_	_
5	in	in	_	APPR	_	4	PP	_	_
6	Schwerin	Schwerin	_	NE	dat|sg|neut	5	PN	_	_
7	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
8	gesagt	sagen	_	VVPP	_	7	AUX	_	_
9	:	--	_	$.	_	0	ROOT	_	_
10	Eine	ein	_	ART	nom|sg|fem	11	DET	_	_
11	Frau	Frau	_	NN	nom|sg|fem	0	S	_	_
12	hat	haben	_	VAFIN	sg|3|pres|ind	8	S	_	_
13	den	der	_	ART	acc|sg|masc	14	DET	_	_
14	Affen	Affe	_	NN	acc|sg|masc	0	S	_	_
15	gefunden	finden	_	VVPP	_	12	AUX	_	_
16	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Affe	Affe	_	NN	nom|sg|masc	3	SUBJ	_	_
3	lag	liegen	_	VVFIN	sg|3|past|ind	0	S	_	_
4	tot	tot	_	ADJD	pos	3	ADV	_	_
5	an	an	_	APPR	_	3	PP	_	_
6	einer	ein	_	ART	dat|sg|fem	7	DET	_	_
7	Straße	Straße	_	NN	dat|sg|fem	5	PN	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Wahrscheinlich	wahrscheinlich	_	ADJD	pos	2	ADV	_	_
2	wurde	werden	_	VAFIN	sg|3|past|ind	0	S	_	_
3	der	der	_	ART	nom|sg|masc	4	DET	_	_
4	Affe	Affe	_	NN	nom|sg|masc	2	SUBJ	_	_
5	von	von	_	APPR	_	8	PP	_	_
6	einem	ein	_	ART	dat|sg|neut	7	DET	_	_
7	Auto	Auto	_	NN	dat|sg|neut	5	PN	_	_
8	überfahren	überfahren	_	VVPP	_	2	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Hamburg	Hamburg	_	NE	nom|sg|neut	0	S	_	_
2	:	--	_	$.	_	0	ROOT	_	_

1	Polizei	Polizei	_	NN	nom|sg|fem	2	SUBJ	_	_
2	durchsucht	durchsuchen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	Wohnungen	Wohnung	_	NN	acc|pl|fem	2	OBJA	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Hamburg	Hamburg	_	NE	dat|sg|neut	1	PN	_	_
3	war	sein	_	VAFIN	sg|3|past|ind	0	S	_	_
4	ein	ein	_	ART	nom|sg|masc	6	DET	_	_
5	großer	groß	_	ADJA	nom|sg|masc|pos	6	ATTR	_	_
6	Polizei·einsatz	Polizei·einsatz	_	NN	nom|sg|masc	3	PRED	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	5	PP	_	_
2	diesem	dieser	_	PDAT	dat|sg|masc	4	DET	_	_
3	großen	groß	_	ADJA	dat|sg|masc|pos	4	ATTR	_	_
4	Polizei·einsatz	Polizei·einsatz	_	NN	dat|sg|masc	1	PN	_	_
5	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
6	die	der	_	ART	nom|sg|fem	7	DET	_	_
7	Polizei	Polizei	_	NN	nom|sg|fem	5	SUBJ	_	_
8	viele	vieler	_	PIAT	acc|pl|fem	9	DET	_	_
9	Wohnungen	Wohnung	_	NN	acc|pl|fem	10	OBJG	_	_
10	durchsucht	durchsuchen	_	VVPP	_	5	AUX	_	_
