1	Moor	Moor	_	NE	nom|sg|*	2	SUBJ	_	_
2	brennt	brennen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	seit	seit	_	APPR	_	2	PP	_	_
4	mehr	mehr	_	PIAT	*|*|*	7	DET	_	_
5	als	als	_	KOKOM	_	2	KOM	_	_
6	2	2	_	CARD	_	5	CJ	_	_
7	Wochen	Woche	_	NN	dat|pl|fem	3	PN	_	_

1	Im	in	_	APPRART	dat|sg|masc	3	PP	_	_
2	Emsland	Emsland	_	NE	dat|sg|masc	1	PN	_	_
3	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	seit	seit	_	APPR	_	3	PP	_	_
5	mehr	mehr	_	PIAT	*|*|*	8	DET	_	_
6	als	als	_	KOKOM	_	3	KOM	_	_
7	2	2	_	CARD	_	6	CJ	_	_
8	Wochen	Woche	_	NN	dat|pl|fem	4	PN	_	_
9	ein	ein	_	ART	acc|sg|neut	11	DET	_	_
10	großes	groß	_	ADJA	acc|sg|neut|pos	11	ATTR	_	_
11	Feuer	Feuer	_	NN	acc|sg|neut	3	PRED	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Emsland	Emsland	_	NN	nom|sg|neut	3	PRED	_	_
3	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	eine	ein	_	ART	nom|sg|fem	5	DET	_	_
5	Gegend	Gegend	_	NN	nom|sg|fem	3	PRED	_	_
6	in	in	_	APPR	_	5	PP	_	_
7	Niedersachsen	Niedersachsen	_	NE	dat|sg|neut	6	PN	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	4	PP	_	_
2	dem	der	_	ART	dat|sg|masc	3	DET	_	_
3	Feuer	Feuer	_	NN	dat|sg|masc	1	PN	_	_
4	brennt	brennen	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	ein	ein	_	ART	nom|sg|masc	6	DET	_	_
6	Moor	Moor	_	NN	nom|sg|masc	4	PAR	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Ein	ein	_	ART	nom|sg|masc	2	DET	_	_
2	Moor	Moor	_	NN	nom|sg|masc	3	PRED	_	_
3	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	eine	ein	_	ART	nom|sg|fem	6	DET	_	_
5	große	groß	_	ADJA	nom|sg|fem|pos	6	ATTR	_	_
6	Fläche	Fläche	_	NN	nom|sg|fem	3	PRED	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Und	und	_	KON	_	0	S	_	_
2	ein	ein	_	ART	nom|sg|masc	3	DET	_	_
3	Moor	Moor	_	NN	nom|sg|masc	4	OBJA	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	1	CJ	_	_
5	einen	ein	_	ART	acc|sg|masc	7	DET	_	_
6	besonderen	besonderer	_	ADJA	acc|sg|masc|pos	7	ATTR	_	_
7	Boden	Boden	_	NN	acc|sg|masc	4	OBJA	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Dieser	dieser	_	PDAT	nom|sg|masc	2	DET	_	_
2	Boden	Boden	_	NN	nom|sg|masc	3	SUBJ	_	_
3	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	meistens	meistens	_	ADV	_	3	ADV	_	_
5	nass	nass	_	ADJD	_	3	ADV	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	4	PP	_	_
2	dem	der	_	ART	dat|sg|neut	3	DET	_	_
3	Moor	Moor	_	NN	dat|sg|neut	1	PN	_	_
4	wohnen	wohnen	_	VVFIN	pl|3|pres|ind	0	S	_	_
5	keine	kein	_	PIAT	nom|pl|masc	6	DET	_	_
6	Menschen	Mensch	_	NN	nom|pl|masc	4	PAR	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Deshalb	deshalb	_	PROAV	_	2	DET	_	_
2	wurden	werden	_	VAFIN	pl|3|past|ind	0	S	_	_
3	bei	bei	_	APPR	_	8	PP	_	_
4	dem	der	_	ART	dat|sg|masc	5	DET	_	_
5	Feuer	Feuer	_	NN	dat|sg|masc	3	PN	_	_
6	keine	kein	_	PIAT	acc|pl|masc	7	DET	_	_
7	Menschen	Mensch	_	NN	acc|pl|masc	2	SUBJ	_	_
8	verletzt	verletzen	_	VVPP	_	2	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Feuerwehr	Feuerwehr	_	NN	nom|sg|fem	4	OBJD	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	gesagt	sagen	_	VVPP	_	3	AUX	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Im	in	_	APPRART	dat|sg|masc	8	PP	_	_
7	Emsland	Emsland	_	NE	dat|sg|masc	6	PN	_	_
8	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
9	es	es	_	PPER	nom|sg|neut|3	12	OBJA	_	_
10	sehr	sehr	_	ADV	_	11	ADV	_	_
11	wenig	wenig	_	PIS	*|*|*	12	ADV	_	_
12	geregnet	regnen	_	VVPP	_	8	AUX	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Deshalb	deshalb	_	PROAV	_	2	DET	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	das	der	_	ART	nom|sg|neut	4	DET	_	_
4	Moor	Moor	_	NE	nom|sg|neut	2	ETH	_	_
5	sehr	sehr	_	ADV	_	6	ADV	_	_
6	trocken	trocken	_	ADJD	pos	2	PRED	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Und	und	_	KON	_	0	S	_	_
