1	Sturm	Sturm	_	NN	nom|sg|masc	0	S	_	_
2	in	in	_	APPR	_	1	PP	_	_
3	Nord·deutschland	Nord·deutschland	_	NE	dat|sg|neut	2	PN	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Nord·deutschland	Nord·deutschland	_	NE	dat|sg|neut	1	PN	_	_
3	war	sein	_	VAFIN	sg|3|past|ind	0	S	_	_
4	ein	ein	_	ART	nom|sg|neut	5	DET	_	_
5	Sturm	Sturm	_	NN	nom|sg|neut	3	PRED	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	4	PP	_	_
2	einem	ein	_	ART	dat|sg|masc	3	DET	_	_
3	Sturm	Sturm	_	NN	dat|sg|masc	1	PN	_	_
4	weht	wehen	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	sehr	sehr	_	ADV	_	6	ADV	_	_
6	starker	stark	_	ADJA	nom|sg|masc|pos	7	ATTR	_	_
7	Wind	Wind	_	NN	nom|sg|masc	4	PAR	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Deshalb	deshalb	_	PROAV	_	2	DET	_	_
2	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	manche	mancher	_	PIAT	nom|pl|neut	4	DET	_	_
4	Stürme	Sturm	_	NN	nom|pl|neut	2	PRED	_	_
5	gefährlich	gefährlich	_	ADJD	pos	4	ADV	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Sturm	Sturm	_	NN	nom|sg|masc	6	ETH	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	viele	vieler	_	PIAT	acc|pl|fem	5	ATTR	_	_
5	Schäden	Schaden	_	NN	acc|pl|masc	6	OBJA	_	_
6	gemacht	machen	_	VVPP	_	3	AUX	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Sturm	Sturm	_	NN	nom|sg|masc	3	SUBJ	_	_
