1	Viele	vieler	_	PIAT	nom|pl|masc	2	DET	_	_
2	Menschen	Mensch	_	NN	nom|pl|masc	0	S	_	_
3	demonstrieren	demonstrieren	_	VVINF	pl|3|pres|ind	0	S	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Nord·deutschland	Nord·deutschland	_	NE	dat|sg|neut	1	PN	_	_
3	waren	sein	_	VAFIN	pl|3|past|ind	0	S	_	_
4	viele	vieler	_	PIAT	nom|pl|fem	5	DET	_	_
5	Demonstrationen	Demonstration	_	NN	nom|pl|fem	3	PRED	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	4	PP	_	_
2	einer	ein	_	ART	dat|sg|fem	3	DET	_	_
3	Demonstration	Demonstration	_	NN	dat|sg|fem	1	PN	_	_
4	treffen	treffen	_	VVFIN	pl|3|pres|ind	0	S	_	_
5	sich	sich	_	PRF	acc|pl|3	4	OBJA	_	_
6	viele	vieler	_	PIAT	nom|pl|masc	7	DET	_	_
7	Menschen	Mensch	_	NN	nom|pl|masc	4	SUBJ	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Dann	dann	_	ADV	_	2	ADV	_	_
2	gehen	gehen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	diese	dieser	_	PDAT	nom|pl|masc	4	DET	_	_
4	Menschen	Mensch	_	NN	nom|pl|masc	2	SUBJ	_	_
5	gemeinsam	gemeinsam	_	ADJD	pos	2	ADV	_	_
6	durch	durch	_	APPR	_	2	PP	_	_
7	die	der	_	ART	acc|sg|fem	8	DET	_	_
8	Stadt	Stadt	_	NN	acc|sg|fem	6	PN	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Diese	dieser	_	PDAT	nom|pl|masc	2	DET	_	_
2	Menschen	Mensch	_	NN	nom|pl|masc	3	SUBJ	_	_
3	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	mit	mit	_	APPR	_	3	PP	_	_
5	etwas	etwas	_	PIS	*|*|neut	4	PN	_	_
6	nicht	nicht	_	PTKNEG	_	7	ADV	_	_
7	einverstanden	einverstanden	_	ADJD	pos	3	ADV	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Zum	zu	_	APPRART	dat|sg|neut	0	S	_	_
2	Beispiel	Beispiel	_	NN	dat|sg|neut	1	PN	_	_
3	mit	mit	_	APPR	_	0	S	_	_
4	einer	ein	_	ART	dat|sg|fem	5	DET	_	_
5	Entscheidung	Entscheidung	_	NN	dat|sg|fem	3	PN	_	_
6	von	von	_	APPR	_	5	PP	_	_
7	Politikern	Politiker	_	NN	dat|pl|masc	6	PN	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Deshalb	deshalb	_	PROAV	_	7	DET	_	_
2	rufen	rufen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	die	der	_	ART	nom|pl|masc	4	DET	_	_
4	Menschen	Mensch	_	NN	nom|pl|masc	2	SUBJ	_	_
5	laut	laut	_	APPR	_	2	PP	_	_
6	ihre	ihr	_	PPOSAT	acc|sg|fem	7	DET	_	_
7	Meinung	Meinung	_	NN	acc|sg|fem	5	PN	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Diese	dieser	_	PDAT	nom|pl|fem	2	DET	_	_
2	Demonstrationen	Demonstration	_	NN	nom|pl|fem	3	SUBJ	_	_
3	waren	sein	_	VAFIN	pl|3|past|ind	0	S	_	_
4	in	in	_	APPR	_	3	PRED	_	_
5	16	16	_	CARD	_	6	ATTR	_	_
6	Städten	Stadt	_	NN	dat|pl|fem	4	PN	_	_
7	.	--	_	$.	_	0	ROOT	_	_

