1	Viele	vieler	_	PIAT	nom|pl|masc	2	DET	_	_
2	Züge	Zug	_	NN	nom|pl|masc	3	SUBJ	_	_
3	fahren	fahren	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	nicht	nicht	_	PTKNEG	_	3	ADV	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Schleswig-Holstein	Schleswig-Holstein	_	NE	dat|sg|neut	1	PN	_	_
3	fallen	fallen	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	viele	vieler	_	PIAT	nom|pl|masc	5	DET	_	_
5	Züge	Zug	_	NN	nom|pl|masc	3	OBJD	_	_
6	aus	aus	_	PTKVZ	_	3	AVZ	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	PDS	nom|sg|neut	2	OBJA2	_	_
2	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	Viele	vieler	_	PIAT	acc|pl|masc	5	DET	_	_
5	Züge	Zug	_	NN	acc|pl|masc	6	SUBJ	_	_
6	fahren	fahren	_	VVFIN	_	2	S	_	_
7	nicht	nicht	_	PTKNEG	_	6	ADV	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Schleswig-Holstein	Schleswig-Holstein	_	NE	dat|sg|neut	1	PN	_	_
3	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	nämlich	nämlich	_	ADV	_	3	ADV	_	_
5	Bau·arbeiten	Bau·arbeit	_	NN	nom|pl|fem	3	PRED	_	_
6	bei	bei	_	APPR	_	5	PP	_	_
7	der	der	_	ART	dat|sg|fem	8	DET	_	_
8	Bahn	Bahn	_	NN	dat|sg|fem	6	PN	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	4	PP	_	_
2	den	der	_	ART	dat|pl|fem	3	DET	_	_
3	Bau·arbeiten	Bau·arbeit	_	NN	dat|pl|fem	1	PN	_	_
4	baut	bauen	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	die	der	_	ART	nom|sg|fem	6	DET	_	_
6	Bahn	Bahn	_	NN	nom|sg|fem	4	ETH	_	_
7	zum	zu	_	APPRART	dat|sg|neut	4	PP	_	_
8	Beispiel	Beispiel	_	NN	dat|sg|neut	7	PN	_	_
9	neue	neu	_	ADJA	acc|pl|masc|pos	10	ATTR	_	_
10	Gleise	Gleise	_	NN	acc|pl|masc	4	OBJA	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Oder	oder	_	KON	_	0	S	_	_
2	die	der	_	ART	nom|sg|fem	3	DET	_	_
3	Bahn	Bahn	_	NN	nom|sg|fem	4	PN	_	_
4	repariert	reparieren	_	VVFIN	sg|3|pres|ind	1	CJ	_	_
5	Gleise	Gleise	_	NN	acc|pl|masc	4	OBJA	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|*	2	DET	_	_
2	Bau·arbeiten	Bau·arbeit	_	NN	nom|pl|*	3	SUBJ	_	_
3	beginnen	beginnen	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	am	an	_	APPRART	dat|sg|masc	3	PP	_	_
5	Freitag	Freitag	_	NN	dat|sg|masc	4	PN	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Und	und	_	KON	_	0	S	_	_
2	die	der	_	ART	nom|pl|*	3	DET	_	_
3	Bau·arbeiten	Bau·arbeit	_	NN	nom|pl|*	4	SUBJ	_	_
4	dauern	dauern	_	VVFIN	pl|3|pres|ind	1	CJ	_	_
5	bis	bis	_	APPR	_	4	PP	_	_
6	zum	zu	_	APPRART	dat|sg|masc	5	PN	_	_
7	8.	8.	_	ADJA	dat|sg|masc|pos	8	ATTR	_	_
8	Mai	Mai	_	NN	dat|sg|masc	6	PN	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Wo	wo	_	PWAV	_	2	ADV	_	_
2	fallen	fallen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	Züge	Zug	_	NN	nom|pl|masc	2	OBJA	_	_
4	aus	aus	_	PTKVZ	_	2	AVZ	_	_
5	?	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Bahn	Bahn	_	NN	nom|sg|fem	4	OBJD	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	gesagt	sagen	_	VVPP	_	3	AUX	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Die	der	_	ART	nom|pl|masc	7	DET	_	_
7	Bau·arbeiten	Bau·arbeit	_	NN	nom|pl|masc	8	PRED	_	_
8	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
9	auf	auf	_	APPR	_	8	PRED	_	_
10	vielen	vieler	_	PIAT	dat|pl|masc	11	DET	_	_
11	Strecken	Strecke	_	NN	dat|pl|masc	9	PN	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Diese	dieser	_	PDAT	nom|pl|fem	2	DET	_	_
2	Strecken	Strecke	_	NN	nom|pl|fem	3	SUBJ	_	_
3	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	:	--	_	$.	_	0	ROOT	_	_
5	•	LI	_	XY	nom|pl|fem	0	ROOT	_	_
6	Zwischen	zwischen	_	APPR	nom|pl|fem	3	PP	_	_
7	Hamburg	Hamburg	_	NE	dat|sg|neut	6	PN	_	_
8	und	und	_	KON	_	7	KON	_	_
9	Sylt	Sylt	_	NE	dat|sg|neut	8	CJ	_	_
10	.	--	_	$.	_	0	ROOT	_	_
11	Sylt	sylt	_	ADJD	_	12	SUBJ	_	_
12	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
13	eine	ein	_	ART	nom|sg|fem	14	DET	_	_
14	Insel	Insel	_	NN	nom|sg|fem	12	PRED	_	_
15	in	in	_	APPR	_	14	PP	_	_
16	der	der	_	ART	dat|sg|fem	17	DET	_	_
17	Nordsee	Nordsee	_	NE	dat|sg|fem	15	PN	_	_
18	.	--	_	$.	_	0	ROOT	_	_
19	•	LI	_	XY	_	0	ROOT	_	_
20	Zwischen	zwischen	_	APPR	_	6	KON	_	_
21	Hamburg	Hamburg	_	NE	dat|sg|neut	20	PN	_	_
22	und	und	_	KON	_	21	KON	_	_
23	Kiel	Kiel	_	NE	dat|sg|neut	22	CJ	_	_
24	.	--	_	$.	_	0	ROOT	_	_
25	•	LI	_	XY	dat|sg|neut	0	ROOT	_	_
26	Zwischen	zwischen	_	APPR	dat|sg|neut|pos	20	KON	_	_
