1	Anker·zentrum	Anker·zentrum	_	NN	nom|sg|neut	4	SUBJ	_	_
2	in	in	_	APPR	_	1	PP	_	_
3	Lebach	Lebach	_	NE	dat|sg|neut	2	PN	_	_
4	beginnt	beginnen	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	mit	mit	_	APPR	_	4	OBJP	_	_
6	seiner	sein	_	PPOSAT	dat|sg|fem	7	DET	_	_
7	Arbeit	Arbeit	_	NN	dat|sg|fem	5	PN	_	_

1	Wichtiger	wichtig	_	ADJA	nom|sg|masc|pos	2	ATTR	_	_
2	Termin	Termin	_	NN	nom|sg|masc	0	S	_	_
3	für	für	_	APPR	_	2	PP	_	_
4	Asyl·bewerber	Asyl·bewerber	_	NN	acc|pl|masc	3	PN	_	_
5	in	in	_	APPR	_	2	PP	_	_
6	Lebach	Lebach	_	NE	dat|sg|neut	5	PN	_	_
7	:	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Landes·aufnahme·stelle	Landes·aufnahme·stelle	_	NN	nom|sg|fem	3	SUBJ	_	_
3	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	jetzt	jetzt	_	ADV	_	3	ADV	_	_
5	offiziell	offiziell	_	ADJD	pos	3	ADV	_	_
6	ein	ein	_	ART	acc|sg|neut	7	DET	_	_
7	Anker·zentrum	Anker·zentrum	_	NN	acc|sg|neut	3	PRED	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Deshalb	deshalb	_	PROAV	_	3	DET	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	Bundes·innen·minister	Bundes·innen·minister	_	NN	nom|sg|masc	12	OBJA	_	_
4	Horst	Horst	_	NE	nom|sg|masc	3	APP	_	_
5	Seehofer	Seehofer	_	NE	nom|sg|masc	4	APP	_	_
6	am	an	_	APPRART	dat|sg|masc	12	PP	_	_
7	Montag	Montag	_	NN	dat|sg|masc	6	PN	_	_
8	(	--	_	$(	_	0	ROOT	_	_
9	29.10.	29.10.	_	NE	nom|sg|neut	7	APP	_	_
