1	Borussia	Borussia	_	NE	nom|sg|neut	3	SUBJ	_	_
2	Neunkirchen	Neunkirchen	_	NN	nom|sg|neut	1	APP	_	_
3	braucht	brauchen	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	30-Tausend	30-tausend	_	CARD	_	5	ATTR	_	_
5	Euro	Euro	_	NN	*|*|*	3	OBJA	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Fußball·verein	Fußball·verein	_	NN	nom|sg|masc	5	SUBJ	_	_
3	Borussia	Borussia	_	NE	*|*|*	2	APP	_	_
4	Neunkirchen	Neunkirchen	_	NE	nom|sg|masc	3	APP	_	_
5	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
6	Geld·sorgen	Geld·sorgen	_	NN	acc|pl|fem	5	OBJA	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	braucht	brauchen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	in	in	_	APPR	_	2	PP	_	_
4	den	der	_	ART	dat|pl|fem	6	DET	_	_
5	nächsten	nächster	_	ADJA	dat|pl|fem|pos	6	ATTR	_	_
6	Wochen	Woche	_	NN	dat|pl|fem	3	PN	_	_
7	30-Tausend	30-tausend	_	CARD	_	8	ATTR	_	_
8	Euro	Euro	_	NN	nom|sg|*	2	OBJA	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Nur	nur	_	ADV	_	2	ADV	_	_
2	dann	dann	_	ADV	_	3	ADV	_	_
3	kann	können	_	VMFIN	sg|3|pres|ind	0	S	_	_
4	der	der	_	ART	nom|sg|masc	5	DET	_	_
5	Verein	Verein	_	NN	nom|sg|masc	7	OBJA	_	_
6	weiter	weiter	_	ADV	_	7	ADV	_	_
7	bestehen	bestehen	_	VVINF	_	3	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Vorsitzende	vorsitzend	_	NN	nom|sg|masc	9	S	_	_
3	des	der	_	ART	gen|sg|masc	4	DET	_	_
4	Vereins	Verein	_	NN	gen|sg|masc	2	GMOD	_	_
5	,	--	_	$,	_	0	ROOT	_	_
6	Alexander	Alexander	_	NE	nom|sg|masc	2	APP	_	_
