1	Erste	erster	_	ADJA	nom|pl|neut|pos	2	ATTR	_	_
2	Neujahrs·ansprache	Neujahrsansprache	_	NN	nom|pl|neut	0	S	_	_
3	von	von	_	APPR	_	2	PP	_	_
4	Hans	Hans	_	NE	dat|sg|*	3	PN	_	_

1	Minister·präsident	Ministerpräsident	_	NN	nom|sg|masc	4	SUBJ	_	_
2	Tobias	Tobias	_	NE	nom|sg|masc	1	APP	_	_
3	Hans	Hans	_	NE	nom|sg|masc	2	APP	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	zum	zu	_	APPRART	dat|sg|masc	13	PP	_	_
6	Beginn	Beginn	_	NN	dat|sg|masc	5	PN	_	_
7	des	der	_	ART	gen|sg|neut	9	DET	_	_
8	neuen	neu	_	ADJA	gen|sg|neut|pos	9	ATTR	_	_
9	Jahres	Jahr	_	NN	gen|sg|neut	6	GMOD	_	_
10	seine	sein	_	PPOSAT	acc|sg|fem	12	DET	_	_
11	erste	erster	_	ADJA	acc|sg|fem|pos	12	ATTR	_	_
12	Neujahrs·ansprache	Neujahrsansprache	_	NN	acc|sg|fem	13	OBJA	_	_
13	gehalten	halten	_	VVPP	_	4	AUX	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Ein	ein	_	ART	nom|sg|neut	2	DET	_	_
2	Thema	Thema	_	NN	nom|sg|neut	5	PRED	_	_
3	der	der	_	ART	gen|sg|fem	4	DET	_	_
4	Ansprache	Ansprache	_	NN	gen|sg|fem	2	GMOD	_	_
5	war	sein	_	VVFIN	sg|3|past|ind	0	S	_	_
6	die	der	_	ART	nom|sg|fem	7	DET	_	_
7	Digitalisierung	Digitalisierung	_	NN	nom|sg|fem	5	SUBJ	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Minister·präsident	Ministerpräsident	_	NN	nom|sg|masc	4	SUBJ	_	_
2	Tobias	Tobias	_	NE	nom|sg|masc	1	APP	_	_
3	Hans	Hans	_	NE	nom|sg|masc	2	APP	_	_
4	sagt	sagen	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Die	der	_	ART	nom|sg|fem	7	DET	_	_
7	Digitalisierung	Digitalisierung	_	NN	nom|sg|fem	8	SUBJ	_	_
8	ist	sein	_	VVFIN	sg|3|pres|ind	4	S	_	_
9	eine	ein	_	ART	nom|sg|fem	11	DET	_	_
10	große	groß	_	ADJA	nom|sg|fem|pos	11	ATTR	_	_
11	Chance	Chance	_	NN	nom|sg|fem	8	PRED	_	_
12	für	für	_	APPR	_	8	PP	_	_
13	das	der	_	ART	acc|sg|neut	14	DET	_	_
14	Saarland	Saarland	_	NE	acc|sg|neut	12	PN	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Digitalisierung	Digitalisierung	_	NN	nom|sg|fem	2	SUBJ	_	_
2	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	In	in	_	APPR	_	11	PP	_	_
5	immer	immer	_	ADV	_	6	ADV	_	_
6	mehr	mehr	_	PIAT	*|*|*	7	DET	_	_
7	Bereichen	Bereich	_	NN	nom|sg|neut	4	PN	_	_
8	im	in	_	APPRART	dat|sg|neut	7	PP	_	_
9	öffentlichen	öffentlich	_	ADJA	dat|sg|neut|pos	10	ATTR	_	_
10	Leben	Leben	_	NN	dat|sg|neut	8	PN	_	_
11	werden	werden	_	VAFIN	pl|3|pres|ind	2	S	_	_
12	Computer	Computer	_	NN	nom|pl|masc	11	SUBJ	_	_
13	und	und	_	KON	_	12	KON	_	_
14	das	der	_	ART	nom|sg|neut	15	DET	_	_
15	Internet	Internet	_	NN	nom|sg|neut	13	CJ	_	_
16	genutzt	nutzen	_	VVPP	_	11	AUX	_	_
17	.	--	_	$.	_	0	ROOT	_	_

1	Minister·präsident	Ministerpräsident	_	NN	nom|sg|masc	4	SUBJ	_	_
2	Tobias	Tobias	_	NE	nom|sg|masc	1	APP	_	_
3	Hans	Hans	_	NE	nom|sg|masc	2	APP	_	_
4	sagt	sagen	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Die	der	_	ART	nom|sg|fem	7	DET	_	_
7	Digitalisierung	Digitalisierung	_	NN	nom|sg|fem	8	SUBJ	_	_
8	kann	können	_	VMFIN	sg|3|pres|ind	4	S	_	_
9	beim	bei	_	APPRART	dat|sg|neut	14	PP	_	_
10	wirtschaftlichen	wirtschaftlich	_	ADJA	dat|sg|neut|pos	11	ATTR	_	_
11	Wandel	Wandel	_	NN	dat|sg|neut	9	PN	_	_
12	im	in	_	APPRART	dat|sg|neut	11	PP	_	_
