1	Viele	vieler	_	PIAT	nom|pl|*	2	DET	_	_
2	Eschen	esche	_	NN	nom|pl|*	3	SUBJ	_	_
3	sterben	sterben	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	ab	ab	_	APPR	_	3	PP	_	_

1	Am	an	_	APPRART	dat|sg|masc	4	PP	_	_
2	vergangenen	vergangen	_	ADJA	dat|sg|masc|pos	3	ATTR	_	_
3	Sonntag	Sonntag	_	NN	dat|sg|masc	1	PN	_	_
4	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	in	in	_	APPR	_	13	PP	_	_
6	10	10	_	CARD	_	8	ATTR	_	_
7	kleineren	klein	_	ADJA	dat|pl|fem|comp	8	ATTR	_	_
8	Gemeinden	Gemeinde	_	NN	dat|pl|fem	5	PN	_	_
9	im	in	_	APPRART	dat|sg|neut	13	PP	_	_
10	Saarland	Saarland	_	NE	dat|sg|neut	9	PN	_	_
11	neue	neu	_	ADJA	nom|pl|masc|pos	12	ATTR	_	_
12	Rathaus·chefs	Rathaus·chef	_	NN	nom|pl|masc	10	GMOD	_	_
13	gewählt	wählen	_	VVPP	_	14	AUX	_	_
14	wurden	werden	_	VAFIN	pl|3|past|ind	4	KON	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Nur	nur	_	ADV	_	2	ADV	_	_
2	in	in	_	APPR	_	5	PP	_	_
3	3	3	_	CARD	_	4	ATTR	_	_
4	Gemeinden	Gemeinde	_	NN	dat|pl|fem	2	PN	_	_
5	können	können	_	VMFIN	pl|3|pres|ind	0	S	_	_
6	die	der	_	ART	nom|pl|masc	8	DET	_	_
7	bisherigen	bisherig	_	ADJA	nom|pl|masc|pos	8	ATTR	_	_
8	Bürgermeister	Bürgermeister	_	NN	nom|pl|masc	9	OBJA	_	_
9	weiter·machen	weitemachen	_	VVIZU	_	5	NEB	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	5	PP	_	_
2	allen	aller	_	PIAT	dat|pl|fem	4	DET	_	_
3	anderen	anderer	_	ADJA	dat|pl|fem|pos	4	ATTR	_	_
4	Gemeinden	Gemeinde	_	NN	dat|pl|fem	1	PN	_	_
5	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
6	es	es	_	PPER	nom|sg|neut|3	5	SUBJ	_	_
7	neue	neu	_	ADJA	acc|pl|masc|pos	8	ATTR	_	_
8	Chefs	Chef	_	NN	acc|pl|masc	5	OBJA	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Viele	vieler	_	PIAT	nom|pl|masc	3	DET	_	_
2	kranke	krank	_	ADJA	nom|pl|masc|pos	3	ATTR	_	_
3	Bäume	Baum	_	NN	nom|pl|masc	4	SUBJ	_	_
4	mussten	mussten	_	VVFIN	pl|3|past|ind	0	S	_	_
5	bereits	bereits	_	ADV	_	4	ADV	_	_
6	gefällt	fällen	_	VVPP	_	7	AUX	_	_
7	werden	werden	_	VAINF	_	4	OBJI	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	PDS	nom|sg|neut	2	SUBJ	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	nicht	nicht	_	PTKNEG	_	2	ADV	_	_
4	nur	nur	_	ADV	_	6	ADV	_	_
5	ein	ein	_	ART	nom|sg|neut	6	DET	_	_
6	Problem	Problem	_	NN	nom|sg|neut	2	PRED	_	_
7	für	für	_	APPR	_	6	PP	_	_
8	die	der	_	ART	acc|sg|fem	9	DET	_	_
9	Umwelt	Umwelt	_	NN	acc|sg|fem	7	PN	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Holz	Holz	_	NN	nom|sg|neut	5	SUBJ	_	_
3	von	von	_	APPR	_	2	PP	_	_
4	Eschen	Esche	_	NE	dat|sg|neut	3	PN	_	_
5	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
6	sehr	sehr	_	ADV	_	7	ADV	_	_
7	wertvoll	wertvoll	_	ADJD	pos	5	PRED	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Es	es	_	PPER	nom|sg|neut|3	2	SUBJ	_	_
2	wird	werden	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	unter	unter	_	APPR	_	5	PP	_	_
4	anderem	anderer	_	PIS	dat|sg|neut	3	PN	_	_
5	für	für	_	APPR	_	2	PP	_	_
6	Möbel	Möbel	_	NN	acc|pl|*	5	PN	_	_
7	und	und	_	KON	_	5	KON	_	_
8	für	für	_	APPR	_	10	PP	_	_
9	Werkzeug·griffe	Werkzeug·griff	_	NN	acc|pl|*	8	PN	_	_
10	verwendet	verwenden	_	VVFIN	sg|3|pres|ind	7	CJ	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Wie	wie	_	PWAV	_	2	ADV	_	_
2	können	können	_	VMFIN	pl|3|pres|ind	0	S	_	_
3	die	der	_	ART	nom|pl|neut	4	DET	_	_
4	Bäume	Baum	_	NN	nom|pl|neut	6	ETH	_	_
5	noch	noch	_	ADV	_	6	ADV	_	_
6	gerettet	retten	_	VVPP	_	7	AUX	_	_
7	werden	werden	_	VAINF	_	2	AUX	_	_
8	?	--	_	$.	_	0	ROOT	_	_

1	Es	es	_	PPER	nom|sg|neut|3	2	SUBJ	_	_
2	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	einzelne	einzeln	_	ADJA	acc|pl|neut|pos	4	ATTR	_	_
4	Eschen	Esche	_	NN	acc|pl|neut	2	OBJA	_	_
5	,	--	_	$,	_	0	ROOT	_	_
6	die	der	_	PRELS	nom|pl|neut	12	OBJD	_	_
7	durch	durch	_	APPR	_	12	PP	_	_
8	den	der	_	ART	acc|sg|masc	9	DET	_	_
9	Pilz	Pilz	_	NN	acc|sg|masc	7	PN	_	_
10	nicht	nicht	_	PTKNEG	_	12	ADV	_	_
11	krank	krank	_	ADJD	pos	12	ADV	_	_
12	werden	werden	_	VAINF	_	4	NEB	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Man	man	_	PIS	nom|sg|*	2	SUBJ	_	_
2	sagt	sagen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	Sie	sie	_	PPER	nom|pl|*|3	5	SUBJ	_	_
5	sind	sein	_	VAFIN	pl|3|pres|ind	2	S	_	_
6	resistent	resistent	_	ADJD	pos	5	ADV	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Forscher	Forscher	_	NN	nom|pl|masc	2	SUBJ	_	_
2	hoffen	hoffen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	nun	nun	_	ADV	_	2	ADV	_	_
4	,	--	_	$,	_	0	ROOT	_	_
5	diese	dieser	_	PDAT	acc|pl|neut	7	DET	_	_
6	resistenten	resistent	_	ADJA	acc|pl|neut|pos	7	ATTR	_	_
7	Bäume	Baum	_	NN	acc|pl|neut	9	OBJA	_	_
8	zu	zu	_	PTKZU	_	9	PART	_	_
9	vermehren	vermehren	_	VVINF	_	2	OBJI	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Bislang	bislang	_	ADV	_	2	ADV	_	_
2	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
4	aber	aber	_	ADV	_	2	ADV	_	_
5	noch	noch	_	ADV	_	6	ADV	_	_
6	keinen	kein	_	PIAT	acc|sg|masc	7	DET	_	_
7	Erfolg	Erfolg	_	NN	acc|sg|masc	2	OBJA	_	_
8	.	--	_	$.	_	0	ROOT	_	_

