1	Freundschafts·vertrag	Freundschafts·vertrag	_	NN	nom|sg|masc	0	S	_	_
2	zwischen	zwischen	_	APPR	_	1	PP	_	_
3	Deutschland	Deutschland	_	NE	dat|sg|neut	2	PN	_	_
4	und	und	_	KON	_	3	KON	_	_
5	Frankreich	Frankreich	_	NE	dat|sg|neut	4	CJ	_	_

1	Die	der	_	ART	nom|pl|neut	2	DET	_	_
2	Länder	Land	_	NN	nom|pl|neut	6	SUBJ	_	_
3	Deutschland	Deutschland	_	NE	nom|sg|neut	2	APP	_	_
4	und	und	_	KON	_	3	KON	_	_
5	Frankreich	Frankreich	_	NE	nom|sg|neut	4	CJ	_	_
6	wollen	wollen	_	VMFIN	pl|3|pres|ind	0	S	_	_
7	noch	noch	_	ADV	_	9	ADV	_	_
8	enger	eng	_	ADJD	comp	9	ADV	_	_
9	zusammen·arbeiten	zusammen·arbeiten	_	VVINF	_	6	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	PDS	acc|sg|neut	7	OBJD	_	_
2	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	sie	sie	_	PPER	nom|pl|*|3	7	OBJA	_	_
4	in	in	_	APPR	_	7	PP	_	_
5	einen	ein	_	ART	acc|sg|masc	6	DET	_	_
6	Vertrag	Vertrag	_	NN	acc|sg|masc	4	PN	_	_
7	geschrieben	schreiben	_	VVPP	_	2	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Vor	vor	_	APPR	_	3	PP	_	_
2	allem	alle	_	PIS	dat|sg|neut	1	PN	_	_
3	Menschen	Mensch	_	NN	nom|pl|masc	7	SUBJ	_	_
4	in	in	_	APPR	_	3	PP	_	_
5	den	der	_	ART	dat|pl|fem	6	DET	_	_
6	Grenz·regionen	Grenz·region	_	NN	dat|pl|fem	4	PN	_	_
7	sollen	sollen	_	VMFIN	pl|3|pres|ind	0	S	_	_
8	sich	sich	_	PRF	acc|pl|3	11	ETH	_	_
9	noch	noch	_	ADV	_	11	ADV	_	_
10	näher	nah	_	ADJD	comp	11	ADV	_	_
11	kommen	kommen	_	VVINF	_	7	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Wichtige	wichtig	_	ADJA	nom|pl|masc|pos	2	ATTR	_	_
2	Politiker	Politiker	_	NN	nom|pl|masc	3	ZEIT	_	_
3	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	den	der	_	ART	acc|sg|masc	5	DET	_	_
5	Vertrag	Vertrag	_	NN	acc|sg|masc	8	OBJA	_	_
6	in	in	_	APPR	_	5	PP	_	_
7	Aachen	Aachen	_	NN	acc|pl|fem	6	PN	_	_
8	unterzeichnet	unterzeichnen	_	VVPP	_	3	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Für	für	_	APPR	_	3	PP	_	_
2	Deutschland	Deutschland	_	NE	acc|sg|neut	1	PN	_	_
3	waren	sein	_	VAFIN	pl|3|past|ind	0	S	_	_
4	es	es	_	PPER	nom|sg|neut|3	3	SUBJ	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	•	LI	_	XY	nom|sg|fem	0	ROOT	_	_
7	Bundes·kanzlerin	Bundes·kanzlerin	_	NN	nom|sg|fem	3	PRED	_	_
8	Merkel	Merkel	_	NE	nom|sg|fem	7	APP	_	_
9	und	und	_	KON	_	7	KON	_	_
10	•	LI	_	ADJA	nom|sg|masc|pos	0	ROOT	_	_
11	Bundes·außen·minister	Bundes·außen·minister	_	NN	nom|sg|masc	9	CJ	_	_
12	Maas	Maas	_	NE	nom|sg|masc	11	APP	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Für	für	_	APPR	_	3	PP	_	_
2	Frankreich	Frankreich	_	NE	acc|sg|neut	1	PN	_	_
3	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	unterschrieben	unterschreiben	_	VVPP	_	3	AUX	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	•	LI	_	CARD	_	0	ROOT	_	_
7	Präsident	Präsident	_	NN	nom|sg|masc	4	S	_	_
8	Macron	Macron	_	NE	nom|sg|masc	7	APP	_	_
9	und	und	_	KON	_	7	KON	_	_
10	•	LI	_	NE	nom|sg|masc	0	ROOT	_	_
11	Außen·minister	Außen·minister	_	NN	nom|sg|masc	9	CJ	_	_
12	Le	Le	_	NE	*|*|*	11	APP	_	_
13	Drian	Drian	_	NE	nom|sg|masc	12	APP	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	4	PP	_	_
2	dem	der	_	ART	dat|sg|masc	3	DET	_	_
3	Vertrag	Vertrag	_	NN	dat|sg|masc	1	PN	_	_
4	stehen	stehen	_	VVFIN	pl|3|pres|ind	0	S	_	_
5	viele	vieler	_	PIAT	nom|pl|*	6	DET	_	_
6	Bereiche	Bereich	_	NN	nom|pl|*	4	OBJD	_	_
7	,	--	_	$,	_	0	ROOT	_	_
8	in	in	_	APPR	_	13	PP	_	_
9	denen	der	_	PRELS	dat|pl|neut	8	PN	_	_
10	die	der	_	ART	nom|pl|masc	12	DET	_	_
11	beiden	beide	_	PIAT	acc|pl|neut	12	DET	_	_
12	Länder	Land	_	NN	acc|pl|neut	14	SUBJ	_	_
13	zusammen·arbeiten	zusammen·arbeiten	_	VVINF	_	14	AUX	_	_
14	wollen	wollen	_	VMFIN	pl|3|pres|ind	6	REL	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	PDS	nom|sg|neut	2	SUBJ	_	_
2	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	zum	zu	_	APPRART	dat|sg|neut	2	PRED	_	_
4	Bespiel	Bespiel	_	NN	dat|sg|neut	3	PN	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	•	LI	_	CARD	_	0	ROOT	_	_
7	Die	der	_	ART	nom|sg|fem	8	DET	_	_
8	Wirtschaft	Wirtschaft	_	NN	nom|sg|fem	2	PRED	_	_
9	:	--	_	$.	_	0	ROOT	_	_

1	Unternehmen	Unternehmen	_	NN	nom|pl|neut	5	OBJA	_	_
2	sollen	sollen	_	VMFIN	pl|3|pres|ind	0	S	_	_
3	es	es	_	PPER	acc|sg|neut|3	2	EXPL	_	_
4	leichter	leicht	_	ADJD	comp	5	ADV	_	_
5	haben	haben	_	VAINF	_	2	AUX	_	_
6	,	--	_	$,	_	0	ROOT	_	_
7	wenn	wenn	_	KOUS	_	13	KONJ	_	_
8	sie	sie	_	PPER	nom|sg|fem|3	13	OBJA	_	_
9	im	in	_	APPRART	dat|sg|neut	13	PP	_	_
10	anderen	anderer	_	ADJA	dat|sg|neut|pos	11	ATTR	_	_
11	Land	Land	_	NN	dat|sg|neut	9	PN	_	_
12	Geschäfte	Geschäft	_	NN	acc|pl|neut	9	PN	_	_
13	machen	machen	_	VVINF	_	2	NEB	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	sollen	sollen	_	VMFIN	pl|3|pres|ind	0	S	_	_
3	dafür	dafür	_	PROAV	_	5	DET	_	_
4	weniger	weniger	_	PIAT	*|*|*	5	DET	_	_
5	Formulare	Formular	_	NN	nom|pl|neut	6	OBJA	_	_
6	ausfüllen	ausfüllen	_	VVINF	pl|3|pres|ind	2	AUX	_	_
7	oder	oder	_	KON	_	6	KON	_	_
8	weniger	weniger	_	PIAT	*|*|*	9	DET	_	_
9	Genehmigungen	Genehmigung	_	NN	nom|pl|fem	10	OBJA	_	_
10	brauchen	brauchen	_	VVFIN	pl|3|pres|ind	7	CJ	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	•	LI	_	XY	nom|sg|fem	0	ROOT	_	_
2	Die	der	_	ART	nom|sg|fem	3	DET	_	_
3	Verteidigungs·politik	Verteidigungs·politik	_	NN	nom|sg|fem	0	S	_	_
4	:	--	_	$.	_	0	ROOT	_	_

1	Deutschland	Deutschland	_	NE	nom|sg|neut	4	SUBJ	_	_
2	und	und	_	KON	_	1	KON	_	_
3	Frankreich	Frankreich	_	NE	nom|sg|neut	2	CJ	_	_
4	wollen	wollen	_	VMFIN	pl|3|pres|ind	0	S	_	_
5	sich	sich	_	PRF	acc|pl|3	6	OBJD	_	_
6	helfen	helfen	_	VVINF	_	4	AUX	_	_
7	,	--	_	$,	_	0	ROOT	_	_
8	wenn	wenn	_	KOUS	_	9	KONJ	_	_
9	sie	sie	_	PPER	nom|sg|fem|3	14	SUBJ	_	_
10	von	von	_	APPR	_	14	PP	_	_
11	einem	ein	_	ART	dat|sg|neut	13	DET	_	_
12	anderen	anderer	_	ADJA	dat|sg|neut|pos	13	ATTR	_	_
13	Land	Land	_	NN	dat|sg|neut	10	PN	_	_
14	angegriffen	angreifen	_	VVPP	_	15	AUX	_	_
15	werden	werden	_	VAINF	_	4	AUX	_	_
16	.	--	_	$.	_	0	ROOT	_	_

1	Beide	beide	_	PIAT	nom|pl|neut	2	DET	_	_
2	Länder	Land	_	NN	nom|pl|neut	3	SUBJ	_	_
3	wollen	wollen	_	VMFIN	pl|3|pres|ind	0	S	_	_
4	sich	sich	_	PRF	acc|pl|3	7	OBJA	_	_
5	aber	aber	_	ADV	_	7	ADV	_	_
6	auch	auch	_	ADV	_	7	ADV	_	_
7	ab·sprechen	ab·sprechen	_	VVINF	_	3	AUX	_	_
8	,	--	_	$,	_	0	ROOT	_	_
9	an	an	_	APPR	_	14	PP	_	_
10	welches	welcher	_	PWAT	acc|sg|neut	11	DET	_	_
11	Land	Land	_	NN	acc|sg|neut	14	OBJA	_	_
12	sie	sie	_	PPER	nom|pl|*|3	9	PN	_	_
13	Waffen	Waffe	_	NN	acc|pl|fem	14	OBJA	_	_
14	liefern	liefern	_	VVINF	_	7	KON	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	•	LI	_	XY	*|*|*	0	ROOT	_	_
2	Das	der	_	ART	nom|sg|neut	3	DET	_	_
3	Zusammen·leben	zusammen·leben	_	NN	nom|sg|neut	0	S	_	_
4	:	--	_	$.	_	0	ROOT	_	_
5	Damit	damit	_	VVFIN	sg|3|pres|ind	16	REL	_	_
6	sich	sich	_	PRF	acc|sg|3	14	ETH	_	_
7	die	der	_	ART	nom|sg|fem	8	DET	_	_
8	Menschen	Mensch	_	NN	acc|pl|masc	14	SUBJ	_	_
9	in	in	_	APPR	_	8	PP	_	_
10	Deutschland	Deutschland	_	NE	dat|sg|neut	9	PN	_	_
11	und	und	_	KON	_	10	KON	_	_
12	Frankreich	Frankreich	_	NE	dat|sg|neut	11	CJ	_	_
13	näher	nah	_	ADJD	comp	14	ADV	_	_
14	kommen	kommen	_	VVFIN	pl|3|pres|ind	16	NEB	_	_
15	,	--	_	$,	_	0	ROOT	_	_
16	müssen	müssen	_	VMFIN	pl|3|pres|ind	0	S	_	_
17	sie	sie	_	PPER	nom|pl|*|3	16	SUBJ	_	_
