1	Mehr	mehr	_	PIAT	*|*|*	2	DET	_	_
2	Schüler	Schüler	_	NN	nom|sg|*	3	SUBJ	_	_
3	gehen	gehen	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	auf	auf	_	APPR	_	3	PP	_	_
5	Förder·schulen	Förder·schule	_	NN	acc|pl|fem	4	PN	_	_

1	In	in	_	APPR	_	6	PP	_	_
2	den	der	_	ART	dat|pl|neut	5	DET	_	_
3	letzten	letzter	_	ADJA	dat|pl|neut|pos	5	ATTR	_	_
4	2	2	_	CARD	_	5	ATTR	_	_
5	Jahren	Jahr	_	NN	dat|pl|neut	1	PN	_	_
6	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
7	im	in	_	APPRART	dat|sg|masc	16	PP	_	_
8	Saarland	Saarland	_	NE	dat|sg|masc	7	PN	_	_
9	viele	vieler	_	PIAT	acc|pl|masc	10	DET	_	_
10	Kinder	Kind	_	NN	nom|pl|neut	16	OBJA	_	_
11	mit	mit	_	APPR	_	16	PP	_	_
12	einer	ein	_	ART	dat|sg|fem	13	DET	_	_
13	Behinderung	Behinderung	_	NN	dat|sg|fem	11	PN	_	_
14	die	der	_	ART	acc|sg|fem	15	DET	_	_
15	Regel·schule	Regel·schule	_	NN	acc|sg|fem	13	GMOD	_	_
16	verlassen	verlassen	_	VVINF	_	6	AUX	_	_
17	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	4	PP	_	_
2	einer	ein	_	ART	dat|sg|fem	3	DET	_	_
3	Regel·schule	Regel·schule	_	NN	dat|sg|fem	1	PN	_	_
4	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	Kinder	Kind	_	NN	nom|pl|neut	4	PRED	_	_
6	mit	mit	_	APPR	_	5	PP	_	_
7	Behinderung	Behinderung	_	NN	dat|sg|fem	6	PN	_	_
8	und	und	_	KON	_	6	KON	_	_
9	Kinder	Kind	_	NN	nom|pl|neut	8	CJ	_	_
10	ohne	ohne	_	APPR	_	8	CJ	_	_
11	Behinderung	Behinderung	_	NN	acc|sg|fem	10	PN	_	_
12	zusammen	zusammen	_	PTKVZ	_	4	AVZ	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Viele	vieler	_	PIAT	nom|pl|neut	2	DET	_	_
