1	Neue	neu	_	ADJA	nom|pl|fem|pos	2	ATTR	_	_
2	Sozial·wohnungen	Sozial·wohnung	_	NN	nom|pl|fem	3	SUBJ	_	_
3	werden	werden	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	gebaut	bauen	_	VVPP	_	3	AUX	_	_

1	Im	in	_	APPRART	dat|sg|masc	3	PP	_	_
2	Saarland	Saarland	_	NE	dat|sg|masc	1	PN	_	_
3	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	es	es	_	PPER	nom|sg|neut|3	3	SUBJ	_	_
5	zu	zu	_	APPR	_	3	PP	_	_
6	wenige	weniger	_	PIAT	acc|pl|fem	7	DET	_	_
7	Wohnungen	Wohnung	_	NN	acc|pl|fem	5	PN	_	_
8	für	für	_	APPR	_	7	PP	_	_
9	arme	arm	_	ADJA	acc|pl|fem|pos	10	ATTR	_	_
10	Menschen	Mensch	_	NN	acc|pl|fem	8	PN	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Bau·minister	Bau·minister	_	NN	nom|sg|masc	7	SUBJ	_	_
2	Klaus	Klaus	_	NE	nom|sg|masc	1	APP	_	_
3	Bouillon	Bouillon	_	NE	nom|sg|masc	2	APP	_	_
4	(	--	_	$(	_	0	ROOT	_	_
5	CDU	CDU	_	NE	nom|sg|fem	3	APP	_	_
6	)	--	_	$(	_	0	ROOT	_	_
7	hat	haben	_	VAFIN	sg|3|pres|ind	8	S	_	_
8	gesagt	sagen	_	VVPP	_	10	PRED	_	_
9	:	--	_	$.	_	0	ROOT	_	_
10	In	in	_	APPR	_	15	PP	_	_
11	den	der	_	ART	dat|pl|neut	14	DET	_	_
12	nächsten	nächster	_	ADJA	dat|pl|neut|pos	14	ATTR	_	_
13	2	2	_	CARD	_	14	ATTR	_	_
14	Jahren	Jahr	_	NN	dat|pl|neut	10	PN	_	_
15	können	können	_	VMFIN	pl|3|pres|ind	0	S	_	_
16	500	500	_	CARD	_	18	ATTR	_	_
17	neue	neu	_	ADJA	acc|pl|fem|pos	18	ATTR	_	_
18	Sozial·wohnungen	Sozial·wohnung	_	NN	acc|pl|fem	0	S	_	_
19	gebaut	bauen	_	VVPP	_	20	AUX	_	_
20	werden	werden	_	VAINF	_	15	AUX	_	_
21	.	--	_	$.	_	0	ROOT	_	_

1	Mehrere	mehrere	_	PIAT	nom|pl|fem	2	DET	_	_
2	Firmen	Firma	_	NN	nom|pl|fem	3	SUBJ	_	_
3	wollen	wollen	_	VMFIN	pl|3|pres|ind	0	S	_	_
4	das	der	_	PDS	acc|sg|neut	5	OBJA	_	_
5	machen	machen	_	VVINF	_	3	AUX	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Sozial·wohnungen	Sozial·wohnung	_	NN	dat|pl|fem	1	PN	_	_
3	dürfen	dürfen	_	VMFIN	pl|3|pres|ind	0	S	_	_
4	Menschen	Mensch	_	NN	nom|pl|masc	5	OBJA	_	_
5	einziehen	einziehen	_	VVINF	_	3	AUX	_	_
6	,	--	_	$,	_	0	ROOT	_	_
7	die	der	_	PRELS	nom|pl|masc	10	SUBJ	_	_
8	wenig	wenig	_	PIAT	*|*|*	9	ATTR	_	_
9	Geld	Geld	_	NN	acc|sg|neut	10	OBJA	_	_
10	haben	haben	_	VAFIN	pl|3|pres|ind	4	REL	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|fem	4	DET	_	_
2	meisten	meister	_	PIAT	nom|pl|fem	4	DET	_	_
3	anderen	anderer	_	ADJA	nom|pl|fem|pos	4	ATTR	_	_
4	Wohnungen	Wohnung	_	NN	nom|pl|fem	5	PRED	_	_
5	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
6	für	für	_	APPR	_	5	PP	_	_
7	diese	dieser	_	PDAT	acc|pl|masc	8	DET	_	_
8	Menschen	Mensch	_	NN	acc|pl|masc	6	PN	_	_
9	zu	zu	_	PTKA	_	10	ADV	_	_
10	teuer	teuer	_	ADJD	pos	5	PRED	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|neut	2	DET	_	_
2	Mieten	Miete	_	NN	nom|pl|neut	9	ETH	_	_
3	in	in	_	APPR	_	2	PP	_	_
