1	Mann	Mann	_	NN	nom|sg|masc	2	SUBJ	_	_
2	wacht	wachen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	neben	neben	_	APPR	_	2	PP	_	_
4	einer	ein	_	ART	dat|sg|fem	5	DET	_	_
5	Python·schlange	Python·schlange	_	NN	dat|sg|fem	3	PN	_	_
6	auf	auf	_	APPR	_	2	PP	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Feuer·wehr	Feuer·wehr	_	NN	nom|sg|fem	3	SUBJ	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	am	an	_	APPRART	dat|sg|masc	17	PP	_	_
5	Montag	Montag	_	NN	dat|sg|masc	4	PN	_	_
6	(	--	_	$(	_	0	ROOT	_	_
7	26.	26.	_	ADJA	dat|sg|masc|pos	8	ATTR	_	_
8	August	August	_	NN	dat|sg|masc	5	APP	_	_
9	)	--	_	$(	_	0	ROOT	_	_
10	in	in	_	APPR	_	17	PP	_	_
11	Dillingen	Dillingen	_	NE	dat|sg|neut	10	PN	_	_
12	eine	ein	_	ART	nom|sg|fem	13	DET	_	_
13	Python·schlange	Python·schlange	_	NN	nom|sg|fem	17	OBJA	_	_
14	aus	aus	_	APPR	_	17	PP	_	_
15	einem	ein	_	ART	dat|sg|neut	16	DET	_	_
16	Haus	Haus	_	NN	dat|sg|neut	14	PN	_	_
17	holen	holen	_	VVINF	_	18	AUX	_	_
18	müssen	müssen	_	VMINF	_	3	AUX	_	_
19	.	--	_	$.	_	0	ROOT	_	_

1	Ein	ein	_	ART	nom|sg|neut	2	DET	_	_
2	Python	Python	_	NN	nom|sg|neut	3	PRED	_	_
3	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	eine	ein	_	ART	nom|sg|fem	6	DET	_	_
5	große	groß	_	ADJA	nom|sg|fem|pos	6	ATTR	_	_
6	Würge·schlange	Würge·schlange	_	NN	nom|sg|fem	3	PRED	_	_
