1	Homburg	Homburg	_	NE	nom|sg|neut	0	S	_	_
2	und	und	_	KON	_	1	KON	_	_
3	Saarbrücken	Saarbrücken	_	NE	nom|sg|neut	2	CJ	_	_
4	im	in	_	APPRART	dat|sg|neut	1	PP	_	_
5	Saarland·pokal	Saarland·pokal	_	NE	dat|sg|neut	4	PN	_	_
6	eine	ein	_	ART	acc|sg|fem	7	DET	_	_
7	Runde	Runde	_	NN	acc|sg|fem	5	PAR	_	_
8	weiter	weiter	_	ADV	_	7	ADV	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	FC	FC	_	NE	nom|sg|masc	9	SUBJ	_	_
3	Homburg	Homburg	_	NE	nom|sg|masc	2	APP	_	_
4	und	und	_	KON	_	3	KON	_	_
5	der	der	_	ART	nom|sg|masc	7	DET	_	_
6	1.	1	_	CARD	_	7	ATTR	_	_
7	FC	FC	_	NE	gen|sg|*	4	NP2	_	_
8	Saarbrücken	Saarbrücken	_	NE	dat|sg|neut	7	APP	_	_
9	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
10	das	der	_	ART	acc|sg|neut	11	DET	_	_
11	Achtel·finale	Achtel·final	_	NN	nom|pl|masc	14	OBJA	_	_
12	im	in	_	APPRART	dat|sg|masc	14	PP	_	_
13	Saarland·pokal	Saarland·pokal	_	NN	dat|sg|masc	12	PN	_	_
14	erreicht	erreichen	_	VVPP	_	9	AUX	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Beide	beide	_	PIAT	nom|pl|masc	2	DET	_	_
2	Fußball·vereine	Fußball·verein	_	NN	nom|pl|masc	0	S	_	_
3	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	ihre	ihr	_	PPOSAT	acc|sg|fem	5	DET	_	_
5	Spiele	Spiel	_	NN	acc|sg|fem	8	OBJA	_	_
6	am	an	_	APPRART	dat|sg|masc	8	PP	_	_
7	Dienstag	Dienstag	_	NN	dat|sg|masc	6	PN	_	_
8	gewonnen	gewinnen	_	VVPP	_	3	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Bereits	bereits	_	ADV	_	3	ADV	_	_
2	letzte	letzter	_	ADJA	nom|pl|neut|pos	3	ATTR	_	_
3	Woche	Woche	_	NN	nom|pl|neut	4	ZEIT	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	die	der	_	ART	nom|sg|fem	6	DET	_	_
6	SV	SV	_	NN	nom|sg|fem	18	OBJD	_	_
7	Elversberg	Elversberg	_	NE	nom|sg|fem	6	APP	_	_
8	durch	durch	_	APPR	_	18	PP	_	_
9	einen	ein	_	ART	acc|sg|masc	11	DET	_	_
10	hohen	hoch	_	ADJA	acc|sg|masc|pos	11	ATTR	_	_
11	Sieg	Sieg	_	NN	acc|sg|masc	8	PN	_	_
12	die	der	_	ART	acc|sg|fem	14	DET	_	_
13	nächste	nächster	_	ADJA	acc|sg|fem|pos	14	ATTR	_	_
14	Runde	Runde	_	NN	acc|sg|fem	18	OBJA	_	_
15	in	in	_	APPR	_	18	PP	_	_
16	dem	der	_	ART	dat|sg|masc	17	DET	_	_
17	Pokal·wettbewerb	Pokal·wettbewerb	_	NN	dat|sg|masc	15	PN	_	_
18	erreicht	erreichen	_	VVPP	_	4	AUX	_	_
19	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	FC	FC	_	NE	nom|sg|masc	4	OBJA	_	_
3	Homburg	Homburg	_	NE	nom|sg|masc	2	APP	_	_
4	gewann	gewinnen	_	VVFIN	sg|3|past|ind	0	S	_	_
5	sein	sein	_	PPOSAT	acc|sg|neut	6	DET	_	_
6	Spiel	Spiel	_	NN	acc|sg|neut	4	OBJA	_	_
7	gegen	gegen	_	APPR	_	6	PP	_	_
8	TuS	TuS	_	NE	acc|sg|neut	7	PN	_	_
9	Herrensohr	Herrensohr	_	NN	acc|sg|neut	8	APP	_	_
10	deutlich	deutlich	_	ADJD	pos	4	ADV	_	_
11	mit	mit	_	APPR	_	4	PP	_	_
12	7:1	7:1	_	CARD	_	11	PN	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Etwas	etwas	_	ADV	_	2	ADV	_	_
2	mehr	mehr	_	PIAT	*|*|*	3	DET	_	_
3	Probleme	Problem	_	NN	acc|pl|neut	0	S	_	_
4	hatte	haben	_	VAFIN	sg|3|past|ind	3	OBJI	_	_
5	der	der	_	ART	nom|sg|masc	7	DET	_	_
6	1.	1	_	CARD	_	7	ATTR	_	_
7	FC	FC	_	NE	_	4	SUBJ	_	_
8	Saarbrücken	Saarbrücken	_	NE	dat|sg|neut	7	APP	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	setzte	setzen	_	VVFIN	sg|3|past|ind	0	S	_	_
3	sich	sich	_	PRF	acc|sg|3	2	OBJA	_	_
4	gegen	gegen	_	APPR	_	2	PP	_	_
5	den	der	_	ART	acc|sg|masc	6	DET	_	_
6	VfL	VfL	_	NE	acc|sg|masc	4	PN	_	_
7	Primstal	Primstal	_	NE	nom|sg|masc	6	APP	_	_
8	zwar	zwar	_	ADV	_	2	ADV	_	_
9	mit	mit	_	APPR	_	2	PP	_	_
10	3:1	3:1	_	CARD	_	9	PN	_	_
11	durch	durch	_	PTKVZ	_	2	AVZ	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Entscheidung	Entscheidung	_	NN	nom|sg|fem	3	PN	_	_
3	fiel	fallen	_	VVFIN	sg|3|past|ind	0	S	_	_
4	aber	aber	_	ADV	_	3	ADV	_	_
5	erst	erst	_	ADV	_	3	ADV	_	_
6	in	in	_	APPR	_	3	PP	_	_
7	den	der	_	ART	dat|pl|neut	9	DET	_	_
8	letzten	letzter	_	ADJA	dat|pl|neut|pos	9	ATTR	_	_
9	Spiel·minuten	Spiel·minute	_	NN	dat|pl|neut	6	PN	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Bereits	bereits	_	ADV	_	3	ADV	_	_
2	vergangene	vergangen	_	ADJA	acc|sg|fem|pos	3	ATTR	_	_
3	Woche	Woche	_	NN	acc|sg|fem	4	ZEIT	_	_
4	gewann	gewinnen	_	VVFIN	sg|3|past|ind	0	S	_	_
5	die	der	_	ART	nom|sg|fem	6	DET	_	_
6	SV	SV	_	NN	nom|sg|fem	4	PAR	_	_
7	Elversberg	Elversberg	_	NE	nom|sg|*	6	APP	_	_
8	ihr	ihr	_	PPOSAT	acc|sg|neut	9	DET	_	_
9	Spiel	Spiel	_	NN	acc|sg|neut	4	OBJA	_	_
10	gegen	gegen	_	APPR	_	9	PP	_	_
11	den	der	_	ART	acc|sg|masc	12	DET	_	_
12	FC	FC	_	NE	acc|sg|masc	10	PN	_	_
13	Noswendel-Wadern	Noswendel-Wader	_	NE	_	12	APP	_	_
14	klar	klar	_	ADJD	pos	4	ADV	_	_
15	mit	mit	_	APPR	_	4	PP	_	_
16	11:0	11:0	_	CARD	_	15	PN	_	_
17	.	--	_	$.	_	0	ROOT	_	_

1	Elversberg	Elversberg	_	NE	nom|sg|neut	6	SUBJ	_	_
2	,	--	_	$,	_	0	ROOT	_	_
