1	Sonder·ermittler	Sonder·ermittler	_	NN	nom|sg|masc	2	SUBJ	_	_
2	unter·sucht	unter·suchen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	Missbrauchs·skandal	Missbrauchs·skandal	_	NN	acc|sg|masc	2	OBJA	_	_

1	Ein	ein	_	ART	nom|sg|masc	2	DET	_	_
2	Arzt	Arzt	_	NN	nom|sg|masc	0	S	_	_
3	soll	sollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
4	an	an	_	APPR	_	12	PP	_	_
5	der	der	_	ART	dat|sg|fem	6	DET	_	_
6	Uni·klinik	Uni·klinik	_	NN	dat|sg|fem	4	PN	_	_
7	in	in	_	APPR	_	6	PP	_	_
8	Homburg	Homburg	_	NE	dat|sg|neut	7	PN	_	_
9	jahre·lang	jahre·lang	_	ADJD	pos	12	ADV	_	_
10	Kinder	Kind	_	NN	nom|pl|neut	0	S	_	_
11	sexuell	sexuell	_	ADJD	pos	12	ADV	_	_
12	miss·braucht	miss·brauchen	_	VVPP	_	13	AUX	_	_
13	haben	haben	_	VAINF	pl|3|pres|ind	3	AUX	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|masc	2	DET	_	_
2	Eltern	Eltern	_	NN	nom|pl|*	0	S	_	_
3	der	der	_	ART	gen|pl|neut	4	DET	_	_
4	Kinder	Kind	_	NN	gen|pl|neut	2	GMOD	_	_
5	und	und	_	KON	_	0	S	_	_
6	auch	auch	_	ADV	_	8	ADV	_	_
7	die	der	_	ART	nom|sg|fem	8	DET	_	_
8	Öffentlich·keit	Öffentlich·keit	_	NN	nom|sg|fem	13	OBJA	_	_
9	haben	haben	_	VAFIN	pl|3|pres|ind	5	CJ	_	_
10	erst	erst	_	ADV	_	11	ADV	_	_
11	jetzt	jetzt	_	ADV	_	13	ADV	_	_
12	davon	davon	_	PROAV	_	10	DET	_	_
13	erfahren	erfahren	_	VVINF	_	9	AUX	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Deshalb	deshalb	_	PROAV	_	2	DET	_	_
2	spricht	sprechen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	man	man	_	PIS	nom|sg|*	2	SUBJ	_	_
4	auch	auch	_	ADV	_	5	ADV	_	_
5	von	von	_	APPR	_	2	PP	_	_
6	einem	ein	_	ART	dat|sg|masc	7	DET	_	_
7	Missbrauchs·skandal	Missbrauchs·skandal	_	NN	dat|sg|masc	5	PN	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Landes·regierung	Landes·regierung	_	NN	nom|sg|fem	7	OBJD	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	jetzt	jetzt	_	ADV	_	7	ADV	_	_
5	einen	ein	_	ART	acc|sg|masc	6	DET	_	_
6	Sonder·ermittler	Sonder·ermittler	_	NN	acc|sg|masc	7	OBJG	_	_
7	eingesetzt	einsetzen	_	VVPP	_	3	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Sonder·ermittler	Sonder·ermittler	_	NN	nom|sg|masc	2	PRED	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	ein	ein	_	ART	nom|sg|neut	5	DET	_	_
4	schweres	schwer	_	ADJA	nom|sg|neut|pos	5	ATTR	_	_
5	Wort	Wort	_	NN	nom|sg|neut	2	PRED	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Es	es	_	PPER	nom|sg|neut|3	2	OBJA	_	_
2	bedeutet	bedeuten	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	Ein	ein	_	ART	nom|sg|masc	5	DET	_	_
5	Fach·mann	Fach·mann	_	NN	nom|sg|masc	6	SUBJ	_	_
6	soll	sollen	_	VMFIN	sg|3|pres|ind	2	S	_	_
7	heraus·finden	heraus·finden	_	VVINF	_	6	AUX	_	_
8	,	--	_	$,	_	0	ROOT	_	_
9	was	was	_	PRELS	nom|sg|neut	18	SUBJ	_	_
10	zwischen	zwischen	_	APPR	_	17	PP	_	_
11	den	der	_	ART	dat|pl|neut	12	DET	_	_
12	Jahren	Jahr	_	NN	dat|pl|neut	10	PN	_	_
13	2010	2010	_	CARD	_	12	ZEIT	_	_
14	und	und	_	KON	_	13	KON	_	_
15	2014	2014	_	CARD	_	14	CJ	_	_
16	wirklich	wirklich	_	ADJD	pos	17	ADV	_	_
17	passiert	passieren	_	VVPP	_	18	AUX	_	_
18	ist	sein	_	VAFIN	sg|3|pres|ind	6	REL	_	_
19	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	soll	sollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
3	auch	auch	_	ADV	_	4	ADV	_	_
4	unter·suchen	unter·suchen	_	VVINF	_	2	AUX	_	_
5	,	--	_	$,	_	0	ROOT	_	_
6	warum	warum	_	PWAV	_	13	ADV	_	_
7	der	der	_	ART	nom|sg|masc	9	DET	_	_
8	mögliche	möglich	_	ADJA	nom|sg|masc|pos	9	ATTR	_	_
9	Missbrauch	Missbrauch	_	NN	nom|sg|masc	13	SUBJ	_	_
10	so	so	_	ADV	_	11	ADV	_	_
11	spät	spät	_	ADJD	pos	12	ADV	_	_
12	bekannt	bekannt	_	ADJD	pos	13	PRED	_	_
13	wurde	werden	_	VAFIN	sg|3|past|ind	4	OBJC	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Vor	vor	_	APPR	_	4	PP	_	_
2	allem	alle	_	PIS	dat|sg|neut	1	PN	_	_
3	die	der	_	ART	nom|pl|masc	4	DET	_	_
4	Eltern	Eltern	_	NN	nom|pl|masc	5	SUBJ	_	_
5	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
6	wütend	wütend	_	ADJD	pos	5	ADV	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	sagen	sagen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	Wieso	wieso	_	PWAV	_	5	ADV	_	_
5	hat	haben	_	VAFIN	sg|3|pres|ind	2	S	_	_
6	man	man	_	PIS	nom|sg|*	9	SUBJ	_	_
