1	Demonstrationen	Demonstration	_	NN	nom|pl|fem	0	S	_	_
2	am	an	_	APPRART	dat|sg|masc	1	PP	_	_
3	1.	1.	_	ADJA	dat|sg|masc|pos	4	ATTR	_	_
4	Mai	Mai	_	NN	dat|sg|masc	2	PN	_	_

1	In	in	_	APPR	_	6	PP	_	_
2	vielen	vieler	_	PIAT	dat|pl|fem	3	DET	_	_
3	Städten	Stadt	_	NN	dat|pl|fem	1	PN	_	_
4	in	in	_	APPR	_	3	PP	_	_
5	Deutschland	Deutschland	_	NE	dat|sg|neut	4	PN	_	_
6	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
7	am	an	_	APPRART	dat|sg|masc	11	PP	_	_
8	1.	1.	_	ADJA	dat|sg|masc|pos	9	ATTR	_	_
9	Mai	Mai	_	NN	dat|sg|masc	7	PN	_	_
10	Menschen	Mensch	_	NN	acc|pl|masc	11	OBJA	_	_
11	demonstriert	demonstrieren	_	VVPP	_	6	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	vor	vor	_	APPR	_	7	PP	_	_
4	allem	alle	_	PIS	dat|sg|neut	3	PN	_	_
5	sichere	sicher	_	ADJA	nom|pl|neut|pos	6	ATTR	_	_
6	Arbeits·plätze	Arbeits·platz	_	NN	nom|pl|masc	3	GRAD	_	_
7	gefordert	fordern	_	VVPP	_	2	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Auch	auch	_	ADV	_	2	ADV	_	_
2	in	in	_	APPR	_	4	PP	_	_
3	Saarbrücken	Saarbrücken	_	NE	dat|sg|neut	2	PN	_	_
4	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	sie	sie	_	PPER	nom|pl|*|3	6	OBJA	_	_
6	demonstriert	demonstrieren	_	VVPP	_	4	AUX	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	6-Tausend	6-tausend	_	CARD	_	4	ZEIT	_	_
2	500	500	_	CARD	_	3	ATTR	_	_
3	Menschen	Mensch	_	NN	nom|pl|masc	1	APP	_	_
4	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	sich	sich	_	PRF	acc|pl|3	11	OBJA	_	_
6	vor	vor	_	APPR	_	11	PP	_	_
7	dem	der	_	ART	dat|sg|masc	8	DET	_	_
8	Schloss	Schloss	_	NN	dat|sg|masc	6	PN	_	_
9	in	in	_	APPR	_	8	PP	_	_
10	Saarbrücken	Saarbrücken	_	NE	dat|sg|neut	9	PN	_	_
11	getroffen	treffen	_	VVPP	_	4	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Hier	hier	_	ADV	_	2	ADV	_	_
2	ging	gehen	_	VVFIN	sg|3|past|ind	0	S	_	_
3	es	es	_	PPER	nom|sg|neut|3	2	SUBJ	_	_
4	vor	vor	_	APPR	_	6	PP	_	_
5	allem	alle	_	PIS	dat|sg|neut	4	PN	_	_
6	um	um	_	APPR	_	2	PP	_	_
7	die	der	_	ART	acc|pl|masc	8	DET	_	_
8	Arbeits·plätze	Arbeits·platz	_	NN	acc|pl|masc	6	PN	_	_
9	in	in	_	APPR	_	8	PP	_	_
10	der	der	_	ART	dat|sg|fem	11	DET	_	_
11	Industrie	Industrie	_	NN	dat|sg|fem	9	PN	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Im	in	_	APPRART	dat|sg|masc	3	PP	_	_
2	Saarland	Saarland	_	NE	dat|sg|masc	1	PN	_	_
3	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	in	in	_	APPR	_	3	PP	_	_
5	vielen	vieler	_	PIAT	dat|pl|fem	6	DET	_	_
6	Firmen	Firma	_	NN	dat|pl|fem	4	PN	_	_
7	Arbeits·plätze	Arbeits·platz	_	NN	acc|pl|masc	3	PRED	_	_
8	in	in	_	APPR	_	7	PP	_	_
9	Gefahr	Gefahr	_	NN	dat|sg|fem	8	PN	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Automobil·firmen	Automobil·firma	_	NN	nom|pl|fem	0	S	_	_
2	und	und	_	KON	_	1	KON	_	_
3	Stahl·firmen	Stahl·firma	_	NN	nom|pl|fem	2	CJ	_	_
4	wollen	wollen	_	VMFIN	pl|3|pres|ind	0	S	_	_
5	Arbeits·plätze	Arbeits·platz	_	NN	acc|pl|masc	6	OBJA	_	_
6	streichen	streichen	_	VVINF	_	4	AUX	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|fem	2	DET	_	_
2	Gewerkschaften	Gewerkschaft	_	NN	nom|pl|fem	3	OBJA	_	_
3	sagen	sagen	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	deshalb	deshalb	_	PROAV	_	8	DET	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	•	LI	_	$,	_	0	ROOT	_	_
7	Die	der	_	ART	nom|pl|masc	8	DET	_	_
8	Politiker	Politiker	_	NN	nom|pl|masc	9	SUBJ	_	_
9	müssen	müssen	_	VMFIN	pl|3|pres|ind	3	S	_	_
10	mehr	mehr	_	ADV	_	11	ADV	_	_
11	tun	tun	_	VVINF	_	9	AUX	_	_
12	,	--	_	$,	_	0	ROOT	_	_
13	damit	damit	_	KOUS	_	16	KONJ	_	_
14	keine	kein	_	PIAT	acc|pl|masc	15	DET	_	_
15	Arbeits·plätze	Arbeits·platz	_	NN	acc|pl|masc	16	SUBJ	_	_
16	wegfallen	wegfallen	_	VVFIN	pl|3|pres|ind	11	NEB	_	_
17	.	--	_	$.	_	0	ROOT	_	_
18	•	LI	_	$,	acc|pl|*	0	ROOT	_	_
19	Die	der	_	ART	acc|pl|*	20	DET	_	_
20	Firmen	Firma	_	NN	acc|pl|fem	23	SUBJ	_	_
21	und	und	_	KON	_	20	KON	_	_
22	Gewerkschaften	Gewerkschaft	_	NN	acc|pl|fem	21	CJ	_	_
23	müssen	müssen	_	VMFIN	pl|3|pres|ind	9	KON	_	_
24	mehr	mehr	_	ADV	_	26	ADV	_	_
25	darüber	darüber	_	PROAV	_	26	OBJP	_	_
26	reden	reden	_	VVINF	_	23	AUX	_	_
27	,	--	_	$,	_	0	ROOT	_	_
28	wie	wie	_	PWAV	_	31	ADV	_	_
29	Arbeits·plätze	Arbeits·platz	_	NN	nom|pl|masc	32	SUBJ	_	_
30	erhalten	erhalten	_	VVPP	_	31	PRED	_	_
31	bleiben	bleiben	_	VVINF	_	32	AUX	_	_
32	können	können	_	VMFIN	pl|3|pres|ind	26	OBJC	_	_
33	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	3	DET	_	_
2	1.	1.	_	ADJA	nom|sg|masc|pos	3	ATTR	_	_
3	Mai	Mai	_	NN	nom|sg|masc	4	PRED	_	_
4	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	in	in	_	APPR	_	4	PP	_	_
6	vielen	vieler	_	PIAT	dat|pl|neut	7	DET	_	_
7	Ländern	Land	_	NN	dat|pl|neut	5	PN	_	_
8	ein	ein	_	ART	nom|sg|masc	9	DET	_	_
9	Feiertag	Feiertag	_	NN	nom|sg|masc	4	PRED	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	An	an	_	APPR	_	4	PP	_	_
2	diesem	dieser	_	PDAT	dat|sg|masc	3	DET	_	_
3	Tag	Tag	_	NN	dat|sg|masc	1	PN	_	_
4	demonstrieren	demonstrieren	_	VVFIN	pl|3|pres|ind	0	S	_	_
5	jedes	jeder	_	PIAT	acc|sg|neut	6	DET	_	_
6	Jahr	Jahr	_	NN	acc|sg|neut	4	ZEIT	_	_
7	Menschen	Mensch	_	NN	nom|pl|masc	4	OBJA	_	_
8	und	und	_	KON	_	4	KON	_	_
9	fordern	fordern	_	VVFIN	pl|3|pres|ind	8	CJ	_	_
10	bessere	gut	_	ADJA	acc|pl|fem|comp	11	ATTR	_	_
11	Arbeits·bedingungen	Arbeits·bedingung	_	NN	acc|pl|fem	9	OBJA	_	_
12	.	--	_	$.	_	0	ROOT	_	_
